VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Milio,Rylai's Crystal Scepter,None,UTILITY,3456.3,0.0,-8.73,3
Nautilus,Rylai's Crystal Scepter,None,UTILITY,4086.5,50.0,13.15,2
Lux,Rylai's Crystal Scepter,None,UTILITY,4120.0,100.0,17.57,2
Bard,Rylai's Crystal Scepter,None,UTILITY,4294.0,100.0,43.51,2
Leona,Liandry's Torment,None,UTILITY,5548.0,50.0,18.8,2
Morgana,Rylai's Crystal Scepter,None,UTILITY,3482.5,100.0,-7.99,2
Nami,Rylai's Crystal Scepter,None,UTILITY,4519.5,0.0,0.53,2
Nami,Liandry's Torment,None,UTILITY,4339.0,0.0,29.58,2
Thresh,Rylai's Crystal Scepter,None,UTILITY,3772.5,100.0,29.9,2
Seraphine,Rylai's Crystal Scepter,None,UTILITY,4198.0,0.0,43.43,2
Ezreal,Rylai's Crystal Scepter,None,BOTTOM,3911.0,100.0,-5.27,1
Ezreal,Liandry's Torment,Rylai's Crystal Scepter,BOTTOM,7252.0,100.0,-40.45,1
Ezreal,Winter's Approach,Liandry's Torment,BOTTOM,8615.0,100.0,20.39,1
Ezreal,Winter's Approach,Winter's Approach,BOTTOM,8615.0,100.0,20.41,1
Nautilus,Liandry's Torment,None,UTILITY,3963.0,0.0,-33.42,1
Nautilus,Rylai's Crystal Scepter,Liandry's Torment,UTILITY,7633.0,0.0,0,1
Nautilus,Liandry's Torment,Rylai's Crystal Scepter,UTILITY,7331.0,0.0,11.22,1
Nautilus,Unending Despair,Liandry's Torment,UTILITY,9856.0,0.0,5.19,1
Nautilus,"Jak'Sho, The Protean",Unending Despair,UTILITY,13313.0,0.0,-29.76,1
Nautilus,Malignance,Rylai's Crystal Scepter,UTILITY,7247.0,100.0,-18.07,1
Lux,Riftmaker,Rylai's Crystal Scepter,UTILITY,8124.0,100.0,0,1
Lux,Malignance,Rylai's Crystal Scepter,UTILITY,7748.0,100.0,0,1
Smolder,Blackfire Torch,None,TOP,4202.0,0.0,-20.7,1
Smolder,Rylai's Crystal Scepter,Blackfire Torch,TOP,6124.0,0.0,-11.63,1
Smolder,Swiftmarch,Rylai's Crystal Scepter,TOP,7484.0,0.0,-6.95,1
Yuumi,Rylai's Crystal Scepter,None,UTILITY,4137.0,0.0,-3.51,1
Taric,Liandry's Torment,None,UTILITY,4603.0,100.0,21.12,1
Taric,Spellslinger's Shoes,Liandry's Torment,UTILITY,6527.0,100.0,14.27,1
Taric,Winter's Approach,Spellslinger's Shoes,UTILITY,8010.0,100.0,39.05,1
Taric,Winter's Approach,Winter's Approach,UTILITY,8010.0,100.0,39.06,1
Hwei,Rylai's Crystal Scepter,None,UTILITY,3247.0,0.0,55.01,1
Hwei,Liandry's Torment,Rylai's Crystal Scepter,UTILITY,7397.0,0.0,0,1
Hwei,Blackfire Torch,None,MIDDLE,4893.0,100.0,-2.59,1
Hwei,Liandry's Torment,Blackfire Torch,MIDDLE,7918.0,100.0,0,1
Bard,Zhonya's Hourglass,Rylai's Crystal Scepter,UTILITY,8775.0,100.0,101.41,1
Bard,Kaenic Rookern,Zhonya's Hourglass,UTILITY,11793.0,100.0,0,1
Bard,Liandry's Torment,Rylai's Crystal Scepter,UTILITY,7540.0,100.0,0,1
Bard,Zhonya's Hourglass,None,UTILITY,4730.0,0.0,70.37,1
Bard,Liandry's Torment,Zhonya's Hourglass,UTILITY,10012.0,0.0,0,1
Leona,Spellslinger's Shoes,Liandry's Torment,UTILITY,7520.0,100.0,70.35,1
Leona,Rylai's Crystal Scepter,Spellslinger's Shoes,UTILITY,8807.0,100.0,29.48,1
Leona,Chainlaced Crushers,Liandry's Torment,UTILITY,6378.0,0.0,-5.45,1
Leona,Zhonya's Hourglass,Chainlaced Crushers,UTILITY,9871.0,0.0,-16.68,1
Leona,Malignance,None,UTILITY,3306.0,100.0,49.95,1
Leona,Rylai's Crystal Scepter,Malignance,UTILITY,7397.0,100.0,62.88,1
Leona,Chainlaced Crushers,Rylai's Crystal Scepter,UTILITY,7397.0,100.0,66.34,1
Morgana,Unending Despair,Rylai's Crystal Scepter,UTILITY,7689.0,100.0,5.34,1
Morgana,Chainlaced Crushers,Rylai's Crystal Scepter,UTILITY,6378.0,100.0,16.17,1
Morgana,Spirit Visage,Chainlaced Crushers,UTILITY,7867.0,100.0,0,1
Milio,Armored Advance,Rylai's Crystal Scepter,UTILITY,5738.0,0.0,-25.65,1
Milio,Armored Advance,Armored Advance,UTILITY,5738.0,0.0,-24.19,1
Milio,Zhonya's Hourglass,Armored Advance,UTILITY,9273.0,0.0,0,1
Milio,Malignance,None,UTILITY,3518.0,100.0,-4.18,1
Milio,Rylai's Crystal Scepter,Malignance,UTILITY,7438.0,100.0,-35.63,1
Milio,Unending Despair,Rylai's Crystal Scepter,UTILITY,11630.0,100.0,41.27,1
Nami,Liandry's Torment,Rylai's Crystal Scepter,UTILITY,7682.0,0.0,-6.24,1
Nami,Spellslinger's Shoes,Liandry's Torment,UTILITY,8290.0,0.0,8.58,1
Nami,Winter's Approach,Spellslinger's Shoes,UTILITY,10177.0,0.0,-36.06,1
Nami,Winter's Approach,Winter's Approach,UTILITY,10177.0,0.0,-36.06,1
Nami,Rylai's Crystal Scepter,Liandry's Torment,UTILITY,7196.0,0.0,-56.73,1
Nami,Spirit Visage,Liandry's Torment,UTILITY,7640.0,0.0,0,1
Ashe,Blackfire Torch,None,BOTTOM,3638.0,0.0,3.06,1
Ashe,Liandry's Torment,Blackfire Torch,BOTTOM,7869.0,0.0,-48.35,1
FiddleSticks,Malignance,None,UTILITY,4585.0,0.0,-18.37,1
FiddleSticks,Zhonya's Hourglass,Malignance,UTILITY,8086.0,0.0,0,1
Galio,Rod of Ages,None,MIDDLE,3327.0,100.0,-7.28,1
Galio,Rylai's Crystal Scepter,Rod of Ages,MIDDLE,7631.0,100.0,55.11,1
Galio,Liandry's Torment,Rylai's Crystal Scepter,MIDDLE,10533.0,100.0,-31.05,1
Galio,Riftmaker,Liandry's Torment,MIDDLE,13142.0,100.0,2.45,1
Galio,Rylai's Crystal Scepter,None,UTILITY,4630.0,0.0,29.5,1
Galio,Zhonya's Hourglass,Rylai's Crystal Scepter,UTILITY,7575.0,0.0,-48.0,1
Galio,Spirit Visage,Zhonya's Hourglass,UTILITY,10291.0,0.0,19.85,1
Galio,Spellslinger's Shoes,Spirit Visage,UTILITY,12531.0,0.0,-41.27,1
Galio,Liandry's Torment,Spellslinger's Shoes,UTILITY,13935.0,0.0,0,1
Galio,Spellslinger's Shoes,Liandry's Torment,UTILITY,13935.0,0.0,0,1
Galio,Winter's Approach,None,UTILITY,3976.0,0.0,-32.49,1
Galio,Winter's Approach,Winter's Approach,UTILITY,6042.0,0.0,-45.22,1
Twitch,Blackfire Torch,None,MIDDLE,4386.0,0.0,-17.51,1
Twitch,Liandry's Torment,Blackfire Torch,MIDDLE,8245.0,0.0,3.34,1
Janna,Rylai's Crystal Scepter,None,UTILITY,4026.0,0.0,6.6,1
Janna,Liandry's Torment,Rylai's Crystal Scepter,UTILITY,7761.0,0.0,39.42,1
Thresh,Armored Advance,Rylai's Crystal Scepter,UTILITY,6671.0,100.0,91.99,1
Thresh,Liandry's Torment,Armored Advance,UTILITY,8549.0,100.0,0,1
Thresh,Malignance,None,UTILITY,3698.0,0.0,-21.97,1
Thresh,Liandry's Torment,Malignance,UTILITY,6901.0,0.0,0,1
Seraphine,Malignance,Rylai's Crystal Scepter,UTILITY,7219.0,0.0,9.92,1
Olaf,Rod of Ages,None,TOP,3484.0,0.0,2.57,1
Olaf,Liandry's Torment,Rod of Ages,TOP,7614.0,0.0,-20.1,1
Olaf,Rylai's Crystal Scepter,Liandry's Torment,TOP,7614.0,0.0,-19.62,1
Olaf,Liandry's Torment,Rylai's Crystal Scepter,TOP,9673.0,0.0,-38.07,1
Shaco,Malignance,None,UTILITY,4282.0,0.0,7.0,1
Karma,Rylai's Crystal Scepter,None,UTILITY,3796.0,100.0,-24.12,1
Karma,Liandry's Torment,Rylai's Crystal Scepter,UTILITY,7157.0,100.0,29.59,1
Karma,Malignance,None,UTILITY,3873.0,0.0,20.97,1
