VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Viego,Hextech Rocketbelt,None,JUNGLE,3938.8,37.5,7.93,8
Nocturne,Hextech Rocketbelt,None,JUNGLE,3915.8,75.0,33.33,4
Shaco,Hextech Rocketbelt,None,JUNGLE,4133.2,50.0,13.87,4
Viego,Riftmaker,Hextech Rocketbelt,JUNGLE,7269.0,33.3,11.31,3
Trundle,Zhonya's Hourglass,Shadowflame,JUNGLE,10981.7,66.7,-6.91,3
Galio,Rod of Ages,None,MIDDLE,3454.3,66.7,11.54,3
Galio,Riftmaker,Rod of Ages,MIDDLE,7356.3,66.7,3.63,3
DrMundo,Hextech Rocketbelt,None,JUNGLE,3906.0,100.0,23.21,3
DrMundo,Riftmaker,Hextech Rocketbelt,JUNGLE,7869.0,100.0,35.52,3
Ahri,Hextech Rocketbelt,None,MIDDLE,3739.3,0.0,32.18,3
Shaco,Riftmaker,Hextech Rocketbelt,JUNGLE,7644.7,33.3,-13.61,3
Nautilus,Hextech Rocketbelt,None,UTILITY,4577.0,50.0,8.4,2
Elise,Hextech Rocketbelt,None,JUNGLE,3813.5,50.0,34.49,2
Vladimir,Hextech Rocketbelt,None,MIDDLE,4727.0,100.0,14.37,2
Nocturne,Shadowflame,Zhonya's Hourglass,JUNGLE,11153.0,50.0,28.51,2
Nocturne,Riftmaker,Hextech Rocketbelt,JUNGLE,7392.5,50.0,21.12,2
Belveth,Hextech Rocketbelt,None,JUNGLE,3422.0,50.0,16.34,2
Volibear,Hextech Rocketbelt,None,JUNGLE,4034.5,50.0,3.48,2
Karthus,Hextech Rocketbelt,None,JUNGLE,4719.5,50.0,27.55,2
Karthus,Shadowflame,Hextech Rocketbelt,JUNGLE,8601.0,50.0,-10.09,2
TwistedFate,Hextech Rocketbelt,None,MIDDLE,3446.5,100.0,2.09,2
Trundle,Hextech Rocketbelt,None,JUNGLE,4270.0,100.0,37.72,2
Trundle,Lich Bane,None,JUNGLE,5899.5,50.0,-24.35,2
Trundle,Shadowflame,Lich Bane,JUNGLE,7736.5,50.0,-1.97,2
MasterYi,Hextech Rocketbelt,None,JUNGLE,4430.0,50.0,66.81,2
MasterYi,Shadowflame,Hextech Rocketbelt,JUNGLE,8992.5,50.0,3.49,2
Malphite,Hextech Rocketbelt,None,JUNGLE,3752.0,0.0,27.02,2
Malphite,Riftmaker,Hextech Rocketbelt,JUNGLE,7440.5,0.0,7.66,2
Warwick,Hextech Rocketbelt,None,JUNGLE,4237.0,0.0,20.37,2
Jax,Hextech Rocketbelt,None,JUNGLE,3372.5,0.0,3.3,2
Jax,Riftmaker,Hextech Rocketbelt,JUNGLE,6997.5,0.0,0.35,2
Lissandra,Hextech Rocketbelt,None,MIDDLE,4473.5,100.0,39.85,2
JarvanIV,Hextech Rocketbelt,None,JUNGLE,4160.0,50.0,18.7,2
Syndra,Stormsurge,None,MIDDLE,4592.0,50.0,3.75,2
Syndra,Shadowflame,Stormsurge,MIDDLE,8062.5,50.0,0,2
DrMundo,Zhonya's Hourglass,Riftmaker,JUNGLE,12509.5,100.0,16.04,2
Kayn,Hextech Rocketbelt,None,JUNGLE,4596.5,50.0,43.1,2
Kayn,Riftmaker,Hextech Rocketbelt,JUNGLE,7750.5,50.0,16.62,2
Kayn,Spellslinger's Shoes,Riftmaker,JUNGLE,9022.0,50.0,7.15,2
Kayn,Zhonya's Hourglass,Spellslinger's Shoes,JUNGLE,12103.0,50.0,-25.28,2
Diana,Hextech Rocketbelt,None,JUNGLE,3540.0,50.0,22.05,2
Diana,Riftmaker,Hextech Rocketbelt,JUNGLE,8304.5,50.0,32.67,2
Shaco,Shadowflame,Riftmaker,JUNGLE,13131.0,50.0,-17.29,2
Shaco,Spellslinger's Shoes,Riftmaker,JUNGLE,11286.0,100.0,0.39,2
Shaco,Zhonya's Hourglass,Spellslinger's Shoes,JUNGLE,14813.0,100.0,20.69,2
Aatrox,Hextech Rocketbelt,None,JUNGLE,3291.0,50.0,13.92,2
Gwen,Hextech Rocketbelt,None,TOP,4408.0,0.0,-19.55,1
Gwen,Cosmic Drive,Hextech Rocketbelt,TOP,6472.0,0.0,27.46,1
Gwen,Unending Despair,Cosmic Drive,TOP,9361.0,0.0,0,1
Gwen,Hextech Rocketbelt,None,JUNGLE,4504.0,100.0,85.63,1
Gwen,Shadowflame,Hextech Rocketbelt,JUNGLE,7803.0,100.0,45.29,1
Gwen,Zhonya's Hourglass,Shadowflame,JUNGLE,10910.0,100.0,0,1
Gwen,Zhonya's Hourglass,Zhonya's Hourglass,JUNGLE,10910.0,100.0,0,1
Gwen,Hextech Rocketbelt,None,MIDDLE,3981.0,0.0,-8.46,1
Gwen,Riftmaker,Hextech Rocketbelt,MIDDLE,7729.0,0.0,0,1
Nautilus,Zhonya's Hourglass,Hextech Rocketbelt,UTILITY,7463.0,0.0,-38.79,1
Nautilus,Shadowflame,Zhonya's Hourglass,UTILITY,11588.0,0.0,0,1
Smolder,Hextech Rocketbelt,None,MIDDLE,4215.0,100.0,12.21,1
Smolder,Shadowflame,Hextech Rocketbelt,MIDDLE,7635.0,100.0,22.42,1
Smolder,Zhonya's Hourglass,Shadowflame,MIDDLE,11506.0,100.0,-13.93,1
Smolder,Rabadon's Deathcap,Zhonya's Hourglass,MIDDLE,14514.0,100.0,-43.25,1
Smolder,Void Staff,Rabadon's Deathcap,MIDDLE,17689.0,100.0,0,1
Smolder,Spellslinger's Shoes,Void Staff,MIDDLE,19203.0,100.0,0,1
Lulu,Hextech Rocketbelt,None,UTILITY,4501.0,100.0,32.06,1
Lulu,Forever Forward,Hextech Rocketbelt,UTILITY,6113.0,100.0,0,1
Elise,Hextech Rocketbelt,None,UTILITY,4134.0,100.0,20.0,1
Elise,Forever Forward,Hextech Rocketbelt,UTILITY,4716.0,100.0,-2.1,1
Elise,Zhonya's Hourglass,Forever Forward,UTILITY,8777.0,100.0,-16.7,1
Elise,Rabadon's Deathcap,Hextech Rocketbelt,JUNGLE,8196.0,100.0,31.4,1
Elise,Chainlaced Crushers,Rabadon's Deathcap,JUNGLE,8196.0,100.0,33.38,1
Elise,Kaenic Rookern,Chainlaced Crushers,JUNGLE,11265.0,100.0,55.54,1
Elise,Riftmaker,Kaenic Rookern,JUNGLE,14613.0,100.0,0,1
Elise,Riftmaker,Hextech Rocketbelt,JUNGLE,6333.0,0.0,27.74,1
Elise,Zhonya's Hourglass,Riftmaker,JUNGLE,10478.0,0.0,2.55,1
Katarina,Lich Bane,None,MIDDLE,3986.0,0.0,-26.89,1
Katarina,Liandry's Torment,Lich Bane,MIDDLE,9559.0,0.0,-38.24,1
Katarina,Hextech Rocketbelt,None,MIDDLE,4064.0,100.0,-0.69,1
Katarina,Riftmaker,Hextech Rocketbelt,MIDDLE,7717.0,100.0,32.51,1
Vladimir,Cosmic Drive,Hextech Rocketbelt,MIDDLE,8098.0,100.0,-4.33,1
Vladimir,Zhonya's Hourglass,Cosmic Drive,MIDDLE,10489.0,100.0,-9.56,1
Vladimir,Spellslinger's Shoes,Zhonya's Hourglass,MIDDLE,11623.0,100.0,0,1
Vladimir,Lich Bane,None,MIDDLE,5112.0,100.0,49.54,1
Vladimir,Shadowflame,Lich Bane,MIDDLE,9052.0,100.0,28.87,1
Vladimir,Spellslinger's Shoes,Shadowflame,MIDDLE,10638.0,100.0,9.75,1
Vladimir,Zhonya's Hourglass,Spellslinger's Shoes,MIDDLE,13117.0,100.0,8.21,1
Vladimir,Rabadon's Deathcap,Zhonya's Hourglass,MIDDLE,15502.0,100.0,0,1
Vladimir,Riftmaker,Hextech Rocketbelt,MIDDLE,9384.0,100.0,0,1
Vladimir,Spellslinger's Shoes,Riftmaker,MIDDLE,9384.0,100.0,0,1
Vladimir,Rod of Ages,None,MIDDLE,5450.0,0.0,-36.54,1
Vladimir,Riftmaker,Rod of Ages,MIDDLE,7960.0,0.0,9.89,1
Vladimir,Cosmic Drive,Riftmaker,MIDDLE,9873.0,0.0,14.2,1
Shen,Hextech Rocketbelt,None,TOP,3941.0,100.0,10.76,1
Shen,Stormsurge,Hextech Rocketbelt,TOP,7075.0,100.0,-13.35,1
Shen,Spellslinger's Shoes,Stormsurge,TOP,8008.0,100.0,-29.16,1
Milio,Stormsurge,None,UTILITY,4341.0,0.0,-4.52,1
Milio,Shadowflame,Stormsurge,UTILITY,8186.0,0.0,0,1
Fizz,Hextech Rocketbelt,None,MIDDLE,4344.0,100.0,36.05,1
Fizz,Cosmic Drive,Hextech Rocketbelt,MIDDLE,7210.0,100.0,-13.27,1
Fizz,Hextech Rocketbelt,None,JUNGLE,3782.0,100.0,7.5,1
Fizz,Riftmaker,Hextech Rocketbelt,JUNGLE,7162.0,100.0,9.07,1
Fizz,Chainlaced Crushers,Riftmaker,JUNGLE,8626.0,100.0,44.5,1
Fizz,Rabadon's Deathcap,Chainlaced Crushers,JUNGLE,11707.0,100.0,14.5,1
Fizz,Zhonya's Hourglass,Rabadon's Deathcap,JUNGLE,15629.0,100.0,0,1
Nocturne,Lich Bane,None,JUNGLE,3928.0,0.0,33.87,1
Nocturne,Zhonya's Hourglass,Lich Bane,JUNGLE,10790.0,0.0,-40.5,1
Nocturne,Zhonya's Hourglass,Hextech Rocketbelt,JUNGLE,8476.0,100.0,-18.75,1
Nocturne,Cosmic Drive,Shadowflame,JUNGLE,13881.0,100.0,0,1
Nocturne,Zhonya's Hourglass,Riftmaker,JUNGLE,11295.0,100.0,16.99,1
Nocturne,Rabadon's Deathcap,Zhonya's Hourglass,JUNGLE,15562.0,100.0,0,1
Nocturne,Crimson Lucidity,Rabadon's Deathcap,JUNGLE,15562.0,100.0,0,1
Nocturne,Shadowflame,Hextech Rocketbelt,JUNGLE,10317.0,100.0,-53.18,1
Nocturne,Zhonya's Hourglass,Shadowflame,JUNGLE,11339.0,100.0,-41.93,1
Nocturne,Spellslinger's Shoes,Zhonya's Hourglass,JUNGLE,11870.0,100.0,69.77,1
Nocturne,Rabadon's Deathcap,Spellslinger's Shoes,JUNGLE,15940.0,100.0,0,1
Nocturne,Spellslinger's Shoes,Rabadon's Deathcap,JUNGLE,15940.0,100.0,0,1
Belveth,Lich Bane,None,JUNGLE,5047.0,0.0,0,1
Belveth,Riftmaker,Hextech Rocketbelt,JUNGLE,7884.0,0.0,7.34,1
Maokai,Rod of Ages,None,UTILITY,3371.0,0.0,-5.27,1
Maokai,Armored Advance,Rod of Ages,UTILITY,4933.0,0.0,56.18,1
Maokai,Riftmaker,Armored Advance,UTILITY,7549.0,0.0,49.51,1
Maokai,Abyssal Mask,Riftmaker,UTILITY,10610.0,0.0,0,1
Viktor,Rod of Ages,None,MIDDLE,3774.0,100.0,7.34,1
Viktor,Liandry's Torment,Rod of Ages,MIDDLE,7748.0,100.0,0,1
Viktor,Hextech Rocketbelt,None,MIDDLE,5441.0,0.0,19.18,1
Viktor,Riftmaker,Hextech Rocketbelt,MIDDLE,8924.0,0.0,18.42,1
Viktor,Zhonya's Hourglass,Riftmaker,MIDDLE,11500.0,0.0,0,1
Viego,Shadowflame,Hextech Rocketbelt,JUNGLE,7649.0,100.0,1.08,1
Viego,Spellslinger's Shoes,Shadowflame,JUNGLE,8511.0,100.0,15.76,1
Viego,Rabadon's Deathcap,Spellslinger's Shoes,JUNGLE,11759.0,100.0,0,1
Viego,Hextech Rocketbelt,None,MIDDLE,4450.0,0.0,11.2,1
Viego,Frozen Heart,Hextech Rocketbelt,MIDDLE,9797.0,0.0,-49.62,1
Viego,Zhonya's Hourglass,Frozen Heart,MIDDLE,10693.0,0.0,0,1
Viego,Hextech Rocketbelt,Riftmaker,JUNGLE,7543.0,0.0,0,1
Viego,Zhonya's Hourglass,Hextech Rocketbelt,JUNGLE,8579.0,0.0,62.53,1
Viego,Rabadon's Deathcap,Zhonya's Hourglass,JUNGLE,12287.0,0.0,45.08,1
Viego,Shadowflame,Rabadon's Deathcap,JUNGLE,14392.0,0.0,-9.27,1
Viego,"Jak'Sho, The Protean",Shadowflame,JUNGLE,18769.0,0.0,0,1
Viego,Cosmic Drive,Hextech Rocketbelt,JUNGLE,6461.0,100.0,40.9,1
Viego,Lich Bane,Cosmic Drive,JUNGLE,9292.0,100.0,-37.8,1
Viego,Zhonya's Hourglass,Lich Bane,JUNGLE,12701.0,100.0,0,1
Viego,Spellslinger's Shoes,Riftmaker,JUNGLE,7899.0,100.0,30.06,1
Viego,Liandry's Torment,Riftmaker,JUNGLE,9461.0,0.0,0,1
Yunara,Luden's Companion,None,BOTTOM,3957.0,0.0,-22.79,1
Yunara,Cosmic Drive,Luden's Companion,BOTTOM,8186.0,0.0,-9.29,1
Zyra,Hextech Rocketbelt,None,JUNGLE,3380.0,100.0,-11.27,1
Zyra,Shadowflame,Hextech Rocketbelt,JUNGLE,8229.0,100.0,70.11,1
Zyra,Zhonya's Hourglass,Shadowflame,JUNGLE,10424.0,100.0,79.16,1
Zyra,Rabadon's Deathcap,Zhonya's Hourglass,JUNGLE,14830.0,100.0,0,1
Zyra,Crimson Lucidity,Rabadon's Deathcap,JUNGLE,14830.0,100.0,0,1
Zeri,Hextech Rocketbelt,None,MIDDLE,3883.0,100.0,13.79,1
Zeri,Riftmaker,Hextech Rocketbelt,MIDDLE,7283.0,100.0,10.94,1
Zeri,Hextech Rocketbelt,None,BOTTOM,3949.0,0.0,21.09,1
Zeri,Shadowflame,Hextech Rocketbelt,BOTTOM,7586.0,0.0,0,1
Volibear,Lich Bane,None,JUNGLE,4111.0,0.0,12.32,1
Volibear,Hextech Rocketbelt,Lich Bane,JUNGLE,8013.0,0.0,-14.64,1
Volibear,Shadowflame,Hextech Rocketbelt,JUNGLE,7417.0,0.0,0,1
Volibear,Riftmaker,Hextech Rocketbelt,JUNGLE,7291.0,100.0,-5.94,1
Karthus,Rabadon's Deathcap,Shadowflame,JUNGLE,11074.0,100.0,0,1
TwistedFate,Zhonya's Hourglass,Hextech Rocketbelt,MIDDLE,7752.0,100.0,-13.42,1
TwistedFate,Shadowflame,Zhonya's Hourglass,MIDDLE,11187.0,100.0,0,1
TwistedFate,Spellslinger's Shoes,Shadowflame,MIDDLE,11458.0,100.0,0,1
TwistedFate,Stormsurge,None,MIDDLE,4008.0,100.0,37.4,1
TwistedFate,Rod of Ages,Stormsurge,MIDDLE,8526.0,100.0,-8.3,1
TwistedFate,Lich Bane,Rod of Ages,MIDDLE,10719.0,100.0,0,1
Morgana,Stormsurge,None,JUNGLE,6205.0,100.0,39.8,1
Morgana,Lich Bane,Stormsurge,JUNGLE,7921.0,100.0,32.22,1
Morgana,Spellslinger's Shoes,Lich Bane,JUNGLE,9353.0,100.0,38.97,1
Morgana,Spellslinger's Shoes,Spellslinger's Shoes,JUNGLE,10251.0,100.0,9.95,1
Morgana,Shadowflame,Spellslinger's Shoes,JUNGLE,13125.0,100.0,0,1
Morgana,Rabadon's Deathcap,Shadowflame,JUNGLE,13248.0,100.0,0,1
Morgana,Rod of Ages,None,MIDDLE,6131.0,0.0,-24.03,1
Morgana,Riftmaker,Rod of Ages,MIDDLE,7727.0,0.0,0,1
Veigar,Hextech Rocketbelt,None,MIDDLE,3441.0,100.0,27.44,1
Veigar,Shadowflame,Hextech Rocketbelt,MIDDLE,7398.0,100.0,-23.34,1
Sivir,Stormsurge,None,BOTTOM,4271.0,0.0,14.04,1
Sivir,Hextech Rocketbelt,Stormsurge,BOTTOM,9282.0,0.0,-40.35,1
Sivir,Shadowflame,Hextech Rocketbelt,BOTTOM,11191.0,0.0,33.76,1
Sivir,Zhonya's Hourglass,Shadowflame,BOTTOM,13939.0,0.0,-20.72,1
Trundle,Shadowflame,Hextech Rocketbelt,JUNGLE,7625.0,100.0,-7.36,1
Trundle,Spellslinger's Shoes,Zhonya's Hourglass,JUNGLE,11145.0,100.0,3.66,1
Trundle,Rabadon's Deathcap,Zhonya's Hourglass,JUNGLE,14229.0,100.0,0,1
Trundle,Zhonya's Hourglass,Hextech Rocketbelt,JUNGLE,6822.0,100.0,0.88,1
Trundle,Shadowflame,Zhonya's Hourglass,JUNGLE,11196.0,100.0,0,1
MasterYi,Riftmaker,Shadowflame,JUNGLE,13678.0,0.0,-6.26,1
MasterYi,Zhonya's Hourglass,Riftmaker,JUNGLE,15764.0,0.0,-35.92,1
MasterYi,Rabadon's Deathcap,Zhonya's Hourglass,JUNGLE,18707.0,0.0,2.38,1
MasterYi,Riftmaker,Rabadon's Deathcap,JUNGLE,21346.0,0.0,0,1
MasterYi,Void Staff,Riftmaker,JUNGLE,21346.0,0.0,0,1
MasterYi,Hextech Rocketbelt,Void Staff,JUNGLE,21346.0,0.0,0,1
MasterYi,Lich Bane,Hextech Rocketbelt,JUNGLE,21346.0,0.0,0,1
Azir,Rod of Ages,None,MIDDLE,4279.0,0.0,-18.15,1
Azir,Riftmaker,Rod of Ages,MIDDLE,7675.0,0.0,0,1
Zed,Hextech Rocketbelt,None,MIDDLE,4206.0,100.0,-13.36,1
Zed,Riftmaker,Hextech Rocketbelt,MIDDLE,8080.0,100.0,17.59,1
Cassiopeia,Hextech Rocketbelt,None,TOP,4824.0,100.0,5.7,1
Cassiopeia,Riftmaker,Hextech Rocketbelt,TOP,6487.0,100.0,32.05,1
Malphite,Hextech Rocketbelt,None,MIDDLE,3502.0,0.0,16.34,1
Malphite,Shadowflame,Hextech Rocketbelt,MIDDLE,8639.0,0.0,-15.77,1
Malphite,Rabadon's Deathcap,Shadowflame,MIDDLE,10755.0,0.0,-19.45,1
Malphite,Lich Bane,None,JUNGLE,3912.0,100.0,17.61,1
Malphite,Riftmaker,Lich Bane,JUNGLE,8883.0,100.0,47.6,1
Malphite,Zhonya's Hourglass,Riftmaker,JUNGLE,10829.0,0.0,0,1
Malphite,Shadowflame,Riftmaker,JUNGLE,10922.0,0.0,13.63,1
Malphite,Rabadon's Deathcap,Shadowflame,JUNGLE,14135.0,0.0,0,1
Kennen,Rod of Ages,None,TOP,3345.0,0.0,21.64,1
Akali,Hextech Rocketbelt,None,MIDDLE,3813.0,100.0,-25.33,1
Akali,Riftmaker,Hextech Rocketbelt,MIDDLE,7449.0,100.0,37.37,1
Akali,Crimson Lucidity,Riftmaker,MIDDLE,9964.0,100.0,-6.66,1
Akali,Cosmic Drive,Crimson Lucidity,MIDDLE,12266.0,100.0,-20.0,1
Akali,Rabadon's Deathcap,Cosmic Drive,MIDDLE,14365.0,100.0,0,1
Sona,Hextech Rocketbelt,None,UTILITY,3848.0,100.0,41.28,1
Sona,Zhonya's Hourglass,Hextech Rocketbelt,UTILITY,8218.0,100.0,-12.51,1
Warwick,Shadowflame,Hextech Rocketbelt,JUNGLE,7107.0,0.0,-24.63,1
Warwick,Riftmaker,Hextech Rocketbelt,JUNGLE,8492.0,0.0,1.2,1
Warwick,Crimson Lucidity,Riftmaker,JUNGLE,8870.0,0.0,-10.13,1
Warwick,Zhonya's Hourglass,Crimson Lucidity,JUNGLE,10885.0,0.0,-18.25,1
Warwick,Shadowflame,Zhonya's Hourglass,JUNGLE,15160.0,0.0,0,1
Garen,Rod of Ages,None,TOP,3830.0,100.0,63.89,1
Garen,Liandry's Torment,Rod of Ages,TOP,7577.0,100.0,16.23,1
Vex,Hextech Rocketbelt,None,MIDDLE,3675.0,100.0,-4.87,1
Vex,Lich Bane,Hextech Rocketbelt,MIDDLE,6773.0,100.0,59.28,1
Vex,Rod of Ages,Lich Bane,MIDDLE,9559.0,100.0,0,1
Jax,Zhonya's Hourglass,Riftmaker,JUNGLE,11000.0,0.0,0,1
Jax,Rabadon's Deathcap,Riftmaker,JUNGLE,10828.0,0.0,17.4,1
Jax,Bloodletter's Curse,Rabadon's Deathcap,JUNGLE,13710.0,0.0,-44.95,1
Khazix,Hextech Rocketbelt,None,JUNGLE,3961.0,0.0,12.37,1
Khazix,Shadowflame,Hextech Rocketbelt,JUNGLE,8538.0,0.0,37.14,1
Khazix,Lich Bane,Shadowflame,JUNGLE,10818.0,0.0,-2.12,1
Khazix,Spellslinger's Shoes,Lich Bane,JUNGLE,11734.0,0.0,-10.54,1
Khazix,Spellslinger's Shoes,Spellslinger's Shoes,JUNGLE,11734.0,0.0,-9.9,1
Khazix,Void Staff,Spellslinger's Shoes,JUNGLE,14395.0,0.0,-24.3,1
XinZhao,Hextech Rocketbelt,None,JUNGLE,4091.0,100.0,-5.51,1
XinZhao,Riftmaker,Hextech Rocketbelt,JUNGLE,7387.0,100.0,17.17,1
XinZhao,Bloodletter's Curse,Riftmaker,JUNGLE,10165.0,100.0,0,1
Fiora,Hextech Rocketbelt,None,TOP,3463.0,0.0,51.51,1
Fiora,Riftmaker,Hextech Rocketbelt,TOP,7870.0,0.0,-4.67,1
Fiora,Crimson Lucidity,Riftmaker,TOP,8245.0,0.0,-15.44,1
Blitzcrank,Hextech Rocketbelt,None,JUNGLE,3924.0,100.0,-11.72,1
Blitzcrank,Riftmaker,Hextech Rocketbelt,JUNGLE,7572.0,100.0,27.97,1
Blitzcrank,Spellslinger's Shoes,Riftmaker,JUNGLE,7890.0,100.0,41.74,1
Blitzcrank,Zhonya's Hourglass,Spellslinger's Shoes,JUNGLE,11030.0,100.0,104.86,1
Kaisa,Hextech Rocketbelt,None,MIDDLE,4071.0,100.0,53.88,1
Kaisa,Shadowflame,Hextech Rocketbelt,MIDDLE,9393.0,100.0,-26.79,1
Kaisa,Zhonya's Hourglass,Shadowflame,MIDDLE,11248.0,100.0,-7.8,1
Lissandra,Shadowflame,Hextech Rocketbelt,MIDDLE,8979.0,100.0,6.25,1
Lissandra,Spellslinger's Shoes,Shadowflame,MIDDLE,9574.0,100.0,-1.69,1
Lissandra,Zhonya's Hourglass,Spellslinger's Shoes,MIDDLE,11873.0,100.0,0,1
Lissandra,Riftmaker,Hextech Rocketbelt,MIDDLE,9290.0,100.0,42.14,1
Lissandra,Zhonya's Hourglass,Riftmaker,MIDDLE,12353.0,100.0,7.23,1
Lissandra,Rabadon's Deathcap,Zhonya's Hourglass,MIDDLE,14720.0,100.0,0,1
JarvanIV,Riftmaker,Hextech Rocketbelt,JUNGLE,7326.0,100.0,48.52,1
JarvanIV,Zhonya's Hourglass,Riftmaker,JUNGLE,11300.0,100.0,26.08,1
JarvanIV,Crimson Lucidity,Zhonya's Hourglass,JUNGLE,11300.0,100.0,26.16,1
JarvanIV,Rabadon's Deathcap,Crimson Lucidity,JUNGLE,14706.0,100.0,0,1
Syndra,Hextech Rocketbelt,None,MIDDLE,3581.0,100.0,9.41,1
Thresh,Stormsurge,None,UTILITY,3651.0,0.0,-3.2,1
Thresh,Hextech Rocketbelt,Stormsurge,UTILITY,6561.0,0.0,0,1
Galio,Crimson Lucidity,Riftmaker,MIDDLE,8088.0,100.0,29.09,1
Galio,Zhonya's Hourglass,Crimson Lucidity,MIDDLE,10900.0,100.0,0,1
Galio,Spellslinger's Shoes,Riftmaker,MIDDLE,8495.0,100.0,42.93,1
DrMundo,Spellslinger's Shoes,Riftmaker,JUNGLE,11458.0,100.0,1.16,1
DrMundo,Spellslinger's Shoes,Spellslinger's Shoes,JUNGLE,12040.0,100.0,39.5,1
DrMundo,Rabadon's Deathcap,Spellslinger's Shoes,JUNGLE,13884.0,100.0,21.64,1
DrMundo,Zhonya's Hourglass,Rabadon's Deathcap,JUNGLE,15807.0,100.0,0,1
DrMundo,Rabadon's Deathcap,Zhonya's Hourglass,JUNGLE,14285.0,100.0,-21.99,1
Ekko,Hextech Rocketbelt,None,JUNGLE,3963.0,100.0,10.15,1
Ekko,Zhonya's Hourglass,Hextech Rocketbelt,JUNGLE,8118.0,100.0,17.81,1
Ekko,Chainlaced Crushers,Zhonya's Hourglass,JUNGLE,8118.0,100.0,18.08,1
Ekko,Spirit Visage,Chainlaced Crushers,JUNGLE,11875.0,100.0,0,1
Hecarim,Stormsurge,None,JUNGLE,4005.0,0.0,35.28,1
Hecarim,Shadowflame,Stormsurge,JUNGLE,7473.0,0.0,-24.17,1
Hecarim,Rabadon's Deathcap,Shadowflame,JUNGLE,10638.0,0.0,23.72,1
Yasuo,Hextech Rocketbelt,None,MIDDLE,6372.0,0.0,-19.49,1
Yasuo,Riftmaker,Hextech Rocketbelt,MIDDLE,7758.0,0.0,55.89,1
Yasuo,Cosmic Drive,Riftmaker,MIDDLE,10863.0,0.0,0,1
Neeko,Hextech Rocketbelt,None,MIDDLE,4282.0,100.0,13.95,1
Neeko,Zhonya's Hourglass,Hextech Rocketbelt,MIDDLE,7446.0,100.0,-21.85,1
Neeko,Shadowflame,Zhonya's Hourglass,MIDDLE,10759.0,100.0,0,1
Rengar,Lich Bane,None,JUNGLE,4667.0,0.0,-1.86,1
Rengar,Zhonya's Hourglass,Lich Bane,JUNGLE,8304.0,0.0,0,1
Diana,Hextech Rocketbelt,None,MIDDLE,3719.0,0.0,48.2,1
Diana,Stormsurge,Hextech Rocketbelt,MIDDLE,7201.0,0.0,3.58,1
Diana,Zhonya's Hourglass,Riftmaker,JUNGLE,11694.0,100.0,24.73,1
Diana,Spellslinger's Shoes,Zhonya's Hourglass,JUNGLE,12407.0,100.0,0,1
Ahri,Shadowflame,Hextech Rocketbelt,MIDDLE,7790.0,0.0,23.88,1
Ahri,Spellslinger's Shoes,Shadowflame,MIDDLE,8912.0,0.0,-9.37,1
Ahri,Zhonya's Hourglass,Spellslinger's Shoes,MIDDLE,11517.0,0.0,0,1
Ahri,Morellonomicon,Hextech Rocketbelt,MIDDLE,7616.0,0.0,-28.26,1
Ahri,Shadowflame,Morellonomicon,MIDDLE,10845.0,0.0,-4.03,1
Ahri,Zhonya's Hourglass,Shadowflame,MIDDLE,14048.0,0.0,11.29,1
Talon,Hextech Rocketbelt,None,JUNGLE,3731.0,0.0,0.68,1
Talon,Zhonya's Hourglass,Hextech Rocketbelt,JUNGLE,8678.0,0.0,-20.12,1
Talon,Rabadon's Deathcap,Zhonya's Hourglass,JUNGLE,11545.0,0.0,0,1
Talon,Rod of Ages,None,MIDDLE,4002.0,0.0,-17.67,1
Talon,Cosmic Drive,Rod of Ages,MIDDLE,7398.0,0.0,0,1
Ambessa,Hextech Rocketbelt,None,MIDDLE,3521.0,0.0,14.93,1
Ambessa,Shadowflame,Hextech Rocketbelt,MIDDLE,7990.0,0.0,13.64,1
