VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Ryze,Blackfire Torch,None,MIDDLE,4144.2,60.0,25.66,5
Ryze,Cosmic Drive,Blackfire Torch,MIDDLE,8138.2,75.0,13.97,4
Katarina,Blackfire Torch,None,MIDDLE,3871.0,25.0,-2.52,4
Ahri,Luden's Companion,None,MIDDLE,3785.2,50.0,38.22,4
Ekko,Luden's Companion,None,MIDDLE,4028.0,66.7,11.58,3
Ahri,Shadowflame,Luden's Companion,MIDDLE,8301.7,33.3,-2.31,3
Zed,Blackfire Torch,None,MIDDLE,3621.3,0.0,18.61,3
Hwei,Luden's Companion,None,MIDDLE,3853.7,100.0,55.89,3
Hwei,Shadowflame,Luden's Companion,MIDDLE,7880.7,100.0,5.34,3
Xerath,Blackfire Torch,None,MIDDLE,4118.0,33.3,1.96,3
Ekko,Shadowflame,Luden's Companion,MIDDLE,7848.5,100.0,6.87,2
Lux,Luden's Companion,None,MIDDLE,3317.0,100.0,70.31,2
Heimerdinger,Luden's Companion,None,MIDDLE,3455.5,50.0,26.26,2
Heimerdinger,Rabadon's Deathcap,Shadowflame,MIDDLE,13822.0,100.0,0,2
Vex,Luden's Companion,None,MIDDLE,3943.0,0.0,5.2,2
Vex,Shadowflame,Luden's Companion,MIDDLE,7821.5,0.0,52.77,2
Katarina,Cosmic Drive,Blackfire Torch,MIDDLE,7504.5,50.0,44.24,2
Leblanc,Luden's Companion,None,MIDDLE,4254.5,100.0,32.78,2
Leblanc,Blackfire Torch,None,MIDDLE,3553.5,50.0,7.18,2
Ahri,Blackfire Torch,None,MIDDLE,3988.5,50.0,27.08,2
Ahri,Rabadon's Deathcap,Shadowflame,MIDDLE,11613.5,50.0,27.74,2
Diana,Luden's Companion,None,MIDDLE,3549.5,100.0,-11.22,2
TwistedFate,Luden's Companion,None,MIDDLE,4063.5,50.0,119.19,2
Akshan,Luden's Companion,None,MIDDLE,3872.5,100.0,-0.33,2
Zed,Cosmic Drive,Blackfire Torch,MIDDLE,7516.5,0.0,14.47,2
Yone,Blackfire Torch,None,MIDDLE,3912.0,50.0,32.05,2
Yone,Zhonya's Hourglass,Rabadon's Deathcap,MIDDLE,12246.5,0.0,0,2
Hwei,Spellslinger's Shoes,Shadowflame,MIDDLE,8521.5,100.0,28.01,2
Zoe,Luden's Companion,None,MIDDLE,4267.0,50.0,25.3,2
Kassadin,Blackfire Torch,None,MIDDLE,3779.5,50.0,0.71,2
Kassadin,Rabadon's Deathcap,Shadowflame,MIDDLE,10923.0,50.0,-30.11,2
Xerath,Cosmic Drive,Blackfire Torch,MIDDLE,7485.0,50.0,7.77,2
Fizz,Luden's Companion,None,MIDDLE,4447.5,50.0,4.47,2
Fizz,Blackfire Torch,None,MIDDLE,3802.5,50.0,35.18,2
Fizz,Cosmic Drive,Blackfire Torch,MIDDLE,7049.0,50.0,-23.26,2
Fizz,Rabadon's Deathcap,Cosmic Drive,MIDDLE,11327.5,50.0,-2.48,2
Orianna,Blackfire Torch,None,MIDDLE,3586.5,50.0,33.72,2
Sylas,Luden's Companion,None,MIDDLE,5068.0,50.0,16.4,2
Sylas,Shadowflame,Luden's Companion,MIDDLE,8364.0,50.0,33.86,2
Mel,Blackfire Torch,None,MIDDLE,4280.5,100.0,9.88,2
Mel,Zhonya's Hourglass,Rabadon's Deathcap,MIDDLE,15193.5,50.0,0,2
Mel,Luden's Companion,None,MIDDLE,3747.5,0.0,45.86,2
Mel,Shadowflame,Luden's Companion,MIDDLE,8082.5,0.0,13.44,2
Malzahar,Blackfire Torch,None,MIDDLE,3842.5,100.0,41.4,2
Irelia,Luden's Companion,None,MIDDLE,3984.0,50.0,24.1,2
Irelia,Shadowflame,Luden's Companion,MIDDLE,7529.5,50.0,29.69,2
Viktor,Blackfire Torch,None,MIDDLE,4044.0,0.0,36.97,1
Viktor,Banshee's Veil,Blackfire Torch,MIDDLE,7727.0,0.0,28.37,1
Viktor,Void Staff,Banshee's Veil,MIDDLE,10702.0,0.0,51.4,1
Viktor,Rabadon's Deathcap,Void Staff,MIDDLE,14562.0,0.0,-21.04,1
Viktor,Stormsurge,Rabadon's Deathcap,MIDDLE,18262.0,0.0,-35.62,1
Viktor,Stormsurge,Stormsurge,MIDDLE,20730.0,0.0,0,1
Viktor,Cosmic Drive,Stormsurge,MIDDLE,20730.0,0.0,0,1
Viktor,Luden's Companion,None,MIDDLE,3926.0,100.0,39.02,1
Viktor,Shadowflame,Luden's Companion,MIDDLE,7861.0,100.0,-7.54,1
Ekko,Zhonya's Hourglass,Shadowflame,MIDDLE,10876.0,100.0,0,1
Ekko,Cosmic Drive,Luden's Companion,MIDDLE,7439.0,0.0,-3.02,1
Ekko,Rabadon's Deathcap,Cosmic Drive,MIDDLE,12363.0,0.0,70.86,1
Ekko,Shadowflame,Rabadon's Deathcap,MIDDLE,14342.0,0.0,0,1
Ekko,Rabadon's Deathcap,Shadowflame,MIDDLE,11194.0,100.0,0,1
