VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Shaco,Youmuu's Ghostblade,None,JUNGLE,3708.0,33.3,34.47,3
LeeSin,Youmuu's Ghostblade,None,JUNGLE,3267.0,50.0,50.7,2
LeeSin,Hubris,Youmuu's Ghostblade,JUNGLE,7180.0,50.0,23.8,2
Lux,Youmuu's Ghostblade,None,MIDDLE,3876.0,50.0,-13.02,2
Lux,Opportunity,Youmuu's Ghostblade,MIDDLE,7237.0,50.0,-4.22,2
Ahri,Youmuu's Ghostblade,None,MIDDLE,5102.5,50.0,-5.23,2
Ahri,Opportunity,Youmuu's Ghostblade,MIDDLE,7052.5,50.0,104.03,2
Hecarim,Youmuu's Ghostblade,None,JUNGLE,4011.0,50.0,32.44,2
Viego,Youmuu's Ghostblade,None,JUNGLE,3855.0,0.0,3.59,2
Nocturne,Youmuu's Ghostblade,None,JUNGLE,3884.0,50.0,50.48,2
Nocturne,Opportunity,Youmuu's Ghostblade,JUNGLE,6814.5,50.0,14.21,2
Jax,Youmuu's Ghostblade,None,JUNGLE,4122.5,0.0,58.66,2
Jax,Axiom Arc,Youmuu's Ghostblade,JUNGLE,6697.0,0.0,-5.49,2
Warwick,Youmuu's Ghostblade,None,JUNGLE,4028.5,100.0,18.25,2
Shaco,Axiom Arc,Youmuu's Ghostblade,JUNGLE,6574.5,0.0,37.03,2
LeeSin,Black Cleaver,Hubris,JUNGLE,10401.0,0.0,54.71,1
LeeSin,Edge of Night,Black Cleaver,JUNGLE,13313.0,0.0,55.94,1
LeeSin,Death's Dance,Edge of Night,JUNGLE,16682.0,0.0,-5.52,1
LeeSin,Serpent's Fang,Death's Dance,JUNGLE,22013.0,0.0,-35.33,1
LeeSin,Serpent's Fang,Serpent's Fang,JUNGLE,23568.0,0.0,0,1
LeeSin,Death's Dance,Serpent's Fang,JUNGLE,23568.0,0.0,0,1
LeeSin,Edge of Night,Death's Dance,JUNGLE,23568.0,0.0,0,1
LeeSin,Hubris,Edge of Night,JUNGLE,23568.0,0.0,0,1
LeeSin,Youmuu's Ghostblade,Hubris,JUNGLE,23568.0,0.0,0,1
LeeSin,Black Cleaver,Youmuu's Ghostblade,JUNGLE,23568.0,0.0,0,1
LeeSin,Redemption,Black Cleaver,JUNGLE,23568.0,0.0,0,1
LeeSin,Mikael's Blessing,Redemption,JUNGLE,23568.0,0.0,0,1
LeeSin,Morellonomicon,Mikael's Blessing,JUNGLE,23568.0,0.0,0,1
LeeSin,Imperial Mandate,Morellonomicon,JUNGLE,23568.0,0.0,0,1
LeeSin,Locket of the Iron Solari,Imperial Mandate,JUNGLE,23691.0,0.0,0,1
LeeSin,Morellonomicon,Locket of the Iron Solari,JUNGLE,23691.0,0.0,0,1
LeeSin,Knight's Vow,Morellonomicon,JUNGLE,23691.0,0.0,0,1
LeeSin,Youmuu's Ghostblade,Knight's Vow,JUNGLE,23691.0,0.0,0,1
LeeSin,Edge of Night,Hubris,JUNGLE,23691.0,0.0,0,1
LeeSin,Redemption,Serpent's Fang,JUNGLE,23691.0,0.0,0,1
LeeSin,Staff of Flowing Water,Mikael's Blessing,JUNGLE,23691.0,0.0,0,1
LeeSin,Locket of the Iron Solari,Staff of Flowing Water,JUNGLE,23691.0,0.0,0,1
LeeSin,Knight's Vow,Locket of the Iron Solari,JUNGLE,23691.0,0.0,0,1
LeeSin,Serylda's Grudge,Hubris,JUNGLE,10767.0,100.0,42.96,1
LeeSin,Axiom Arc,Serylda's Grudge,JUNGLE,13379.0,100.0,26.89,1
LeeSin,Edge of Night,Axiom Arc,JUNGLE,16150.0,100.0,0,1
Diana,Youmuu's Ghostblade,None,JUNGLE,3878.0,0.0,44.58,1
Diana,Eclipse,Youmuu's Ghostblade,JUNGLE,6790.0,0.0,56.07,1
Diana,Black Cleaver,Eclipse,JUNGLE,9543.0,0.0,5.65,1
Diana,Serpent's Fang,Black Cleaver,JUNGLE,13174.0,0.0,-19.56,1
Diana,Chempunk Chainsword,Serpent's Fang,JUNGLE,15445.0,0.0,14.96,1
Diana,Maw of Malmortius,Chempunk Chainsword,JUNGLE,19765.0,0.0,-2.72,1
MasterYi,Youmuu's Ghostblade,None,JUNGLE,3978.0,0.0,92.55,1
MasterYi,Hubris,Youmuu's Ghostblade,JUNGLE,6557.0,0.0,39.09,1
MasterYi,Edge of Night,Hubris,JUNGLE,10337.0,0.0,-19.66,1
Cassiopeia,Youmuu's Ghostblade,None,MIDDLE,5271.0,100.0,-0.77,1
Cassiopeia,Edge of Night,Youmuu's Ghostblade,MIDDLE,9798.0,100.0,20.41,1
Cassiopeia,Chainlaced Crushers,Edge of Night,MIDDLE,11601.0,100.0,0,1
Cassiopeia,Chainlaced Crushers,Chainlaced Crushers,MIDDLE,11601.0,100.0,0,1
Poppy,Eclipse,None,JUNGLE,3501.0,100.0,-4.09,1
Poppy,Black Cleaver,Eclipse,JUNGLE,7820.0,100.0,33.83,1
Poppy,Sundered Sky,Black Cleaver,JUNGLE,11109.0,100.0,19.97,1
Poppy,Crimson Lucidity,Sundered Sky,JUNGLE,12433.0,100.0,0,1
Poppy,Youmuu's Ghostblade,Crimson Lucidity,JUNGLE,15676.0,100.0,0,1
Lux,Crimson Lucidity,Opportunity,MIDDLE,9587.0,100.0,0,1
Ahri,Edge of Night,Opportunity,MIDDLE,11058.0,0.0,42.51,1
Ahri,Serylda's Grudge,Edge of Night,MIDDLE,12877.0,0.0,-7.99,1
Ahri,Axiom Arc,Serylda's Grudge,MIDDLE,15770.0,0.0,-24.9,1
Ahri,Profane Hydra,Opportunity,MIDDLE,10113.0,100.0,53.9,1
Ahri,Serylda's Grudge,Profane Hydra,MIDDLE,13304.0,100.0,35.23,1
Ahri,The Collector,Serylda's Grudge,MIDDLE,15700.0,100.0,13.33,1
Ahri,Hubris,The Collector,MIDDLE,18048.0,100.0,-13.01,1
Ahri,Hubris,Hubris,MIDDLE,18399.0,100.0,-3.28,1
Pantheon,Youmuu's Ghostblade,None,JUNGLE,4115.0,100.0,32.09,1
Pantheon,Opportunity,Youmuu's Ghostblade,JUNGLE,4573.0,100.0,39.26,1
Pantheon,Youmuu's Ghostblade,Opportunity,JUNGLE,4573.0,100.0,39.68,1
Pantheon,Axiom Arc,Opportunity,JUNGLE,11018.0,100.0,31.57,1
Pantheon,Serylda's Grudge,Axiom Arc,JUNGLE,12613.0,100.0,0,1
MonkeyKing,Youmuu's Ghostblade,None,JUNGLE,3473.0,0.0,25.0,1
