VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Nami,Locket of the Iron Solari,None,UTILITY,3714.2,50.0,-2.37,4
Nami,Winter's Approach,Winter's Approach,UTILITY,7187.0,66.7,-14.09,3
TahmKench,Winter's Approach,Winter's Approach,UTILITY,5577.0,50.0,-7.92,2
Alistar,Locket of the Iron Solari,None,UTILITY,3635.5,50.0,29.91,2
Rakan,Winter's Approach,Winter's Approach,UTILITY,6319.5,0.0,-3.06,2
Nautilus,Locket of the Iron Solari,None,UTILITY,4192.5,100.0,0.08,2
TahmKench,Knight's Vow,None,UTILITY,4193.0,0.0,-2.62,1
TahmKench,Winter's Approach,Knight's Vow,UTILITY,6851.0,0.0,0,1
TahmKench,Winter's Approach,None,UTILITY,4303.0,100.0,-7.92,1
TahmKench,Locket of the Iron Solari,Winter's Approach,UTILITY,6845.0,100.0,-30.89,1
TahmKench,Knight's Vow,Locket of the Iron Solari,UTILITY,9433.0,100.0,0,1
Swain,Locket of the Iron Solari,None,UTILITY,4560.0,0.0,14.55,1
Swain,Winter's Approach,Locket of the Iron Solari,UTILITY,6628.0,0.0,62.33,1
Swain,Winter's Approach,Winter's Approach,UTILITY,8543.0,0.0,0,1
Janna,Locket of the Iron Solari,None,UTILITY,3526.0,100.0,1.72,1
Janna,Armored Advance,Locket of the Iron Solari,UTILITY,5219.0,100.0,0,1
Nami,Armored Advance,Locket of the Iron Solari,UTILITY,4921.0,100.0,-19.68,1
Nami,Winter's Approach,Armored Advance,UTILITY,7368.0,100.0,9.11,1
Nami,Thornmail,Winter's Approach,UTILITY,9053.0,100.0,-31.3,1
Nami,Chainlaced Crushers,Locket of the Iron Solari,UTILITY,5049.0,100.0,39.39,1
Nami,Winter's Approach,Chainlaced Crushers,UTILITY,7350.0,100.0,0,1
Nami,Frozen Heart,None,UTILITY,5405.0,0.0,-42.06,1
Nami,Winter's Approach,Frozen Heart,UTILITY,6843.0,0.0,-37.3,1
Soraka,Locket of the Iron Solari,None,UTILITY,4355.0,0.0,1.91,1
Soraka,Winter's Approach,Locket of the Iron Solari,UTILITY,6632.0,0.0,0,1
Soraka,Winter's Approach,Winter's Approach,UTILITY,6632.0,0.0,0,1
Milio,Locket of the Iron Solari,None,UTILITY,4169.0,100.0,13.4,1
Milio,Winter's Approach,Locket of the Iron Solari,UTILITY,7382.0,100.0,0,1
Milio,Winter's Approach,Winter's Approach,UTILITY,7382.0,100.0,0,1
Alistar,Winter's Approach,Locket of the Iron Solari,UTILITY,5366.0,100.0,-37.57,1
Alistar,Winter's Approach,Winter's Approach,UTILITY,5519.0,100.0,-21.17,1
Alistar,Armored Advance,Winter's Approach,UTILITY,7192.0,100.0,35.37,1
Rakan,Winter's Approach,None,UTILITY,3711.0,0.0,67.31,1
Rakan,Frozen Heart,Winter's Approach,UTILITY,7086.0,0.0,-7.81,1
Rakan,Redemption,None,UTILITY,3126.0,0.0,35.19,1
Rakan,Winter's Approach,Redemption,UTILITY,6855.0,0.0,-25.89,1
Leona,Locket of the Iron Solari,None,UTILITY,2912.0,100.0,51.42,1
Leona,Winter's Approach,Locket of the Iron Solari,UTILITY,5355.0,100.0,5.13,1
Leona,Winter's Approach,Winter's Approach,UTILITY,8220.0,100.0,0,1
Leona,Chainlaced Crushers,Winter's Approach,UTILITY,8513.0,100.0,0,1
Rell,Locket of the Iron Solari,None,UTILITY,3366.0,0.0,16.86,1
Rell,Winter's Approach,Locket of the Iron Solari,UTILITY,5870.0,0.0,-10.56,1
Rell,Redemption,Winter's Approach,UTILITY,8497.0,0.0,3.41,1
Rell,Winter's Approach,Redemption,UTILITY,9035.0,0.0,24.16,1
Rell,Knight's Vow,Winter's Approach,UTILITY,10657.0,0.0,-31.0,1
Pyke,Locket of the Iron Solari,None,UTILITY,6376.0,0.0,-22.46,1
Pyke,Winter's Approach,Locket of the Iron Solari,UTILITY,7649.0,0.0,0,1
Nautilus,Winter's Approach,Locket of the Iron Solari,UTILITY,6888.0,100.0,0,1
Nautilus,Winter's Approach,Winter's Approach,UTILITY,6888.0,100.0,0,1
Nautilus,Echoes of Helia,None,UTILITY,3915.0,100.0,1.64,1
Nautilus,Frozen Heart,Echoes of Helia,UTILITY,6555.0,100.0,97.54,1
Nautilus,Swiftmarch,Frozen Heart,UTILITY,6555.0,100.0,97.73,1
Nautilus,Redemption,Locket of the Iron Solari,UTILITY,6731.0,100.0,-9.55,1
Nautilus,Swiftmarch,Redemption,UTILITY,7137.0,100.0,26.19,1
Thresh,Locket of the Iron Solari,None,UTILITY,4501.0,100.0,29.34,1
Thresh,Swiftmarch,Locket of the Iron Solari,UTILITY,5888.0,100.0,15.56,1
Thresh,Knight's Vow,Swiftmarch,UTILITY,7075.0,100.0,-1.43,1
Thresh,Winter's Approach,Knight's Vow,UTILITY,9568.0,100.0,0,1
Thresh,Winter's Approach,Winter's Approach,UTILITY,9568.0,100.0,0,1
Bard,Frozen Heart,None,UTILITY,3159.0,100.0,-20.33,1
Bard,Chainlaced Crushers,Frozen Heart,UTILITY,4991.0,100.0,20.91,1
Bard,Locket of the Iron Solari,Chainlaced Crushers,UTILITY,6897.0,100.0,51.27,1
Bard,Abyssal Mask,Locket of the Iron Solari,UTILITY,9815.0,100.0,-2.24,1
