VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Garen,Nashor's Tooth,None,TOP,4417.2,75.0,24.34,4
Garen,Liandry's Torment,Nashor's Tooth,TOP,8567.0,66.7,22.03,3
Diana,Nashor's Tooth,None,JUNGLE,4207.7,100.0,20.75,3
Tryndamere,Nashor's Tooth,None,TOP,5870.0,50.0,24.76,2
Nami,Malignance,None,UTILITY,3903.0,50.0,33.47,2
Heimerdinger,Malignance,Liandry's Torment,TOP,10178.5,100.0,-12.67,2
Singed,Malignance,Swiftmarch,TOP,11037.5,0.0,-16.28,2
Aatrox,Malignance,Nashor's Tooth,TOP,9235.0,100.0,15.27,2
Thresh,Malignance,None,UTILITY,3714.0,50.0,-6.39,2
Thresh,Liandry's Torment,Malignance,UTILITY,8563.5,50.0,104.23,2
Kayle,Nashor's Tooth,None,TOP,3917.0,50.0,14.86,2
Kayle,Liandry's Torment,Nashor's Tooth,TOP,8548.0,50.0,65.42,2
Irelia,Nashor's Tooth,None,TOP,4314.0,50.0,18.06,2
Irelia,Liandry's Torment,Nashor's Tooth,TOP,8094.0,50.0,15.26,2
Diana,Malignance,Nashor's Tooth,JUNGLE,7446.5,100.0,60.5,2
Ornn,Nashor's Tooth,None,TOP,4809.0,50.0,58.03,2
Darius,Nashor's Tooth,None,TOP,4784.5,50.0,14.76,2
Darius,Liandry's Torment,Nashor's Tooth,TOP,7761.0,50.0,15.21,2
Sett,Nashor's Tooth,None,TOP,4881.0,0.0,29.93,2
Viego,Nashor's Tooth,None,JUNGLE,4807.0,0.0,39.65,1
Viego,Liandry's Torment,Nashor's Tooth,JUNGLE,7294.0,0.0,-14.31,1
Caitlyn,Nashor's Tooth,None,BOTTOM,4011.0,100.0,26.61,1
Caitlyn,Liandry's Torment,Nashor's Tooth,BOTTOM,8114.0,100.0,-16.82,1
Caitlyn,Spellslinger's Shoes,Liandry's Torment,BOTTOM,9760.0,100.0,0,1
Tryndamere,Malignance,Nashor's Tooth,TOP,8669.0,100.0,36.36,1
Tryndamere,Liandry's Torment,Malignance,TOP,10468.0,100.0,-14.08,1
Tryndamere,Blade of The Ruined King,Nashor's Tooth,TOP,8500.0,0.0,32.91,1
Tryndamere,Gunmetal Greaves,Blade of The Ruined King,TOP,9009.0,0.0,10.57,1
Tryndamere,Guinsoo's Rageblade,Gunmetal Greaves,TOP,11171.0,0.0,-45.87,1
Tryndamere,Gunmetal Greaves,Guinsoo's Rageblade,TOP,11519.0,0.0,-3.16,1
Tryndamere,Spellslinger's Shoes,Gunmetal Greaves,TOP,12113.0,0.0,9.63,1
Tryndamere,Blade of The Ruined King,Spellslinger's Shoes,TOP,14164.0,0.0,0,1
Tryndamere,Liandry's Torment,Blade of The Ruined King,TOP,14164.0,0.0,0,1
Tryndamere,Malignance,Liandry's Torment,TOP,14564.0,0.0,0,1
Mel,Nashor's Tooth,None,TOP,4895.0,0.0,0,1
Mel,Malignance,None,UTILITY,3434.0,0.0,17.46,1
Mel,Liandry's Torment,Malignance,UTILITY,6686.0,0.0,-25.85,1
Urgot,Liandry's Torment,None,TOP,5364.0,100.0,-4.92,1
Urgot,Shadowflame,Liandry's Torment,TOP,8913.0,100.0,-17.77,1
Urgot,Malignance,Shadowflame,TOP,10599.0,100.0,0,1
Akali,Nashor's Tooth,None,TOP,3439.0,0.0,36.82,1
Akali,Liandry's Torment,Nashor's Tooth,TOP,7912.0,0.0,41.98,1
Akali,Malignance,Liandry's Torment,TOP,10507.0,0.0,9.74,1
Akali,Shadowflame,Malignance,TOP,13563.0,0.0,0,1
Ambessa,Nashor's Tooth,None,TOP,4673.0,100.0,73.86,1
Ambessa,Liandry's Torment,Nashor's Tooth,TOP,8987.0,100.0,7.36,1
Ambessa,Malignance,Liandry's Torment,TOP,10782.0,100.0,0,1
Ambessa,Liandry's Torment,None,TOP,4419.0,100.0,46.51,1
Ambessa,Nashor's Tooth,Liandry's Torment,TOP,9136.0,100.0,74.69,1
Ambessa,Spellslinger's Shoes,Nashor's Tooth,TOP,10400.0,100.0,46.6,1
Ambessa,Shadowflame,Spellslinger's Shoes,TOP,12021.0,100.0,0,1
Heimerdinger,Liandry's Torment,None,TOP,4149.0,100.0,19.62,1
Heimerdinger,Nashor's Tooth,None,TOP,5356.0,100.0,47.14,1
Heimerdinger,Nashor's Tooth,Nashor's Tooth,TOP,5356.0,100.0,52.04,1
Heimerdinger,Spellslinger's Shoes,Nashor's Tooth,TOP,7691.0,100.0,64.61,1
Heimerdinger,Liandry's Torment,Spellslinger's Shoes,TOP,9730.0,100.0,18.87,1
Heimerdinger,Shadowflame,Malignance,TOP,15650.0,100.0,20.25,1
Heimerdinger,Nashor's Tooth,Shadowflame,TOP,17922.0,100.0,0,1
Heimerdinger,Rabadon's Deathcap,Nashor's Tooth,TOP,17922.0,100.0,0,1
Yorick,Liandry's Torment,None,TOP,3777.0,0.0,148.9,1
Yorick,Malignance,Liandry's Torment,TOP,7114.0,0.0,-11.47,1
Yorick,Blackfire Torch,Malignance,TOP,9984.0,0.0,73.35,1
Yorick,Morellonomicon,Blackfire Torch,TOP,12782.0,0.0,25.46,1
Yorick,Shadowflame,Morellonomicon,TOP,15648.0,0.0,-8.12,1
Yorick,Rabadon's Deathcap,Shadowflame,TOP,19499.0,0.0,0,1
Singed,Liandry's Torment,None,TOP,3398.0,0.0,9.3,1
Singed,Nashor's Tooth,Liandry's Torment,TOP,7092.0,0.0,35.36,1
Singed,Swiftmarch,Nashor's Tooth,TOP,8889.0,0.0,-19.61,1
Singed,Stormsurge,None,TOP,4165.0,100.0,34.2,1
Singed,Shadowflame,Stormsurge,TOP,7799.0,100.0,134.61,1
Singed,Lich Bane,Shadowflame,TOP,10895.0,100.0,73.46,1
Singed,Rabadon's Deathcap,Lich Bane,TOP,14532.0,100.0,0,1
Singed,Nashor's Tooth,None,TOP,5055.0,0.0,55.12,1
Singed,Liandry's Torment,Nashor's Tooth,TOP,7485.0,0.0,140.67,1
Singed,Swiftmarch,Liandry's Torment,TOP,7485.0,0.0,141.09,1
Singed,Rabadon's Deathcap,Malignance,TOP,14533.0,0.0,0,1
Poppy,Malignance,None,UTILITY,3524.0,0.0,-27.32,1
Poppy,Liandry's Torment,Malignance,UTILITY,8320.0,0.0,0,1
Poppy,Liandry's Torment,None,TOP,4473.0,0.0,31.62,1
Shaco,Liandry's Torment,None,JUNGLE,3898.0,0.0,23.82,1
Shaco,Malignance,Liandry's Torment,JUNGLE,7064.0,0.0,71.51,1
Shaco,Bloodletter's Curse,Malignance,JUNGLE,10153.0,0.0,0,1
Shaco,Nashor's Tooth,None,JUNGLE,3686.0,100.0,-20.38,1
Shaco,Liandry's Torment,Nashor's Tooth,JUNGLE,7748.0,100.0,73.66,1
Shaco,Spellslinger's Shoes,Liandry's Torment,JUNGLE,8473.0,100.0,59.46,1
Shaco,Rabadon's Deathcap,Spellslinger's Shoes,JUNGLE,11755.0,100.0,0,1
Shen,Nashor's Tooth,None,TOP,4806.0,0.0,20.24,1
Shen,Liandry's Torment,Nashor's Tooth,TOP,8434.0,0.0,-51.09,1
Shen,Malignance,Liandry's Torment,TOP,10233.0,0.0,0,1
Shen,Nashor's Tooth,None,MIDDLE,3700.0,0.0,7.38,1
Aatrox,Nashor's Tooth,None,TOP,4148.0,100.0,158.6,1
Aatrox,Spellslinger's Shoes,Malignance,TOP,8713.0,100.0,12.97,1
Aatrox,Liandry's Torment,None,TOP,6636.0,100.0,16.0,1
Aatrox,Nashor's Tooth,Liandry's Torment,TOP,7845.0,100.0,56.19,1
Aatrox,Armored Advance,Malignance,TOP,11195.0,100.0,0,1
XinZhao,Shadowflame,None,JUNGLE,4580.0,0.0,30.87,1
XinZhao,Malignance,Shadowflame,JUNGLE,8564.0,0.0,9.68,1
XinZhao,Void Staff,Malignance,JUNGLE,11068.0,0.0,-23.02,1
Aurora,Malignance,None,TOP,4965.0,100.0,14.94,1
Aurora,Liandry's Torment,Malignance,TOP,7484.0,100.0,31.94,1
Aurora,Spellslinger's Shoes,Liandry's Torment,TOP,9042.0,100.0,0,1
Cassiopeia,Nashor's Tooth,None,TOP,4921.0,0.0,-19.58,1
Cassiopeia,Malignance,Nashor's Tooth,TOP,6756.0,0.0,39.03,1
Cassiopeia,Liandry's Torment,Malignance,TOP,10059.0,0.0,14.45,1
Cassiopeia,Swiftmarch,Liandry's Torment,TOP,11776.0,0.0,-26.51,1
Cassiopeia,Liandry's Torment,None,TOP,4214.0,100.0,31.74,1
Cassiopeia,Nashor's Tooth,Liandry's Torment,TOP,8031.0,100.0,89.98,1
Cassiopeia,Spellslinger's Shoes,Nashor's Tooth,TOP,10025.0,100.0,0,1
MasterYi,Nashor's Tooth,None,JUNGLE,5101.0,100.0,13.02,1
MasterYi,Liandry's Torment,Nashor's Tooth,JUNGLE,8221.0,100.0,29.55,1
MasterYi,Spellslinger's Shoes,Liandry's Torment,JUNGLE,9372.0,100.0,0,1
DrMundo,Nashor's Tooth,None,TOP,3922.0,100.0,31.59,1
DrMundo,Liandry's Torment,Nashor's Tooth,TOP,8120.0,100.0,50.14,1
DrMundo,Swiftmarch,Liandry's Torment,TOP,8120.0,100.0,50.38,1
DrMundo,Malignance,Swiftmarch,TOP,10833.0,100.0,-0.73,1
Thresh,Shadowflame,Liandry's Torment,UTILITY,11526.0,0.0,0,1
Brand,Malignance,None,UTILITY,3773.0,100.0,-1.9,1
Brand,Spellslinger's Shoes,Malignance,UTILITY,6693.0,100.0,41.08,1
Brand,Liandry's Torment,Spellslinger's Shoes,UTILITY,8202.0,100.0,-11.89,1
Brand,Rabadon's Deathcap,Liandry's Torment,UTILITY,12421.0,100.0,-10.91,1
Brand,Morellonomicon,Rabadon's Deathcap,UTILITY,14773.0,100.0,-3.25,1
TahmKench,Malignance,None,UTILITY,3948.0,100.0,68.43,1
TahmKench,Spellslinger's Shoes,Malignance,UTILITY,6385.0,100.0,33.18,1
TahmKench,Liandry's Torment,Spellslinger's Shoes,UTILITY,7974.0,100.0,0,1
Kayle,Malignance,Liandry's Torment,TOP,10724.0,0.0,-6.08,1
Kayle,Rabadon's Deathcap,Malignance,TOP,14434.0,0.0,0,1
Kayle,Shadowflame,Liandry's Torment,TOP,10799.0,100.0,2.86,1
Kayle,Malignance,Shadowflame,TOP,13381.0,100.0,41.31,1
Kayle,Swiftmarch,Malignance,TOP,14539.0,100.0,0,1
Hwei,Malignance,None,MIDDLE,3475.0,0.0,7.46,1
Hwei,Liandry's Torment,Malignance,MIDDLE,6917.0,0.0,-13.85,1
LeeSin,Nashor's Tooth,None,JUNGLE,4223.0,0.0,-20.98,1
LeeSin,Liandry's Torment,Nashor's Tooth,JUNGLE,8019.0,0.0,-5.29,1
LeeSin,Spellslinger's Shoes,Liandry's Torment,JUNGLE,8933.0,0.0,-21.62,1
LeeSin,Malignance,Spellslinger's Shoes,JUNGLE,11258.0,0.0,0,1
Warwick,Nashor's Tooth,None,TOP,4277.0,0.0,3.16,1
Warwick,Liandry's Torment,Nashor's Tooth,TOP,9090.0,0.0,-32.58,1
Warwick,Malignance,Liandry's Torment,TOP,10738.0,0.0,69.43,1
Warwick,Morellonomicon,Malignance,TOP,13111.0,0.0,0,1
Irelia,Malignance,Liandry's Torment,TOP,9574.0,100.0,41.34,1
Irelia,Spellslinger's Shoes,Malignance,TOP,12755.0,100.0,0,1
Irelia,Nashor's Tooth,None,MIDDLE,4034.0,0.0,-9.08,1
Irelia,Liandry's Torment,Nashor's Tooth,MIDDLE,7042.0,0.0,13.81,1
Irelia,Malignance,Liandry's Torment,MIDDLE,10158.0,0.0,26.71,1
Irelia,Shadowflame,Malignance,MIDDLE,13576.0,0.0,0,1
Irelia,Spellslinger's Shoes,Liandry's Torment,TOP,9453.0,0.0,0,1
Senna,Nashor's Tooth,None,UTILITY,4071.0,0.0,-24.32,1
Senna,Liandry's Torment,Nashor's Tooth,UTILITY,7784.0,0.0,0,1
Gragas,Malignance,None,UTILITY,3610.0,100.0,-2.16,1
Gragas,Spellslinger's Shoes,Malignance,UTILITY,5540.0,100.0,-13.47,1
Gragas,Liandry's Torment,Spellslinger's Shoes,UTILITY,8023.0,100.0,-3.09,1
Gragas,Nashor's Tooth,None,TOP,3969.0,100.0,-20.94,1
Gragas,Liandry's Torment,Nashor's Tooth,TOP,7623.0,100.0,36.11,1
Gragas,Void Staff,Liandry's Torment,TOP,11800.0,100.0,0,1
Garen,Malignance,Liandry's Torment,TOP,11021.0,100.0,0,1
Garen,Malignance,Nashor's Tooth,TOP,8458.0,100.0,-22.82,1
Garen,Swiftmarch,Malignance,TOP,9922.0,100.0,-10.56,1
Garen,Shadowflame,Swiftmarch,TOP,11021.0,100.0,21.74,1
Garen,Swiftmarch,Liandry's Torment,TOP,11343.0,100.0,-7.14,1
Garen,Zhonya's Hourglass,Swiftmarch,TOP,12559.0,100.0,0,1
Diana,Liandry's Torment,Nashor's Tooth,JUNGLE,8713.0,100.0,61.33,1
Diana,Spellslinger's Shoes,Liandry's Torment,JUNGLE,10433.0,100.0,52.04,1
Diana,Shadowflame,Spellslinger's Shoes,JUNGLE,11674.0,100.0,44.21,1
Diana,Malignance,Shadowflame,JUNGLE,13906.0,100.0,0,1
Diana,Liandry's Torment,Malignance,JUNGLE,10288.0,100.0,0,1
Diana,Rabadon's Deathcap,Malignance,JUNGLE,11134.0,100.0,0,1
Ornn,Blade of The Ruined King,Nashor's Tooth,TOP,8867.0,0.0,0,1
Ornn,Liandry's Torment,Nashor's Tooth,TOP,8000.0,100.0,15.06,1
Ornn,Spellslinger's Shoes,Liandry's Torment,TOP,9561.0,100.0,71.32,1
Chogath,Liandry's Torment,None,TOP,3665.0,0.0,11.5,1
Chogath,Nashor's Tooth,Liandry's Torment,TOP,8585.0,0.0,0,1
Briar,Liandry's Torment,None,JUNGLE,3956.0,100.0,21.21,1
Briar,Malignance,Liandry's Torment,JUNGLE,7454.0,100.0,61.59,1
Briar,Shadowflame,Malignance,JUNGLE,10650.0,100.0,41.99,1
Corki,Liandry's Torment,None,TOP,4869.0,0.0,52.68,1
Corki,Malignance,Liandry's Torment,TOP,7390.0,0.0,36.33,1
Corki,Swiftmarch,Malignance,TOP,10294.0,0.0,-22.42,1
Corki,Shadowflame,Swiftmarch,TOP,11179.0,0.0,0,1
Skarner,Liandry's Torment,None,JUNGLE,4811.0,100.0,17.65,1
Skarner,Nashor's Tooth,Liandry's Torment,JUNGLE,8105.0,100.0,26.7,1
Skarner,Spellslinger's Shoes,Nashor's Tooth,JUNGLE,8389.0,100.0,23.01,1
Skarner,Malignance,Spellslinger's Shoes,JUNGLE,12724.0,100.0,44.71,1
Skarner,Blackfire Torch,Malignance,JUNGLE,15215.0,100.0,0,1
Sion,Liandry's Torment,None,TOP,4651.0,100.0,14.48,1
Sion,Liandry's Torment,Liandry's Torment,TOP,4651.0,100.0,16.11,1
Sion,Malignance,Liandry's Torment,TOP,8024.0,100.0,-8.12,1
Sion,Spellslinger's Shoes,Malignance,TOP,8024.0,100.0,-7.8,1
Sion,Void Staff,Spellslinger's Shoes,TOP,11946.0,100.0,-23.72,1
Sion,Shadowflame,Void Staff,TOP,14543.0,100.0,0,1
Shyvana,Nashor's Tooth,None,JUNGLE,3409.0,0.0,-0.25,1
Shyvana,Liandry's Torment,Nashor's Tooth,JUNGLE,7078.0,0.0,11.43,1
Khazix,Nashor's Tooth,None,JUNGLE,3384.0,0.0,115.67,1
Khazix,Liandry's Torment,Nashor's Tooth,JUNGLE,7197.0,0.0,-43.36,1
Khazix,Malignance,Liandry's Torment,JUNGLE,9986.0,0.0,0,1
Lillia,Nashor's Tooth,None,JUNGLE,4140.0,100.0,90.76,1
Lillia,Bloodletter's Curse,Nashor's Tooth,JUNGLE,7609.0,100.0,-0.02,1
Lillia,Spellslinger's Shoes,Bloodletter's Curse,JUNGLE,8938.0,100.0,40.17,1
Lillia,Malignance,Spellslinger's Shoes,JUNGLE,12325.0,100.0,14.85,1
Lillia,Shadowflame,Malignance,JUNGLE,14270.0,100.0,0,1
Darius,Malignance,Liandry's Torment,TOP,10980.0,100.0,0,1
Darius,Rabadon's Deathcap,Liandry's Torment,TOP,11526.0,0.0,-24.85,1
Darius,Shadowflame,Rabadon's Deathcap,TOP,14927.0,0.0,-21.19,1
Lulu,Malignance,None,UTILITY,4973.0,100.0,27.32,1
Lulu,Spellslinger's Shoes,Malignance,UTILITY,6932.0,100.0,87.79,1
Lulu,Liandry's Torment,Spellslinger's Shoes,UTILITY,9693.0,100.0,0,1
Yone,Malignance,None,TOP,4120.0,0.0,12.12,1
Yone,Liandry's Torment,Malignance,TOP,7013.0,0.0,12.08,1
Yone,Blackfire Torch,Liandry's Torment,TOP,9017.0,0.0,7.73,1
Yone,Shadowflame,Blackfire Torch,TOP,12344.0,0.0,0,1
Yone,Liandry's Torment,None,TOP,4836.0,100.0,32.6,1
Yone,Nashor's Tooth,Liandry's Torment,TOP,8221.0,100.0,0,1
Yone,Spellslinger's Shoes,Nashor's Tooth,TOP,8700.0,100.0,0,1
Pantheon,Liandry's Torment,None,TOP,4877.0,100.0,-17.89,1
Pantheon,Nashor's Tooth,Liandry's Torment,TOP,7324.0,100.0,15.46,1
Pantheon,Spellslinger's Shoes,Nashor's Tooth,TOP,8456.0,100.0,-18.34,1
Nocturne,Liandry's Torment,None,JUNGLE,4732.0,100.0,7.28,1
Nocturne,Nashor's Tooth,Liandry's Torment,JUNGLE,8296.0,100.0,20.67,1
Nocturne,Malignance,Nashor's Tooth,JUNGLE,12320.0,100.0,0,1
KSante,Nashor's Tooth,None,TOP,3855.0,100.0,-10.37,1
KSante,Nashor's Tooth,Nashor's Tooth,TOP,5014.0,100.0,18.0,1
KSante,Malignance,Nashor's Tooth,TOP,8695.0,100.0,-13.14,1
Xayah,Nashor's Tooth,None,BOTTOM,4473.0,0.0,29.58,1
Xayah,Liandry's Torment,Nashor's Tooth,BOTTOM,6774.0,0.0,10.38,1
Xayah,Malignance,Liandry's Torment,BOTTOM,9699.0,0.0,-21.54,1
Xayah,Morellonomicon,Malignance,BOTTOM,13473.0,0.0,0,1
Nasus,Nashor's Tooth,None,TOP,4816.0,0.0,-13.86,1
Nasus,Liandry's Torment,Nashor's Tooth,TOP,7480.0,0.0,-45.29,1
Rell,Malignance,None,UTILITY,3632.0,100.0,-15.15,1
Rell,Liandry's Torment,Malignance,UTILITY,6776.0,100.0,-31.81,1
Rell,Rabadon's Deathcap,Liandry's Torment,UTILITY,11101.0,100.0,0,1
Gwen,Nashor's Tooth,None,TOP,5817.0,100.0,0,1
Quinn,Nashor's Tooth,None,TOP,4207.0,100.0,77.01,1
Quinn,Malignance,Nashor's Tooth,TOP,8404.0,100.0,-25.14,1
Quinn,Rabadon's Deathcap,Malignance,TOP,12054.0,100.0,0,1
Blitzcrank,Liandry's Torment,None,UTILITY,4055.0,0.0,-26.14,1
Blitzcrank,Blackfire Torch,Liandry's Torment,UTILITY,7274.0,0.0,43.89,1
Blitzcrank,Morellonomicon,Blackfire Torch,UTILITY,10118.0,0.0,11.44,1
Blitzcrank,Rabadon's Deathcap,Morellonomicon,UTILITY,13710.0,0.0,0,1
Jax,Nashor's Tooth,None,JUNGLE,3768.0,0.0,7.14,1
Jax,Liandry's Torment,Nashor's Tooth,JUNGLE,6971.0,0.0,0,1
Gangplank,Liandry's Torment,None,TOP,5367.0,100.0,32.24,1
Gangplank,Malignance,Liandry's Torment,TOP,8359.0,100.0,3.9,1
Gangplank,Shadowflame,Malignance,TOP,10452.0,100.0,-34.99,1
Olaf,Blade of The Ruined King,None,TOP,5360.0,0.0,76.18,1
Galio,Liandry's Torment,None,TOP,3993.0,0.0,17.87,1
Galio,Malignance,Liandry's Torment,TOP,8824.0,0.0,0,1
Karma,Liandry's Torment,None,UTILITY,4413.0,100.0,15.9,1
Karma,Malignance,Liandry's Torment,UTILITY,7247.0,100.0,-25.68,1
Ekko,Nashor's Tooth,None,TOP,5080.0,100.0,-2.67,1
Ekko,Malignance,Nashor's Tooth,TOP,7466.0,100.0,49.27,1
Ekko,Winter's Approach,Malignance,TOP,9650.0,100.0,39.46,1
Graves,Malignance,None,JUNGLE,2845.0,100.0,13.05,1
Graves,Liandry's Torment,Malignance,JUNGLE,6887.0,100.0,25.76,1
Graves,Shadowflame,Liandry's Torment,JUNGLE,9741.0,100.0,6.44,1
Graves,Morellonomicon,Shadowflame,JUNGLE,14095.0,100.0,-13.5,1
Zaahen,Liandry's Torment,None,TOP,4989.0,0.0,-1.55,1
Zaahen,Malignance,Liandry's Torment,TOP,7476.0,0.0,39.9,1
Zaahen,Shadowflame,Malignance,TOP,10642.0,0.0,10.86,1
Zac,Nashor's Tooth,None,JUNGLE,4694.0,0.0,8.36,1
Zac,Liandry's Torment,Nashor's Tooth,JUNGLE,7805.0,0.0,68.76,1
Zac,Malignance,Liandry's Torment,JUNGLE,10904.0,0.0,-12.46,1
Riven,Liandry's Torment,None,TOP,6688.0,100.0,-28.47,1
Riven,Nashor's Tooth,Liandry's Torment,TOP,8077.0,100.0,56.96,1
Riven,Malignance,Nashor's Tooth,TOP,11171.0,100.0,-19.59,1
Riven,Rabadon's Deathcap,Malignance,TOP,14046.0,100.0,0,1
Sett,Liandry's Torment,Nashor's Tooth,TOP,8335.0,0.0,56.14,1
Sett,Malignance,Liandry's Torment,TOP,11083.0,0.0,21.28,1
Sett,Shadowflame,Malignance,TOP,13383.0,0.0,117.91,1
Sett,Rabadon's Deathcap,Shadowflame,TOP,17002.0,0.0,0,1
Sett,Malignance,Nashor's Tooth,TOP,7655.0,0.0,-32.75,1
Sett,Liandry's Torment,Malignance,TOP,10305.0,0.0,9.43,1
Vex,Nashor's Tooth,None,MIDDLE,3437.0,0.0,-27.59,1
Vex,Liandry's Torment,Nashor's Tooth,MIDDLE,6499.0,0.0,14.14,1
Vex,Malignance,Liandry's Torment,MIDDLE,11299.0,0.0,55.99,1
Vex,Rabadon's Deathcap,Malignance,MIDDLE,13754.0,0.0,-39.34,1
FiddleSticks,Nashor's Tooth,None,JUNGLE,3893.0,100.0,2.32,1
FiddleSticks,Liandry's Torment,Nashor's Tooth,JUNGLE,8508.0,100.0,32.59,1
FiddleSticks,Malignance,Liandry's Torment,JUNGLE,10278.0,100.0,0,1
