VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Nami,Locket of the Iron Solari,None,UTILITY,3908.1,50.0,9.82,12
Pyke,Locket of the Iron Solari,None,UTILITY,4008.6,55.6,17.66,9
Milio,Locket of the Iron Solari,None,UTILITY,3863.4,28.6,7.37,7
Leona,Locket of the Iron Solari,None,UTILITY,3828.5,50.0,4.58,6
Velkoz,Locket of the Iron Solari,None,UTILITY,3678.0,66.7,3.26,6
Karma,Locket of the Iron Solari,None,UTILITY,3824.2,83.3,14.97,6
Nautilus,Locket of the Iron Solari,None,UTILITY,3906.2,83.3,15.59,6
Mel,Locket of the Iron Solari,None,UTILITY,4512.6,60.0,-9.46,5
Lulu,Locket of the Iron Solari,None,UTILITY,4094.2,75.0,-12.32,4
Braum,Locket of the Iron Solari,None,UTILITY,4353.0,50.0,12.8,4
Blitzcrank,Locket of the Iron Solari,None,UTILITY,3927.2,75.0,20.22,4
Poppy,Locket of the Iron Solari,None,UTILITY,3986.2,25.0,-9.4,4
Brand,Locket of the Iron Solari,None,UTILITY,3594.0,50.0,3.5,4
Leona,Redemption,Locket of the Iron Solari,UTILITY,6152.7,66.7,-2.74,3
Bard,Locket of the Iron Solari,None,UTILITY,3750.3,66.7,25.15,3
Neeko,Locket of the Iron Solari,None,UTILITY,3989.7,66.7,27.5,3
Alistar,Locket of the Iron Solari,None,UTILITY,4108.7,100.0,3.99,3
Milio,Swiftmarch,Locket of the Iron Solari,UTILITY,5012.3,66.7,25.12,3
Nami,Swiftmarch,Locket of the Iron Solari,UTILITY,5227.3,100.0,8.08,3
Nami,Knight's Vow,Locket of the Iron Solari,UTILITY,6450.3,100.0,-18.21,3
Mel,Swiftmarch,Locket of the Iron Solari,UTILITY,5635.0,66.7,-14.27,3
Zilean,Locket of the Iron Solari,None,UTILITY,3953.7,0.0,-9.39,3
Yuumi,Locket of the Iron Solari,None,UTILITY,3524.7,66.7,-4.99,3
Xerath,Locket of the Iron Solari,None,UTILITY,4268.3,33.3,-23.08,3
Seraphine,Locket of the Iron Solari,None,UTILITY,3752.7,66.7,17.31,3
Lux,Locket of the Iron Solari,None,UTILITY,3563.0,33.3,-17.86,3
Leona,Zeke's Convergence,Redemption,UTILITY,8296.0,50.0,-33.85,2
Bard,Swiftmarch,Locket of the Iron Solari,UTILITY,6456.0,50.0,19.88,2
Neeko,Redemption,Locket of the Iron Solari,UTILITY,6343.5,50.0,6.01,2
Velkoz,Redemption,None,UTILITY,4075.5,0.0,21.43,2
Karma,Swiftmarch,Locket of the Iron Solari,UTILITY,5266.5,50.0,-5.6,2
Pyke,Zeke's Convergence,None,UTILITY,4642.5,100.0,3.95,2
Pyke,Knight's Vow,Locket of the Iron Solari,UTILITY,6016.5,0.0,25.81,2
Pyke,Swiftmarch,Locket of the Iron Solari,UTILITY,5665.5,100.0,-5.29,2
Soraka,Locket of the Iron Solari,None,UTILITY,3805.5,0.0,-6.93,2
Braum,Redemption,None,UTILITY,4196.0,50.0,0.26,2
Milio,Zeke's Convergence,Locket of the Iron Solari,UTILITY,5820.5,0.0,16.23,2
Nami,Zeke's Convergence,Locket of the Iron Solari,UTILITY,6285.5,0.0,-2.66,2
Nami,Redemption,Locket of the Iron Solari,UTILITY,6493.0,0.0,-13.51,2
Mel,Zeke's Convergence,Swiftmarch,UTILITY,6933.0,50.0,16.94,2
Teemo,Locket of the Iron Solari,None,UTILITY,3298.0,50.0,-11.39,2
Zyra,Locket of the Iron Solari,None,UTILITY,3583.0,0.0,22.6,2
Nautilus,Swiftmarch,Locket of the Iron Solari,UTILITY,5843.0,100.0,-18.9,2
Swain,Locket of the Iron Solari,None,UTILITY,3373.5,0.0,12.51,2
Janna,Locket of the Iron Solari,None,UTILITY,3854.5,100.0,0.24,2
Galio,Locket of the Iron Solari,None,UTILITY,3666.5,50.0,15.3,2
Leona,Chainlaced Crushers,Locket of the Iron Solari,UTILITY,5678.0,100.0,-10.22,1
Leona,Mikael's Blessing,None,UTILITY,3964.0,0.0,-11.56,1
Leona,Swiftmarch,Mikael's Blessing,UTILITY,4658.0,0.0,-12.97,1
Leona,Redemption,Swiftmarch,UTILITY,7050.0,0.0,0,1
Leona,Redemption,None,UTILITY,3441.0,0.0,-24.21,1
Leona,Forever Forward,Locket of the Iron Solari,UTILITY,5948.0,0.0,0,1
Leona,Knight's Vow,None,UTILITY,4437.0,0.0,-38.63,1
Leona,Locket of the Iron Solari,Knight's Vow,UTILITY,6545.0,0.0,0,1
Bard,Redemption,None,UTILITY,3925.0,0.0,-8.19,1
Bard,Locket of the Iron Solari,Redemption,UTILITY,6752.0,0.0,-16.67,1
Bard,Zeke's Convergence,Swiftmarch,UTILITY,9352.0,0.0,0,1
Bard,Redemption,Swiftmarch,UTILITY,6938.0,100.0,65.14,1
Bard,Mikael's Blessing,Locket of the Iron Solari,UTILITY,6327.0,100.0,1.23,1
Shaco,Trailblazer,None,UTILITY,4903.0,0.0,16.59,1
Shaco,Locket of the Iron Solari,Trailblazer,UTILITY,7027.0,0.0,80.93,1
Shaco,Thornmail,Locket of the Iron Solari,UTILITY,9340.0,0.0,-23.14,1
Shaco,Redemption,None,UTILITY,4232.0,100.0,5.27,1
Shaco,Knight's Vow,Redemption,UTILITY,6175.0,100.0,16.2,1
Shaco,Swiftmarch,Knight's Vow,UTILITY,7698.0,100.0,0,1
Shaco,Locket of the Iron Solari,None,UTILITY,3321.0,100.0,-14.09,1
Shaco,Zeke's Convergence,Locket of the Iron Solari,UTILITY,6817.0,100.0,53.24,1
Neeko,Forever Forward,Locket of the Iron Solari,UTILITY,5604.0,100.0,17.1,1
Neeko,Knight's Vow,Forever Forward,UTILITY,7017.0,100.0,-22.73,1
Neeko,Knight's Vow,Redemption,UTILITY,8804.0,100.0,114.54,1
