VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Kaisa,Yun Tal Wildarrows,None,BOTTOM,4059.1,62.5,24.81,8
Kaisa,Infinity Edge,Yun Tal Wildarrows,BOTTOM,8006.7,57.1,22.57,7
Jhin,Yun Tal Wildarrows,None,BOTTOM,4278.4,57.1,9.98,7
Jhin,Infinity Edge,Yun Tal Wildarrows,BOTTOM,8001.3,57.1,25.85,7
MissFortune,Yun Tal Wildarrows,None,BOTTOM,3986.6,28.6,15.28,7
Kaisa,Navori Flickerblade,Infinity Edge,BOTTOM,10522.4,60.0,10.54,5
Jinx,Yun Tal Wildarrows,None,BOTTOM,4212.0,40.0,-15.57,5
MissFortune,Infinity Edge,Yun Tal Wildarrows,BOTTOM,8069.4,20.0,2.93,5
Jhin,Navori Flickerblade,Infinity Edge,BOTTOM,11161.5,25.0,63.27,4
Jinx,Infinity Edge,Yun Tal Wildarrows,BOTTOM,8340.8,50.0,41.87,4
Smolder,Yun Tal Wildarrows,None,BOTTOM,4600.2,50.0,21.89,4
Xayah,Yun Tal Wildarrows,None,BOTTOM,4001.2,50.0,25.3,4
Xayah,Infinity Edge,Yun Tal Wildarrows,BOTTOM,8151.5,50.0,24.86,4
Kaisa,Gunmetal Greaves,Navori Flickerblade,BOTTOM,9578.0,66.7,18.12,3
Lucian,Yun Tal Wildarrows,None,BOTTOM,4747.7,33.3,48.19,3
Lucian,Infinity Edge,Yun Tal Wildarrows,BOTTOM,7815.3,33.3,14.37,3
MissFortune,Navori Flickerblade,Infinity Edge,BOTTOM,10563.0,33.3,32.16,3
Kaisa,The Collector,None,BOTTOM,4199.5,0.0,19.7,2
Kaisa,Lord Dominik's Regards,Gunmetal Greaves,BOTTOM,11089.0,50.0,10.8,2
Jhin,The Collector,None,BOTTOM,4036.0,50.0,21.2,2
Jhin,Infinity Edge,The Collector,BOTTOM,8562.5,50.0,-15.79,2
Jhin,Gunmetal Greaves,Infinity Edge,BOTTOM,9762.0,50.0,39.53,2
Jhin,Lord Dominik's Regards,Infinity Edge,BOTTOM,11130.0,100.0,5.16,2
Vayne,The Collector,None,BOTTOM,3833.5,0.0,18.61,2
Vayne,Lord Dominik's Regards,Infinity Edge,BOTTOM,11121.0,0.0,39.28,2
Jinx,Mortal Reminder,Infinity Edge,BOTTOM,11703.0,50.0,-15.19,2
Sivir,Yun Tal Wildarrows,None,BOTTOM,3980.0,100.0,9.71,2
Sivir,Infinity Edge,Yun Tal Wildarrows,BOTTOM,7500.0,100.0,64.02,2
Sivir,Navori Flickerblade,Infinity Edge,BOTTOM,9951.5,100.0,5.25,2
MissFortune,Navori Flickerblade,Yun Tal Wildarrows,BOTTOM,7139.5,50.0,-9.32,2
Yunara,Yun Tal Wildarrows,None,BOTTOM,3583.0,0.0,37.83,2
Ezreal,Yun Tal Wildarrows,None,BOTTOM,4807.5,50.0,-8.13,2
Smolder,Infinity Edge,Yun Tal Wildarrows,BOTTOM,8092.5,0.0,26.4,2
Smolder,Navori Flickerblade,Infinity Edge,BOTTOM,10803.0,0.0,-22.74,2
Smolder,Navori Flickerblade,Yun Tal Wildarrows,BOTTOM,8076.5,100.0,32.38,2
Caitlyn,Yun Tal Wildarrows,None,BOTTOM,3835.0,50.0,19.01,2
