VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Nocturne,Trinity Force,None,JUNGLE,4376.7,100.0,63.31,3
JarvanIV,Trinity Force,None,JUNGLE,4536.3,0.0,4.67,3
Sylas,Trinity Force,None,JUNGLE,5313.7,33.3,-7.85,3
Renekton,Blade of The Ruined King,None,TOP,4261.0,100.0,27.31,2
Renekton,Swiftmarch,Trinity Force,TOP,11362.5,100.0,31.03,2
Renekton,Ravenous Hydra,None,TOP,4361.0,100.0,55.46,2
Nocturne,Blade of The Ruined King,Trinity Force,JUNGLE,8910.5,100.0,-11.97,2
Kayn,Trinity Force,None,JUNGLE,4467.0,50.0,50.73,2
Briar,Trinity Force,None,JUNGLE,4207.0,0.0,51.25,2
Briar,Dead Man's Plate,Trinity Force,JUNGLE,7777.0,0.0,48.22,2
Sylas,Dead Man's Plate,Trinity Force,JUNGLE,8187.0,50.0,64.69,2
Chogath,Blade of The Ruined King,None,TOP,5689.0,0.0,31.09,1
Chogath,Ravenous Hydra,Blade of The Ruined King,TOP,7221.0,0.0,12.1,1
Pantheon,Trinity Force,None,JUNGLE,3754.0,100.0,30.73,1
Pantheon,Blade of The Ruined King,Trinity Force,JUNGLE,7836.0,100.0,15.38,1
Pantheon,Armored Advance,Blade of The Ruined King,JUNGLE,9563.0,100.0,-17.41,1
Pantheon,Titanic Hydra,Armored Advance,JUNGLE,12465.0,100.0,0,1
Renekton,Hullbreaker,Blade of The Ruined King,TOP,7958.0,100.0,47.48,1
Renekton,Trinity Force,Hullbreaker,TOP,12412.0,100.0,0,1
Renekton,Blade of The Ruined King,Ravenous Hydra,TOP,7885.0,100.0,38.8,1
Renekton,Thornmail,Blade of The Ruined King,TOP,10784.0,100.0,20.29,1
Renekton,Spirit Visage,Thornmail,TOP,13524.0,100.0,0,1
Renekton,Trinity Force,Ravenous Hydra,TOP,8305.0,100.0,46.26,1
Renekton,Hullbreaker,Swiftmarch,TOP,12393.0,100.0,0,1
Renekton,Ravenous Hydra,Blade of The Ruined King,TOP,9869.0,100.0,0,1
Renekton,Armored Advance,Ravenous Hydra,TOP,9869.0,100.0,0,1
Diana,Trinity Force,None,JUNGLE,4279.0,0.0,-4.6,1
Zyra,Stridebreaker,None,JUNGLE,4336.0,100.0,35.58,1
MasterYi,Trinity Force,None,JUNGLE,4794.0,100.0,25.95,1
MasterYi,Thornmail,Trinity Force,JUNGLE,8010.0,100.0,0,1
Kennen,Ravenous Hydra,None,TOP,5464.0,100.0,-18.27,1
Kennen,Blade of The Ruined King,Ravenous Hydra,TOP,10591.0,100.0,21.44,1
Kennen,Hullbreaker,Blade of The Ruined King,TOP,11651.0,100.0,32.61,1
Kennen,Chainlaced Crushers,Hullbreaker,TOP,11651.0,100.0,32.71,1
Kennen,Thornmail,Chainlaced Crushers,TOP,15342.0,100.0,-13.49,1
Kennen,Spirit Visage,Thornmail,TOP,17483.0,100.0,0,1
Kennen,Spirit Visage,Spirit Visage,TOP,17690.0,100.0,0,1
Nocturne,Titanic Hydra,Blade of The Ruined King,JUNGLE,11370.0,100.0,51.47,1
Nocturne,Thornmail,Titanic Hydra,JUNGLE,15114.0,100.0,0,1
Nocturne,Dead Man's Plate,Blade of The Ruined King,JUNGLE,12172.0,100.0,0,1
Nocturne,Dead Man's Plate,Trinity Force,JUNGLE,7973.0,100.0,78.41,1
Nocturne,Spirit Visage,Dead Man's Plate,JUNGLE,11598.0,100.0,-13.42,1
Nocturne,Randuin's Omen,Spirit Visage,JUNGLE,15620.0,100.0,0,1
JarvanIV,Dead Man's Plate,Trinity Force,JUNGLE,6681.0,0.0,11.23,1
JarvanIV,Thornmail,Dead Man's Plate,JUNGLE,10141.0,0.0,0,1
JarvanIV,Wit's End,Trinity Force,JUNGLE,8639.0,0.0,9.97,1
JarvanIV,Thornmail,Wit's End,JUNGLE,10335.0,0.0,-37.65,1
Viego,Trinity Force,None,JUNGLE,5050.0,100.0,10.82,1
Viego,Dead Man's Plate,Trinity Force,JUNGLE,10150.0,100.0,6.05,1
Viego,Spirit Visage,Dead Man's Plate,JUNGLE,11864.0,100.0,13.77,1
Viego,Armored Advance,Spirit Visage,JUNGLE,11864.0,100.0,13.83,1
Zed,Trinity Force,None,JUNGLE,5463.0,100.0,0.66,1
Zed,Blade of The Ruined King,Trinity Force,JUNGLE,8168.0,100.0,124.96,1
Zed,Armored Advance,Blade of The Ruined King,JUNGLE,11035.0,100.0,1.14,1
Zed,Thornmail,Armored Advance,JUNGLE,11035.0,100.0,1.17,1
Zed,Spirit Visage,Thornmail,JUNGLE,13467.0,100.0,35.86,1
Zed,Wit's End,Spirit Visage,JUNGLE,16283.0,100.0,0,1
Warwick,Trinity Force,None,JUNGLE,4214.0,0.0,52.61,1
Warwick,Titanic Hydra,Trinity Force,JUNGLE,9233.0,0.0,-2.1,1
Warwick,Spirit Visage,Titanic Hydra,JUNGLE,11367.0,0.0,-13.7,1
Warwick,Thornmail,Spirit Visage,JUNGLE,13814.0,0.0,21.15,1
Kayn,Blade of The Ruined King,Trinity Force,JUNGLE,8964.0,0.0,-12.37,1
Kayn,Chainlaced Crushers,Blade of The Ruined King,JUNGLE,10257.0,0.0,50.22,1
Kayn,Dead Man's Plate,Chainlaced Crushers,JUNGLE,13501.0,0.0,-20.32,1
Kayn,Thornmail,Dead Man's Plate,JUNGLE,14619.0,0.0,-36.56,1
Mordekaiser,Trinity Force,None,JUNGLE,4855.0,0.0,97.76,1
Mordekaiser,Wit's End,Trinity Force,JUNGLE,7684.0,0.0,21.57,1
Mordekaiser,Force of Nature,Wit's End,JUNGLE,7684.0,0.0,22.66,1
Mordekaiser,Spirit Visage,Force of Nature,JUNGLE,7684.0,0.0,23.92,1
