VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
JarvanIV,Liandry's Torment,None,JUNGLE,4177.7,100.0,27.81,3
JarvanIV,Dead Man's Plate,Liandry's Torment,JUNGLE,7756.7,100.0,31.61,3
Qiyana,Liandry's Torment,None,JUNGLE,3685.0,50.0,11.21,2
JarvanIV,Spirit Visage,Dead Man's Plate,JUNGLE,10833.0,100.0,48.67,2
Warwick,Liandry's Torment,None,JUNGLE,5213.0,0.0,-15.04,1
Warwick,Thornmail,Liandry's Torment,JUNGLE,7461.0,0.0,0,1
Shaco,Liandry's Torment,None,JUNGLE,4352.0,100.0,-12.28,1
Shaco,Dead Man's Plate,Liandry's Torment,JUNGLE,7496.0,100.0,-18.6,1
Darius,Liandry's Torment,None,TOP,4717.0,0.0,67.2,1
Darius,Winter's Approach,Liandry's Torment,TOP,7370.0,0.0,-29.31,1
Darius,Winter's Approach,Winter's Approach,TOP,7370.0,0.0,-29.3,1
Zac,Liandry's Torment,None,JUNGLE,3527.0,0.0,75.04,1
Zac,Abyssal Mask,Liandry's Torment,JUNGLE,6690.0,0.0,5.63,1
Zac,Shadowflame,Abyssal Mask,JUNGLE,10267.0,0.0,-22.92,1
Zac,Morellonomicon,Shadowflame,JUNGLE,13456.0,0.0,0,1
TahmKench,Stridebreaker,None,TOP,4983.0,100.0,3.26,1
TahmKench,Winter's Approach,Stridebreaker,TOP,6202.0,100.0,53.32,1
TahmKench,Winter's Approach,Winter's Approach,TOP,6202.0,100.0,53.35,1
TahmKench,Unending Despair,Winter's Approach,TOP,10701.0,100.0,-25.53,1
TahmKench,Spirit Visage,Unending Despair,TOP,12440.0,100.0,11.8,1
Vi,Liandry's Torment,None,JUNGLE,4407.0,100.0,34.16,1
Vi,Frozen Heart,Liandry's Torment,JUNGLE,7396.0,100.0,-33.82,1
Kindred,Experimental Hexplate,None,JUNGLE,6494.0,100.0,31.9,1
Kindred,Trinity Force,Experimental Hexplate,JUNGLE,8266.0,100.0,49.05,1
Kindred,Swiftmarch,Trinity Force,JUNGLE,8266.0,100.0,50.13,1
Kindred,Death's Dance,Swiftmarch,JUNGLE,11701.0,100.0,0,1
Kindred,Liandry's Torment,None,JUNGLE,4541.0,100.0,41.96,1
Kindred,Swiftmarch,Liandry's Torment,JUNGLE,8991.0,100.0,-16.45,1
Kindred,Riftmaker,Swiftmarch,JUNGLE,9333.0,100.0,-3.71,1
DrMundo,Liandry's Torment,None,TOP,4253.0,100.0,31.44,1
DrMundo,Winter's Approach,Liandry's Torment,TOP,7882.0,100.0,14.42,1
DrMundo,Winter's Approach,Winter's Approach,TOP,7882.0,100.0,14.43,1
DrMundo,Unending Despair,Winter's Approach,TOP,10435.0,100.0,7.84,1
DrMundo,Spirit Visage,Unending Despair,TOP,12406.0,100.0,-18.65,1
DrMundo,Dead Man's Plate,Spirit Visage,TOP,15777.0,100.0,-12.69,1
