VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Jhin,Youmuu's Ghostblade,None,BOTTOM,5043.7,0.0,32.35,3
Jhin,Manamune,Manamune,BOTTOM,9844.3,33.3,13.4,3
Irelia,Nashor's Tooth,None,TOP,4547.0,50.0,12.6,2
Sivir,Blade of The Ruined King,None,BOTTOM,4829.0,50.0,-19.07,2
Sivir,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8677.5,50.0,23.81,2
MissFortune,Blade of The Ruined King,None,BOTTOM,5014.5,0.0,60.45,2
MissFortune,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8401.5,0.0,68.67,2
Caitlyn,Blade of The Ruined King,None,BOTTOM,4276.5,0.0,-37.0,2
Jhin,Manamune,Youmuu's Ghostblade,BOTTOM,7334.0,0.0,-5.06,2
Irelia,Rabadon's Deathcap,Nashor's Tooth,TOP,8815.0,100.0,-17.82,1
Irelia,Stormsurge,Nashor's Tooth,TOP,7558.0,0.0,0,1
Draven,Blade of The Ruined King,None,BOTTOM,4374.0,0.0,79.64,1
Draven,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8102.0,0.0,-4.98,1
Velkoz,Blade of The Ruined King,None,BOTTOM,3875.0,0.0,82.47,1
Velkoz,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,9153.0,0.0,-7.43,1
Velkoz,Terminus,Guinsoo's Rageblade,BOTTOM,11979.0,0.0,-37.72,1
Velkoz,Wit's End,Terminus,BOTTOM,13419.0,0.0,42.94,1
Velkoz,Kaenic Rookern,Wit's End,BOTTOM,16784.0,0.0,-9.43,1
Sivir,Wit's End,Guinsoo's Rageblade,BOTTOM,10629.0,0.0,25.25,1
Sivir,Youmuu's Ghostblade,None,BOTTOM,3570.0,0.0,2.84,1
Sivir,Opportunity,Youmuu's Ghostblade,BOTTOM,7050.0,0.0,92.14,1
Sivir,Manamune,Opportunity,BOTTOM,9471.0,0.0,-29.43,1
Sivir,Manamune,Manamune,BOTTOM,9471.0,0.0,-29.42,1
Sivir,Terminus,Guinsoo's Rageblade,BOTTOM,10590.0,100.0,85.44,1
Sivir,Gunmetal Greaves,Terminus,BOTTOM,12702.0,100.0,0,1
KSante,Luden's Companion,None,TOP,3925.0,0.0,23.73,1
KSante,Malignance,Luden's Companion,TOP,6648.0,0.0,-15.68,1
KSante,Stormsurge,Malignance,TOP,9710.0,0.0,0,1
Ahri,Nashor's Tooth,None,MIDDLE,3312.0,0.0,50.3,1
Ahri,Malignance,Nashor's Tooth,MIDDLE,7542.0,0.0,-8.3,1
Ahri,Rabadon's Deathcap,Malignance,MIDDLE,10777.0,0.0,-10.88,1
Ahri,Void Staff,Rabadon's Deathcap,MIDDLE,13912.0,0.0,-1.37,1
Kayle,Nashor's Tooth,None,TOP,4792.0,100.0,27.1,1
Kayle,Riftmaker,Nashor's Tooth,TOP,8186.0,100.0,40.8,1
Kayle,Horizon Focus,Riftmaker,TOP,11191.0,100.0,61.15,1
Kayle,Spellslinger's Shoes,Horizon Focus,TOP,12564.0,100.0,39.86,1
Kayle,Rabadon's Deathcap,Spellslinger's Shoes,TOP,14903.0,100.0,0,1
Kaisa,Blade of The Ruined King,None,BOTTOM,5559.0,0.0,-34.54,1
Kaisa,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8065.0,0.0,-13.32,1
Kaisa,Terminus,Guinsoo's Rageblade,BOTTOM,10758.0,0.0,0,1
Kaisa,Youmuu's Ghostblade,None,BOTTOM,4338.0,0.0,20.74,1
Kaisa,Manamune,Youmuu's Ghostblade,BOTTOM,7155.0,0.0,0.99,1
Kaisa,Manamune,Manamune,BOTTOM,9099.0,0.0,-6.7,1
Kaisa,Edge of Night,Manamune,BOTTOM,10224.0,0.0,-29.05,1
MissFortune,Yun Tal Wildarrows,Guinsoo's Rageblade,BOTTOM,12438.0,0.0,-26.25,1
MissFortune,Zhonya's Hourglass,Yun Tal Wildarrows,BOTTOM,14195.0,0.0,0,1
MissFortune,Youmuu's Ghostblade,None,BOTTOM,4554.0,100.0,-0.11,1
MissFortune,Manamune,Youmuu's Ghostblade,BOTTOM,7004.0,100.0,56.32,1
MissFortune,Manamune,Manamune,BOTTOM,7004.0,100.0,56.34,1
MissFortune,Swiftmarch,Manamune,BOTTOM,8570.0,100.0,108.68,1
MissFortune,Edge of Night,Swiftmarch,BOTTOM,11651.0,100.0,5.22,1
Ezreal,Nashor's Tooth,None,BOTTOM,3950.0,0.0,-0.62,1
Ezreal,Guinsoo's Rageblade,Nashor's Tooth,BOTTOM,7459.0,0.0,-36.34,1
Ezreal,Death's Dance,Guinsoo's Rageblade,BOTTOM,11094.0,0.0,0,1
Yunara,Youmuu's Ghostblade,None,BOTTOM,3614.0,0.0,62.59,1
Yunara,Manamune,Youmuu's Ghostblade,BOTTOM,7828.0,0.0,-17.56,1
Yunara,Edge of Night,Manamune,BOTTOM,10338.0,0.0,97.04,1
Yunara,Manamune,Edge of Night,BOTTOM,12319.0,0.0,69.54,1
Yunara,Serylda's Grudge,Manamune,BOTTOM,14376.0,0.0,-22.92,1
Yunara,Opportunity,Serylda's Grudge,BOTTOM,16346.0,0.0,0,1
Yunara,Opportunity,Opportunity,BOTTOM,17796.0,0.0,0,1
Smolder,Youmuu's Ghostblade,None,BOTTOM,5088.0,0.0,23.15,1
Smolder,Manamune,Youmuu's Ghostblade,BOTTOM,7597.0,0.0,32.01,1
Smolder,Manamune,Manamune,BOTTOM,9353.0,0.0,-32.27,1
Smolder,Serylda's Grudge,Manamune,BOTTOM,11035.0,0.0,-19.52,1
Smolder,Nashor's Tooth,Serylda's Grudge,BOTTOM,13387.0,0.0,30.36,1
Smolder,Blade of The Ruined King,None,BOTTOM,3834.0,0.0,37.68,1
Smolder,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7781.0,0.0,-3.66,1
Aphelios,Nashor's Tooth,None,BOTTOM,3774.0,0.0,0.71,1
Aphelios,Shadowflame,Nashor's Tooth,BOTTOM,7727.0,0.0,-72.46,1
Ashe,Blade of The Ruined King,None,BOTTOM,4720.0,100.0,0,1
Ashe,Youmuu's Ghostblade,None,BOTTOM,4661.0,100.0,-16.27,1
Ashe,Manamune,Youmuu's Ghostblade,BOTTOM,7821.0,100.0,46.53,1
Ashe,Manamune,Manamune,BOTTOM,7821.0,100.0,46.54,1
Ashe,Swiftmarch,Manamune,BOTTOM,7821.0,100.0,47.01,1
Ashe,Serylda's Grudge,Swiftmarch,BOTTOM,12207.0,100.0,47.88,1
Ashe,Edge of Night,Serylda's Grudge,BOTTOM,14663.0,100.0,-9.45,1
Ashe,Axiom Arc,Edge of Night,BOTTOM,16320.0,100.0,0,1
Caitlyn,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8436.0,0.0,-12.08,1
Caitlyn,Gunmetal Greaves,Guinsoo's Rageblade,BOTTOM,8690.0,0.0,66.03,1
Caitlyn,Chempunk Chainsword,Gunmetal Greaves,BOTTOM,12239.0,0.0,0,1
Caitlyn,Nashor's Tooth,None,BOTTOM,3777.0,0.0,-36.13,1
Caitlyn,Stormsurge,Nashor's Tooth,BOTTOM,7818.0,0.0,38.51,1
Sion,Nashor's Tooth,None,TOP,4004.0,0.0,36.1,1
Sion,Shadowflame,Nashor's Tooth,TOP,7792.0,0.0,11.29,1
Sion,Rabadon's Deathcap,Shadowflame,TOP,11032.0,0.0,-5.54,1
Sion,Stormsurge,Rabadon's Deathcap,TOP,14101.0,0.0,0,1
Veigar,Nashor's Tooth,None,TOP,4105.0,0.0,36.61,1
Veigar,Riftmaker,Nashor's Tooth,TOP,8955.0,0.0,10.0,1
Veigar,Shadowflame,Riftmaker,TOP,10957.0,0.0,1.22,1
Jinx,Youmuu's Ghostblade,None,BOTTOM,4493.0,0.0,23.75,1
Jinx,Manamune,Youmuu's Ghostblade,BOTTOM,7612.0,0.0,-7.92,1
Jinx,Blade of The Ruined King,None,BOTTOM,4254.0,0.0,12.47,1
Kalista,Blade of The Ruined King,None,BOTTOM,3899.0,0.0,59.31,1
Kalista,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7717.0,0.0,60.11,1
Kalista,Terminus,Guinsoo's Rageblade,BOTTOM,11678.0,0.0,0,1
Ziggs,Experimental Hexplate,None,BOTTOM,5043.0,0.0,14.36,1
Ziggs,Guinsoo's Rageblade,Experimental Hexplate,BOTTOM,7815.0,0.0,32.21,1
Jhin,Opportunity,Youmuu's Ghostblade,BOTTOM,7454.0,0.0,-13.08,1
Jhin,Swiftmarch,Opportunity,BOTTOM,9621.0,0.0,-35.25,1
Jhin,Edge of Night,Swiftmarch,BOTTOM,11414.0,0.0,-0.56,1
Jhin,Manamune,Edge of Night,BOTTOM,12910.0,0.0,-26.38,1
Jhin,Serylda's Grudge,Manamune,BOTTOM,16725.0,0.0,0,1
Jhin,Opportunity,Manamune,BOTTOM,10086.0,0.0,2.28,1
Jhin,Serylda's Grudge,Opportunity,BOTTOM,14775.0,0.0,0,1
Jhin,Opportunity,None,BOTTOM,4877.0,100.0,-6.62,1
Jhin,Manamune,Opportunity,BOTTOM,7439.0,100.0,33.6,1
Jhin,Youmuu's Ghostblade,Manamune,BOTTOM,9524.0,100.0,35.7,1
Jhin,Edge of Night,Youmuu's Ghostblade,BOTTOM,13038.0,100.0,99.01,1
Jhin,Crimson Lucidity,Edge of Night,BOTTOM,13038.0,100.0,99.11,1
Jhin,Blade of The Ruined King,None,BOTTOM,6496.0,100.0,21.73,1
Jhin,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8327.0,100.0,56.08,1
Jhin,Wit's End,Guinsoo's Rageblade,BOTTOM,12099.0,100.0,27.99,1
Jhin,Terminus,Wit's End,BOTTOM,14002.0,100.0,56.1,1
Jhin,Nashor's Tooth,Terminus,BOTTOM,18188.0,100.0,-5.87,1
Jhin,Nashor's Tooth,Nashor's Tooth,BOTTOM,18311.0,100.0,-2.09,1
Jhin,Runaan's Hurricane,Nashor's Tooth,BOTTOM,18311.0,100.0,-1.9,1
Viktor,Youmuu's Ghostblade,None,MIDDLE,4296.0,100.0,11.16,1
Viktor,Manamune,Youmuu's Ghostblade,MIDDLE,7397.0,100.0,10.99,1
Viktor,Crimson Lucidity,Manamune,MIDDLE,7397.0,100.0,11.24,1
Viktor,Manamune,Crimson Lucidity,MIDDLE,8353.0,100.0,-0.51,1
Viktor,Axiom Arc,Manamune,MIDDLE,10396.0,100.0,0,1
Akali,Nashor's Tooth,None,MIDDLE,3794.0,100.0,43.32,1
Akali,Stormsurge,Nashor's Tooth,MIDDLE,7648.0,100.0,28.78,1
Akali,Malignance,Stormsurge,MIDDLE,10376.0,100.0,13.63,1
Akali,Spellslinger's Shoes,Malignance,MIDDLE,13169.0,100.0,-14.04,1
Akali,Rabadon's Deathcap,Spellslinger's Shoes,MIDDLE,14688.0,100.0,0,1
Xayah,Youmuu's Ghostblade,None,BOTTOM,4893.0,100.0,14.76,1
Xayah,Manamune,Youmuu's Ghostblade,BOTTOM,7620.0,100.0,-29.57,1
Xayah,Manamune,Manamune,BOTTOM,8589.0,100.0,-2.72,1
Xayah,Swiftmarch,Manamune,BOTTOM,9037.0,100.0,0,1
Malphite,Nashor's Tooth,None,TOP,5392.0,100.0,-22.31,1
Malphite,Banshee's Veil,Nashor's Tooth,TOP,7832.0,100.0,0,1
Brand,Youmuu's Ghostblade,None,MIDDLE,3688.0,0.0,30.68,1
Brand,Manamune,Youmuu's Ghostblade,MIDDLE,7683.0,0.0,25.7,1
Brand,Edge of Night,Manamune,MIDDLE,10518.0,0.0,11.94,1
Brand,Swiftmarch,Edge of Night,MIDDLE,11186.0,0.0,21.62,1
Brand,Manamune,Swiftmarch,MIDDLE,13208.0,0.0,4.16,1
Brand,Serylda's Grudge,Manamune,MIDDLE,14101.0,0.0,6.57,1
Brand,Serpent's Fang,Serylda's Grudge,MIDDLE,17142.0,0.0,20.95,1
Rumble,Nashor's Tooth,None,TOP,4405.0,100.0,61.84,1
Rumble,Stormsurge,Nashor's Tooth,TOP,7407.0,100.0,55.86,1
Rumble,Gunmetal Greaves,Stormsurge,TOP,9176.0,100.0,0,1
Vayne,Blade of The Ruined King,None,BOTTOM,4954.0,100.0,22.66,1
