VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Jinx,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8755.4,28.6,-7.92,7
Jinx,Kraken Slayer,None,BOTTOM,4015.6,42.9,29.28,7
Caitlyn,Blade of The Ruined King,None,BOTTOM,5028.9,28.6,20.53,7
Kaisa,Blade of The Ruined King,None,BOTTOM,5021.4,42.9,5.43,7
Jinx,Blade of The Ruined King,None,BOTTOM,5086.3,33.3,-3.38,6
Caitlyn,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7991.0,40.0,69.84,5
MissFortune,Blade of The Ruined King,None,BOTTOM,5617.2,80.0,5.95,5
Kaisa,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7982.6,60.0,50.62,5
Xayah,Kraken Slayer,None,BOTTOM,4652.0,60.0,9.77,5
Ezreal,Blade of The Ruined King,None,BOTTOM,4985.4,60.0,1.81,5
Jinx,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,8007.0,50.0,-5.8,4
Lucian,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7874.5,100.0,1.64,4
Lucian,Kraken Slayer,None,BOTTOM,4710.5,75.0,0.97,4
Ashe,Blade of The Ruined King,None,BOTTOM,4996.8,50.0,8.72,4
Sivir,Blade of The Ruined King,None,BOTTOM,4258.2,50.0,70.07,4
Sivir,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7648.0,50.0,12.69,4
MissFortune,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7960.5,75.0,7.22,4
Smolder,Blade of The Ruined King,None,BOTTOM,5280.5,75.0,11.83,4
Smolder,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7849.2,75.0,51.37,4
Ezreal,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8025.0,75.0,21.34,4
Lucian,Blade of The Ruined King,None,BOTTOM,5043.3,100.0,27.31,3
Ashe,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8064.7,33.3,-26.83,3
Caitlyn,Kraken Slayer,None,BOTTOM,4468.7,33.3,20.56,3
Caitlyn,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,8277.7,33.3,2.6,3
Yunara,Blade of The Ruined King,None,BOTTOM,5641.0,33.3,13.39,3
Yunara,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8011.3,33.3,81.82,3
Kaisa,Kraken Slayer,None,BOTTOM,4522.0,66.7,31.17,3
Kaisa,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,8263.7,66.7,0.9,3
Kaisa,Gunmetal Greaves,Guinsoo's Rageblade,BOTTOM,9080.7,100.0,11.41,3
Xayah,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,8491.7,66.7,-2.52,3
Jhin,Blade of The Ruined King,None,BOTTOM,4755.0,100.0,0.65,3
Jhin,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8636.0,100.0,20.36,3
Jhin,Kraken Slayer,None,BOTTOM,5371.0,33.3,19.5,3
Nilah,Blade of The Ruined King,None,BOTTOM,4493.7,66.7,44.34,3
Samira,Kraken Slayer,None,BOTTOM,4575.3,100.0,58.7,3
Jinx,Blade of The Ruined King,Kraken Slayer,BOTTOM,8620.0,0.0,8.81,2
Jinx,Gunmetal Greaves,Guinsoo's Rageblade,BOTTOM,9630.0,100.0,0.98,2
Jinx,Terminus,Gunmetal Greaves,BOTTOM,11600.5,100.0,0,2
Lucian,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7616.0,100.0,83.68,2
Lucian,Wit's End,Guinsoo's Rageblade,BOTTOM,10956.5,100.0,52.22,2
Draven,Kraken Slayer,None,BOTTOM,4519.0,100.0,44.66,2
Twitch,Blade of The Ruined King,None,BOTTOM,5033.5,100.0,23.5,2
Twitch,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8460.5,100.0,15.54,2
Twitch,Gunmetal Greaves,Guinsoo's Rageblade,BOTTOM,10698.5,100.0,-26.32,2
Twitch,Kraken Slayer,None,BOTTOM,5470.5,50.0,-24.54,2
Tristana,Experimental Hexplate,Terminus,BOTTOM,14469.5,100.0,-6.06,2
Tristana,"Jak'Sho, The Protean",Experimental Hexplate,BOTTOM,17025.5,100.0,-38.85,2
Tristana,Blade of The Ruined King,None,BOTTOM,4402.5,100.0,27.65,2
Tristana,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7915.0,100.0,46.51,2
Tristana,Gunmetal Greaves,Guinsoo's Rageblade,BOTTOM,9233.0,100.0,-9.0,2
