VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Xerath,Archangel's Staff,Archangel's Staff,MIDDLE,7051.3,100.0,47.33,3
Xerath,Rod of Ages,None,MIDDLE,3886.0,66.7,0.13,3
Xerath,Archangel's Staff,Rod of Ages,MIDDLE,8069.5,100.0,29.81,2
Xerath,Spellslinger's Shoes,Archangel's Staff,MIDDLE,8409.5,100.0,61.61,2
Lissandra,Rod of Ages,None,MIDDLE,3306.0,0.0,37.61,2
Lissandra,Archangel's Staff,Archangel's Staff,MIDDLE,5689.5,0.0,-14.02,2
Malzahar,Luden's Companion,None,MIDDLE,4329.0,100.0,19.9,2
Malzahar,Shadowflame,Luden's Companion,MIDDLE,8949.0,100.0,-7.09,2
Malzahar,Rabadon's Deathcap,Shadowflame,MIDDLE,12765.5,100.0,-17.99,2
Viktor,Luden's Companion,None,MIDDLE,3938.0,100.0,22.45,2
Kassadin,Luden's Companion,None,MIDDLE,3389.5,0.0,27.45,2
Mel,Luden's Companion,None,MIDDLE,3790.5,100.0,29.79,2
Fizz,Luden's Companion,None,MIDDLE,4586.5,50.0,27.4,2
Fizz,Archangel's Staff,Archangel's Staff,MIDDLE,7133.5,50.0,42.49,2
Fizz,Rabadon's Deathcap,Shadowflame,MIDDLE,12545.5,50.0,0,2
Fizz,Rod of Ages,None,MIDDLE,3605.5,50.0,14.02,2
Vex,Luden's Companion,None,MIDDLE,3614.5,0.0,18.52,2
Orianna,Archangel's Staff,Archangel's Staff,MIDDLE,5508.5,50.0,72.89,2
Orianna,Rod of Ages,None,MIDDLE,3207.5,0.0,68.69,2
Cassiopeia,Rod of Ages,None,MIDDLE,3893.5,50.0,30.23,2
Katarina,Archangel's Staff,Archangel's Staff,MIDDLE,5998.5,50.0,78.84,2
Zoe,Archangel's Staff,Archangel's Staff,MIDDLE,7597.5,50.0,9.53,2
Zoe,Rabadon's Deathcap,Archangel's Staff,MIDDLE,9087.0,50.0,33.01,2
Kaisa,Luden's Companion,None,BOTTOM,3722.0,50.0,26.22,2
Jhin,Rod of Ages,None,BOTTOM,3516.5,50.0,70.37,2
Hwei,Luden's Companion,None,MIDDLE,3728.5,50.0,71.41,2
Xerath,Archangel's Staff,None,MIDDLE,3825.0,100.0,100.74,1
Xerath,Luden's Companion,Archangel's Staff,MIDDLE,7259.0,100.0,-28.22,1
Xerath,Spellslinger's Shoes,Luden's Companion,MIDDLE,8311.0,100.0,-22.58,1
Xerath,Rabadon's Deathcap,Spellslinger's Shoes,MIDDLE,11068.0,100.0,0,1
Lissandra,Rabadon's Deathcap,Rod of Ages,MIDDLE,7183.0,0.0,0,1
Lissandra,Archangel's Staff,Rod of Ages,MIDDLE,6384.0,0.0,-14.82,1
Lissandra,Rabadon's Deathcap,Archangel's Staff,MIDDLE,10511.0,0.0,54.16,1
Lissandra,Luden's Companion,Rabadon's Deathcap,MIDDLE,12098.0,0.0,74.95,1
Lissandra,Void Staff,Luden's Companion,MIDDLE,15732.0,0.0,0,1
Lissandra,Archangel's Staff,None,MIDDLE,3486.0,0.0,1.21,1
Lissandra,Luden's Companion,Archangel's Staff,MIDDLE,7369.0,0.0,-30.73,1
KSante,Rod of Ages,None,TOP,4045.0,0.0,24.55,1
KSante,Archangel's Staff,Rod of Ages,TOP,5933.0,0.0,62.05,1
KSante,Archangel's Staff,Archangel's Staff,TOP,5933.0,0.0,62.09,1
KSante,Rabadon's Deathcap,Archangel's Staff,TOP,11379.0,0.0,113.15,1
KSante,Banshee's Veil,Rabadon's Deathcap,TOP,13423.0,0.0,24.84,1
KSante,Kaenic Rookern,Banshee's Veil,TOP,16235.0,0.0,3.19,1
Malzahar,Stormsurge,Luden's Companion,MIDDLE,7106.0,100.0,60.61,1
Malzahar,Rylai's Crystal Scepter,Stormsurge,MIDDLE,10843.0,100.0,17.59,1
Malzahar,Rabadon's Deathcap,Rylai's Crystal Scepter,MIDDLE,12702.0,100.0,-14.82,1
Malzahar,Archangel's Staff,None,MIDDLE,4524.0,100.0,23.46,1
Malzahar,Archangel's Staff,Archangel's Staff,MIDDLE,5263.0,100.0,50.41,1
Malzahar,Luden's Companion,Archangel's Staff,MIDDLE,7300.0,100.0,20.66,1
Malzahar,Void Staff,Rabadon's Deathcap,MIDDLE,18771.0,100.0,0,1
Viktor,Stormsurge,Luden's Companion,MIDDLE,6312.0,100.0,26.34,1
Viktor,Rabadon's Deathcap,Stormsurge,MIDDLE,11105.0,100.0,32.82,1
Viktor,Shadowflame,Rabadon's Deathcap,MIDDLE,13851.0,100.0,10.26,1
Viktor,Banshee's Veil,Luden's Companion,MIDDLE,8064.0,100.0,-18.83,1
Viktor,Spellslinger's Shoes,Banshee's Veil,MIDDLE,8064.0,100.0,-18.47,1
Viktor,Rabadon's Deathcap,Spellslinger's Shoes,MIDDLE,12175.0,100.0,-3.4,1
Viktor,Void Staff,Rabadon's Deathcap,MIDDLE,15315.0,100.0,0,1
Kassadin,Zhonya's Hourglass,Luden's Companion,MIDDLE,8323.0,0.0,-21.01,1
Kassadin,Crimson Lucidity,Zhonya's Hourglass,MIDDLE,8323.0,0.0,-20.09,1
Kassadin,Rabadon's Deathcap,Crimson Lucidity,MIDDLE,13111.0,0.0,-14.14,1
Kassadin,Void Staff,Rabadon's Deathcap,MIDDLE,14593.0,0.0,-47.35,1
Kassadin,Banshee's Veil,Luden's Companion,MIDDLE,6802.0,0.0,49.54,1
Kassadin,Rabadon's Deathcap,Banshee's Veil,MIDDLE,10043.0,0.0,1.38,1
Mel,Shadowflame,Luden's Companion,MIDDLE,8883.0,100.0,-25.23,1
Mel,Spellslinger's Shoes,Shadowflame,MIDDLE,9266.0,100.0,15.47,1
Mel,Rabadon's Deathcap,Spellslinger's Shoes,MIDDLE,11622.0,100.0,-34.1,1
Mel,Cryptbloom,Rabadon's Deathcap,MIDDLE,14318.0,100.0,0,1
Mel,Rod of Ages,None,MIDDLE,3397.0,100.0,0,1
Mel,Rabadon's Deathcap,Luden's Companion,MIDDLE,8683.0,100.0,-37.69,1
Mel,Spellslinger's Shoes,Rabadon's Deathcap,MIDDLE,8683.0,100.0,-36.26,1
Mel,Archangel's Staff,Spellslinger's Shoes,MIDDLE,10864.0,100.0,53.73,1
Mel,Archangel's Staff,Archangel's Staff,MIDDLE,10864.0,100.0,53.73,1
Mel,Shadowflame,Archangel's Staff,MIDDLE,14047.0,100.0,29.62,1
KogMaw,Luden's Companion,None,BOTTOM,3686.0,100.0,57.75,1
KogMaw,Stormsurge,Luden's Companion,BOTTOM,7300.0,100.0,9.8,1
KogMaw,Spellslinger's Shoes,Stormsurge,BOTTOM,8579.0,100.0,-3.07,1
KogMaw,Cosmic Drive,Spellslinger's Shoes,BOTTOM,10649.0,100.0,0,1
Gwen,Rod of Ages,None,TOP,3382.0,0.0,26.24,1
Gwen,Archangel's Staff,Rod of Ages,TOP,7233.0,0.0,2.36,1
Fizz,Archangel's Staff,Luden's Companion,MIDDLE,7571.0,100.0,28.91,1
Fizz,Shadowflame,Archangel's Staff,MIDDLE,10748.0,100.0,52.61,1
Fizz,Archangel's Staff,Rod of Ages,MIDDLE,5670.0,0.0,9.78,1
Fizz,Spellslinger's Shoes,Archangel's Staff,MIDDLE,6903.0,0.0,-6.9,1
Fizz,Stormsurge,Spellslinger's Shoes,MIDDLE,9804.0,0.0,31.98,1
Fizz,Shadowflame,Luden's Companion,MIDDLE,7528.0,0.0,-33.99,1
Smolder,Luden's Companion,None,BOTTOM,4137.0,0.0,-2.3,1
Smolder,Stormsurge,Luden's Companion,BOTTOM,7364.0,0.0,103.32,1
Smolder,Shadowflame,Stormsurge,BOTTOM,10895.0,0.0,0,1
Vex,Stormsurge,Luden's Companion,MIDDLE,7380.0,0.0,57.41,1
Vex,Rabadon's Deathcap,Stormsurge,MIDDLE,10488.0,0.0,-52.49,1
Vex,Spellslinger's Shoes,Rabadon's Deathcap,MIDDLE,10996.0,0.0,16.32,1
Vex,Shadowflame,Spellslinger's Shoes,MIDDLE,15020.0,0.0,0,1
Vex,Banshee's Veil,Luden's Companion,MIDDLE,7013.0,0.0,13.3,1
Vex,Rabadon's Deathcap,Banshee's Veil,MIDDLE,10939.0,0.0,0,1
Vex,Rod of Ages,None,MIDDLE,3425.0,0.0,-2.9,1
