VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Diana,Kraken Slayer,Kraken Slayer,JUNGLE,5229.4,54.5,21.78,11
Diana,Kraken Slayer,The Collector,JUNGLE,8803.8,54.5,31.23,11
Diana,Kraken Slayer,None,JUNGLE,4392.7,66.7,25.47,9
Diana,The Collector,Kraken Slayer,JUNGLE,8623.0,57.1,10.45,7
FiddleSticks,Kraken Slayer,Kraken Slayer,JUNGLE,4950.5,16.7,29.25,6
FiddleSticks,Kraken Slayer,The Collector,JUNGLE,8924.2,16.7,23.33,6
Rengar,Kraken Slayer,Kraken Slayer,JUNGLE,5750.2,66.7,38.39,6
FiddleSticks,Kraken Slayer,None,JUNGLE,4167.2,20.0,7.78,5
Diana,The Collector,The Collector,JUNGLE,8757.6,20.0,6.2,5
Sylas,Trinity Force,Trinity Force,JUNGLE,5611.0,60.0,18.5,5
Rengar,Kraken Slayer,Youmuu's Ghostblade,JUNGLE,7047.0,60.0,8.92,5
Rengar,The Collector,Kraken Slayer,JUNGLE,9090.8,60.0,38.47,5
Rengar,Kraken Slayer,The Collector,JUNGLE,7783.8,60.0,42.44,5
Rengar,Youmuu's Ghostblade,Kraken Slayer,JUNGLE,7813.0,40.0,46.98,5
DrMundo,Kraken Slayer,The Collector,JUNGLE,8639.0,60.0,17.16,5
DrMundo,Heartsteel,Kraken Slayer,JUNGLE,7215.2,60.0,2.23,5
DrMundo,Kraken Slayer,None,JUNGLE,4412.8,40.0,21.81,5
DrMundo,Kraken Slayer,Kraken Slayer,JUNGLE,5161.8,40.0,5.18,5
Nocturne,Kraken Slayer,Kraken Slayer,JUNGLE,4906.2,75.0,11.12,4
FiddleSticks,The Collector,Malignance,JUNGLE,10281.0,50.0,42.68,4
FiddleSticks,The Collector,The Collector,JUNGLE,9113.5,25.0,22.83,4
Ekko,Kraken Slayer,None,JUNGLE,3848.0,50.0,-15.69,4
Ekko,Kraken Slayer,Kraken Slayer,JUNGLE,6337.2,50.0,45.7,4
Diana,Essence Reaver,Kraken Slayer,JUNGLE,6701.0,50.0,25.28,4
Diana,The Collector,Chainlaced Crushers,JUNGLE,10517.0,75.0,45.62,4
Diana,Infinity Edge,The Collector,JUNGLE,10441.0,50.0,10.41,4
Diana,Kraken Slayer,Liandry's Torment,JUNGLE,7868.0,50.0,0.58,4
Diana,The Collector,Immortal Shieldbow,JUNGLE,12621.8,50.0,15.04,4
Sylas,Trinity Force,The Collector,JUNGLE,8219.2,50.0,37.7,4
Sylas,Hextech Rocketbelt,Trinity Force,JUNGLE,6019.5,50.0,15.85,4
Sylas,The Collector,The Collector,JUNGLE,8831.0,75.0,43.67,4
Sylas,Trinity Force,Hextech Rocketbelt,JUNGLE,5780.2,75.0,30.71,4
JarvanIV,Kraken Slayer,None,JUNGLE,4471.5,50.0,4.79,4
Kayn,Kraken Slayer,None,JUNGLE,3845.5,0.0,23.1,4
Kayn,Kraken Slayer,Kraken Slayer,JUNGLE,4764.2,0.0,13.45,4
Rengar,Kraken Slayer,None,JUNGLE,4002.5,50.0,42.91,4
Rengar,The Collector,The Collector,JUNGLE,8403.0,75.0,21.26,4
Talon,Kraken Slayer,None,JUNGLE,4584.5,100.0,56.05,4
Talon,Kraken Slayer,Kraken Slayer,JUNGLE,5421.0,100.0,51.44,4
Elise,Kraken Slayer,None,JUNGLE,3985.2,50.0,19.02,4
Elise,Kraken Slayer,Kraken Slayer,JUNGLE,5134.8,50.0,36.23,4
Elise,Kraken Slayer,The Collector,JUNGLE,8358.0,50.0,8.56,4
Elise,The Collector,Kraken Slayer,JUNGLE,8949.5,50.0,12.01,4
DrMundo,The Collector,Kraken Slayer,JUNGLE,7152.0,50.0,-15.69,4
DrMundo,The Collector,The Collector,JUNGLE,8275.2,50.0,1.64,4
Briar,Kraken Slayer,None,JUNGLE,4226.0,33.3,8.72,3
Briar,Kraken Slayer,Kraken Slayer,JUNGLE,5658.0,33.3,2.19,3
Nasus,The Collector,The Collector,JUNGLE,7513.3,0.0,-2.73,3
Zed,The Collector,The Collector,JUNGLE,8637.7,100.0,42.33,3
Zed,Kraken Slayer,None,JUNGLE,3576.0,100.0,45.95,3
Zed,Kraken Slayer,Kraken Slayer,JUNGLE,4290.3,100.0,60.06,3
Zed,Kraken Slayer,The Collector,JUNGLE,8750.0,100.0,27.64,3
Nocturne,Immortal Shieldbow,Immortal Shieldbow,JUNGLE,8959.0,100.0,116.45,3
Nocturne,Kraken Slayer,Immortal Shieldbow,JUNGLE,8959.0,100.0,116.45,3
Nocturne,Stridebreaker,Kraken Slayer,JUNGLE,8588.0,100.0,77.91,3
Nocturne,Kraken Slayer,None,JUNGLE,4202.3,66.7,17.35,3
FiddleSticks,Liandry's Torment,Malignance,JUNGLE,10867.7,33.3,16.04,3
FiddleSticks,Kraken Slayer,Malignance,JUNGLE,5873.7,0.0,-2.51,3
