VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Malzahar,Blackfire Torch,None,MIDDLE,3810.3,66.7,19.98,3
Ekko,Blackfire Torch,None,MIDDLE,3632.0,66.7,22.1,3
Orianna,Blackfire Torch,None,MIDDLE,4217.5,50.0,39.18,2
Orianna,Liandry's Torment,Blackfire Torch,MIDDLE,7494.0,50.0,21.63,2
Kayle,Rod of Ages,None,MIDDLE,3911.5,100.0,22.13,2
Zed,Blackfire Torch,None,MIDDLE,3826.5,50.0,17.46,2
Ahri,Luden's Companion,None,MIDDLE,3932.0,0.0,67.9,2
Malzahar,Liandry's Torment,Blackfire Torch,MIDDLE,8184.5,50.0,-1.88,2
Yone,Blackfire Torch,None,MIDDLE,3653.5,50.0,37.18,2
Yone,Liandry's Torment,Blackfire Torch,MIDDLE,7529.5,50.0,7.71,2
Sylas,Blackfire Torch,None,MIDDLE,3436.0,50.0,10.36,2
Lissandra,Blackfire Torch,None,MIDDLE,3778.0,100.0,47.29,2
Lissandra,Liandry's Torment,Blackfire Torch,MIDDLE,8316.5,100.0,-13.01,2
Fizz,Blackfire Torch,None,MIDDLE,4548.5,0.0,-26.39,2
Vex,Rod of Ages,None,MIDDLE,4448.5,100.0,17.12,2
Ekko,Shadowflame,Blackfire Torch,MIDDLE,8077.5,50.0,49.17,2
Ekko,Luden's Companion,None,MIDDLE,3993.0,50.0,69.2,2
Cassiopeia,Blackfire Torch,None,MIDDLE,5255.5,50.0,27.79,2
Cassiopeia,Liandry's Torment,Blackfire Torch,MIDDLE,8153.5,50.0,22.83,2
Cassiopeia,Void Staff,Rabadon's Deathcap,MIDDLE,17724.0,50.0,6.96,2
Azir,Blackfire Torch,None,MIDDLE,4120.5,100.0,35.75,2
Katarina,Blackfire Torch,None,MIDDLE,4081.0,50.0,-2.7,2
Syndra,Luden's Companion,None,MIDDLE,4313.0,100.0,0.9,1
Syndra,Archangel's Staff,Luden's Companion,MIDDLE,7085.0,100.0,-37.37,1
Syndra,Archangel's Staff,Archangel's Staff,MIDDLE,7085.0,100.0,-37.36,1
Syndra,Spellslinger's Shoes,Archangel's Staff,MIDDLE,8150.0,100.0,37.32,1
Syndra,Zhonya's Hourglass,Spellslinger's Shoes,MIDDLE,10598.0,100.0,44.53,1
Syndra,Rabadon's Deathcap,Zhonya's Hourglass,MIDDLE,14702.0,100.0,20.93,1
Syndra,Lich Bane,Rabadon's Deathcap,MIDDLE,18573.0,100.0,0,1
Syndra,Blackfire Torch,None,MIDDLE,4381.0,0.0,0.18,1
Syndra,Shadowflame,Blackfire Torch,MIDDLE,7729.0,0.0,0,1
Orianna,Swiftmarch,Liandry's Torment,MIDDLE,9467.0,100.0,0.93,1
Orianna,Rabadon's Deathcap,Swiftmarch,MIDDLE,11880.0,100.0,0,1
Orianna,Shadowflame,Liandry's Torment,MIDDLE,10017.0,0.0,-7.44,1
Orianna,Luden's Companion,None,MIDDLE,3478.0,0.0,-2.57,1
Orianna,Shadowflame,Luden's Companion,MIDDLE,7890.0,0.0,28.97,1
Orianna,Rabadon's Deathcap,Shadowflame,MIDDLE,11707.0,0.0,0,1
Kayle,Liandry's Torment,Rod of Ages,MIDDLE,7271.0,100.0,34.39,1
Kayle,Rabadon's Deathcap,Liandry's Torment,MIDDLE,11703.0,100.0,0,1
Kayle,Luden's Companion,Rod of Ages,MIDDLE,6317.0,100.0,2.27,1
Zed,Luden's Companion,None,MIDDLE,4772.0,100.0,21.62,1
Zed,Lich Bane,Luden's Companion,MIDDLE,7765.0,100.0,60.97,1
Zed,Rabadon's Deathcap,Lich Bane,MIDDLE,11350.0,100.0,0,1
Zed,Cosmic Drive,Blackfire Torch,MIDDLE,7396.0,0.0,-43.13,1
Zed,Liandry's Torment,Blackfire Torch,MIDDLE,7595.0,100.0,56.77,1
Zed,Rod of Ages,None,MIDDLE,3443.0,100.0,29.31,1
Veigar,Luden's Companion,None,MIDDLE,4270.0,0.0,22.77,1
Veigar,Lich Bane,Luden's Companion,MIDDLE,7409.0,0.0,-27.95,1
Veigar,Spellslinger's Shoes,Lich Bane,MIDDLE,10572.0,0.0,0,1
Veigar,Blackfire Torch,None,MIDDLE,3743.0,0.0,13.69,1
Veigar,Liandry's Torment,Blackfire Torch,MIDDLE,7758.0,0.0,62.89,1
Veigar,Rabadon's Deathcap,Liandry's Torment,MIDDLE,11018.0,0.0,-8.73,1
Ahri,Rod of Ages,None,MIDDLE,4245.0,0.0,38.28,1
Ahri,Liandry's Torment,Luden's Companion,MIDDLE,7765.0,0.0,9.21,1
Ahri,Blackfire Torch,Liandry's Torment,MIDDLE,10161.0,0.0,-16.24,1
Tristana,Malignance,None,MIDDLE,3372.0,0.0,6.73,1
Tristana,Blackfire Torch,None,BOTTOM,3795.0,0.0,-29.31,1
Tristana,Liandry's Torment,Blackfire Torch,BOTTOM,7912.0,0.0,28.28,1
Tristana,Zhonya's Hourglass,Liandry's Torment,BOTTOM,11790.0,0.0,0,1
Malzahar,Rod of Ages,None,MIDDLE,3382.0,0.0,10.37,1
Malzahar,Liandry's Torment,Rod of Ages,MIDDLE,7259.0,0.0,0,1
Malzahar,Zhonya's Hourglass,Liandry's Torment,MIDDLE,11408.0,0.0,0,1
Yone,Zhonya's Hourglass,Liandry's Torment,MIDDLE,10657.0,0.0,121.46,1
Yone,Rabadon's Deathcap,Zhonya's Hourglass,MIDDLE,15166.0,0.0,0,1
Yone,Luden's Companion,None,MIDDLE,4358.0,0.0,73.51,1
Yone,Archangel's Staff,Luden's Companion,MIDDLE,6577.0,0.0,-11.26,1
Yone,Archangel's Staff,Archangel's Staff,MIDDLE,6577.0,0.0,-11.25,1
Sylas,Archangel's Staff,Blackfire Torch,MIDDLE,6664.0,100.0,71.9,1
Sylas,Archangel's Staff,Archangel's Staff,MIDDLE,8694.0,100.0,24.58,1
Sylas,Zhonya's Hourglass,Archangel's Staff,MIDDLE,10598.0,100.0,53.43,1
Vladimir,Rod of Ages,None,MIDDLE,3240.0,0.0,19.13,1
Vladimir,Liandry's Torment,Rod of Ages,MIDDLE,6483.0,0.0,0,1
Lissandra,Luden's Companion,None,MIDDLE,4793.0,100.0,45.97,1
Lissandra,Shadowflame,Luden's Companion,MIDDLE,7326.0,100.0,-9.1,1
Fizz,Blackfire Torch,Blackfire Torch,MIDDLE,3638.0,0.0,-56.74,1
Fizz,Luden's Companion,None,MIDDLE,4348.0,0.0,-7.84,1
Fizz,Zhonya's Hourglass,Luden's Companion,MIDDLE,6897.0,0.0,-11.74,1
Fizz,Liandry's Torment,Blackfire Torch,MIDDLE,7797.0,0.0,0,1
Vex,Liandry's Torment,Rod of Ages,MIDDLE,7412.0,100.0,53.15,1
Vex,Rabadon's Deathcap,Liandry's Torment,MIDDLE,10621.0,100.0,117.36,1
Vex,Spellslinger's Shoes,Rabadon's Deathcap,MIDDLE,13222.0,100.0,62.27,1
Vex,Zhonya's Hourglass,Spellslinger's Shoes,MIDDLE,15429.0,100.0,0,1
Vex,Lich Bane,Rod of Ages,MIDDLE,7986.0,100.0,0,1
Aurora,Blackfire Torch,None,MIDDLE,3741.0,0.0,13.43,1
Aurora,Void Staff,Blackfire Torch,MIDDLE,9386.0,0.0,0,1
Hwei,Blackfire Torch,None,MIDDLE,3626.0,0.0,30.49,1
Hwei,Lich Bane,Blackfire Torch,MIDDLE,7519.0,0.0,72.21,1
Hwei,Rabadon's Deathcap,Lich Bane,MIDDLE,11311.0,0.0,36.7,1
