VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Sylas,Cosmic Drive,None,MIDDLE,4431.0,50.0,17.6,2
Galio,Riftmaker,None,MIDDLE,5194.5,0.0,-0.14,2
Ornn,Cosmic Drive,None,TOP,5595.5,50.0,41.45,2
Ornn,Riftmaker,Cosmic Drive,TOP,7916.5,50.0,43.48,2
TwistedFate,Hextech Rocketbelt,None,MIDDLE,4102.5,0.0,5.71,2
TwistedFate,Rabadon's Deathcap,Hextech Rocketbelt,MIDDLE,8324.5,0.0,-14.92,2
Sett,Horizon Focus,None,TOP,4808.0,100.0,53.77,2
Ahri,Horizon Focus,None,MIDDLE,4869.0,50.0,-9.57,2
Ahri,Rabadon's Deathcap,Horizon Focus,MIDDLE,8751.0,50.0,5.52,2
Jax,Horizon Focus,None,TOP,3823.0,0.0,36.83,2
Jax,Rabadon's Deathcap,Horizon Focus,TOP,7959.0,0.0,-11.72,2
Jax,Riftmaker,Rabadon's Deathcap,TOP,11350.0,0.0,-38.42,2
Katarina,Horizon Focus,None,MIDDLE,3983.0,100.0,98.05,2
Katarina,Rabadon's Deathcap,Horizon Focus,MIDDLE,7527.0,100.0,22.86,2
Yone,Horizon Focus,None,TOP,4447.5,50.0,-2.25,2
Zed,Cosmic Drive,None,MIDDLE,5301.0,0.0,55.18,1
Zed,Rabadon's Deathcap,Cosmic Drive,MIDDLE,8468.0,0.0,0,1
Zed,Horizon Focus,None,MIDDLE,4280.0,100.0,10.87,1
Zed,Rabadon's Deathcap,Horizon Focus,MIDDLE,9051.0,100.0,0,1
Zed,Swiftmarch,Rabadon's Deathcap,MIDDLE,9973.0,100.0,0,1
Zed,Stormsurge,None,MIDDLE,4342.0,100.0,16.36,1
Zed,Rabadon's Deathcap,Stormsurge,MIDDLE,9607.0,100.0,-6.07,1
Zed,Horizon Focus,Rabadon's Deathcap,MIDDLE,12398.0,100.0,25.33,1
Zed,Void Staff,Horizon Focus,MIDDLE,14877.0,100.0,41.04,1
Malphite,Cosmic Drive,None,TOP,4153.0,100.0,-5.83,1
Malphite,Horizon Focus,None,TOP,3882.0,0.0,67.6,1
Kayle,Cosmic Drive,None,TOP,4087.0,100.0,37.19,1
Kayle,Riftmaker,Cosmic Drive,TOP,7340.0,100.0,-10.19,1
Kayle,Crimson Lucidity,Riftmaker,TOP,8224.0,100.0,-5.87,1
Sylas,Rabadon's Deathcap,Cosmic Drive,MIDDLE,9193.0,0.0,12.43,1
Sylas,Void Staff,Rabadon's Deathcap,MIDDLE,11719.0,0.0,0,1
Sylas,Stormsurge,None,MIDDLE,3788.0,0.0,19.96,1
Sylas,Rabadon's Deathcap,Stormsurge,MIDDLE,8473.0,0.0,68.72,1
Sylas,Hextech Rocketbelt,Rabadon's Deathcap,MIDDLE,10789.0,0.0,0,1
Sylas,Riftmaker,None,MIDDLE,4361.0,0.0,23.76,1
Sylas,Cosmic Drive,Riftmaker,MIDDLE,8137.0,0.0,0,1
Sylas,Stormsurge,Cosmic Drive,MIDDLE,7560.0,100.0,0.9,1
Sylas,Swiftmarch,Stormsurge,MIDDLE,7900.0,100.0,19.44,1
Sylas,Horizon Focus,Swiftmarch,MIDDLE,11456.0,100.0,0,1
Singed,Cosmic Drive,None,TOP,5257.0,100.0,28.19,1
Singed,Riftmaker,Cosmic Drive,TOP,7758.0,100.0,89.98,1
Singed,Swiftmarch,Riftmaker,TOP,7758.0,100.0,90.98,1
Singed,Rabadon's Deathcap,Swiftmarch,TOP,12157.0,100.0,0,1
Ryze,Cosmic Drive,None,MIDDLE,4746.0,0.0,-18.36,1
Ryze,Riftmaker,Cosmic Drive,MIDDLE,8425.0,0.0,-40.15,1
Darius,Cosmic Drive,None,TOP,4853.0,0.0,-4.16,1
Darius,Stormsurge,Cosmic Drive,TOP,6473.0,0.0,19.77,1
Darius,Rabadon's Deathcap,Stormsurge,TOP,12043.0,0.0,0,1
Darius,Riftmaker,None,TOP,4697.0,0.0,-35.22,1
Darius,Abyssal Mask,Riftmaker,TOP,7589.0,0.0,-12.62,1
Yasuo,Cosmic Drive,None,MIDDLE,5188.0,0.0,73.21,1
Yasuo,Stormsurge,Cosmic Drive,MIDDLE,8118.0,0.0,-34.61,1
Yasuo,Rabadon's Deathcap,Stormsurge,MIDDLE,10997.0,0.0,32.08,1
Yasuo,Cosmic Drive,None,TOP,4547.0,0.0,-20.04,1
Yasuo,Zhonya's Hourglass,Cosmic Drive,TOP,7444.0,0.0,0,1
Yasuo,Hextech Rocketbelt,None,MIDDLE,4032.0,0.0,0,1
Yasuo,Horizon Focus,None,TOP,4404.0,0.0,26.21,1
Yasuo,Rabadon's Deathcap,Horizon Focus,TOP,7588.0,0.0,0,1
Gangplank,Cosmic Drive,None,MIDDLE,5474.0,100.0,20.03,1
Galio,Cosmic Drive,Riftmaker,MIDDLE,8818.0,0.0,-28.41,1
Galio,Liandry's Torment,Riftmaker,MIDDLE,4728.0,0.0,22.8,1
Galio,Riftmaker,Liandry's Torment,MIDDLE,8379.0,0.0,-25.59,1
Galio,Void Staff,Riftmaker,MIDDLE,12483.0,0.0,0,1
Hwei,Liandry's Torment,None,MIDDLE,3798.0,0.0,3.45,1
Hwei,Horizon Focus,None,MIDDLE,4844.0,100.0,2.49,1
Hwei,Rabadon's Deathcap,Horizon Focus,MIDDLE,7981.0,100.0,18.35,1
Hwei,Shadowflame,Rabadon's Deathcap,MIDDLE,13701.0,100.0,0,1
Lucian,Hextech Rocketbelt,None,MIDDLE,6304.0,0.0,11.91,1
Lucian,Rabadon's Deathcap,Hextech Rocketbelt,MIDDLE,8237.0,0.0,-28.41,1
Mel,Hextech Rocketbelt,None,MIDDLE,5222.0,0.0,25.06,1
Mel,Riftmaker,Hextech Rocketbelt,MIDDLE,8024.0,0.0,64.49,1
Mel,Rabadon's Deathcap,Riftmaker,MIDDLE,10799.0,0.0,4.38,1
Mel,Zhonya's Hourglass,Rabadon's Deathcap,MIDDLE,14276.0,0.0,0,1
Mel,Horizon Focus,None,MIDDLE,3250.0,100.0,41.86,1
Mel,Rabadon's Deathcap,Horizon Focus,MIDDLE,8218.0,100.0,10.34,1
Mel,Crimson Lucidity,Rabadon's Deathcap,MIDDLE,9557.0,100.0,8.66,1
Mel,Riftmaker,Crimson Lucidity,MIDDLE,11823.0,100.0,-10.05,1
Mel,Shadowflame,None,MIDDLE,4165.0,0.0,3.69,1
Mel,Hextech Rocketbelt,Shadowflame,MIDDLE,7619.0,0.0,76.35,1
Viktor,Cosmic Drive,None,MIDDLE,4043.0,100.0,-3.21,1
Viktor,Riftmaker,Cosmic Drive,MIDDLE,8208.0,100.0,0,1
Akali,Hextech Rocketbelt,None,MIDDLE,4526.0,100.0,36.97,1
Akali,Rabadon's Deathcap,Hextech Rocketbelt,MIDDLE,9031.0,100.0,12.43,1
Akali,Riftmaker,Rabadon's Deathcap,MIDDLE,11332.0,100.0,0,1
Akali,Cosmic Drive,None,MIDDLE,5284.0,0.0,-3.05,1
Akali,Horizon Focus,Cosmic Drive,MIDDLE,7877.0,0.0,4.41,1
Akali,Rabadon's Deathcap,Horizon Focus,MIDDLE,10593.0,0.0,42.06,1
Akali,Zhonya's Hourglass,Rabadon's Deathcap,MIDDLE,15668.0,0.0,-32.83,1
Akali,Void Staff,Zhonya's Hourglass,MIDDLE,17252.0,0.0,0,1
Zoe,Hextech Rocketbelt,None,MIDDLE,4907.0,0.0,43.66,1
Zoe,Riftmaker,Hextech Rocketbelt,MIDDLE,8660.0,0.0,-5.89,1
Zoe,Rabadon's Deathcap,Riftmaker,MIDDLE,11127.0,0.0,10.95,1
Zoe,Banshee's Veil,Rabadon's Deathcap,MIDDLE,14056.0,0.0,0,1
Garen,Rabadon's Deathcap,None,TOP,4284.0,100.0,61.36,1
Garen,Shadowflame,Rabadon's Deathcap,TOP,7873.0,100.0,33.61,1
Garen,Stormsurge,Shadowflame,TOP,11266.0,100.0,111.61,1
Garen,Void Staff,Stormsurge,TOP,14382.0,100.0,0,1
Garen,Spellslinger's Shoes,Void Staff,TOP,16509.0,100.0,0,1
Garen,Horizon Focus,None,MIDDLE,4483.0,100.0,12.29,1
Ornn,Rabadon's Deathcap,Riftmaker,TOP,11224.0,0.0,10.26,1
Ornn,Zhonya's Hourglass,Rabadon's Deathcap,TOP,15084.0,0.0,-29.92,1
Ornn,Spirit Visage,Zhonya's Hourglass,TOP,17351.0,0.0,92.41,1
Ornn,Void Staff,Spirit Visage,TOP,21471.0,0.0,0,1
Ornn,Crimson Lucidity,Riftmaker,TOP,8039.0,100.0,44.07,1
Ornn,Rabadon's Deathcap,Crimson Lucidity,TOP,12238.0,100.0,17.95,1
Ornn,Bloodletter's Curse,Rabadon's Deathcap,TOP,13906.0,100.0,-18.65,1
Ornn,Liandry's Torment,Bloodletter's Curse,TOP,13906.0,100.0,-18.45,1
Ornn,Bloodletter's Curse,Liandry's Torment,TOP,13906.0,100.0,-18.22,1
Renekton,Rabadon's Deathcap,None,TOP,5532.0,100.0,-6.4,1
Renekton,Shadowflame,Rabadon's Deathcap,TOP,7640.0,100.0,10.92,1
Renekton,Hextech Rocketbelt,Shadowflame,TOP,10548.0,100.0,21.63,1
Renekton,Riftmaker,Hextech Rocketbelt,TOP,15356.0,100.0,0,1
Renekton,Void Staff,Riftmaker,TOP,17877.0,100.0,0,1
Renekton,Spellslinger's Shoes,Void Staff,TOP,17877.0,100.0,0,1
Lux,Hextech Rocketbelt,None,MIDDLE,3258.0,0.0,-15.63,1
Lux,Riftmaker,Hextech Rocketbelt,MIDDLE,7015.0,0.0,-15.91,1
TwistedFate,Hextech Rocketbelt,Hextech Rocketbelt,MIDDLE,4468.0,0.0,-15.71,1
TwistedFate,Cosmic Drive,None,MIDDLE,4753.0,0.0,11.12,1
TwistedFate,Rabadon's Deathcap,Cosmic Drive,MIDDLE,8437.0,0.0,8.72,1
Akshan,Horizon Focus,None,TOP,5947.0,100.0,8.84,1
Akshan,Rabadon's Deathcap,Horizon Focus,TOP,9774.0,100.0,36.93,1
Akshan,Swiftmarch,Rabadon's Deathcap,TOP,9774.0,100.0,37.44,1
Akshan,Swiftmarch,Swiftmarch,TOP,11906.0,100.0,0,1
Akshan,Cosmic Drive,Swiftmarch,TOP,13482.0,100.0,0,1
Jhin,Hextech Rocketbelt,None,MIDDLE,3967.0,100.0,7.8,1
Jhin,Riftmaker,Hextech Rocketbelt,MIDDLE,7892.0,100.0,-5.16,1
Sett,Rabadon's Deathcap,Horizon Focus,TOP,8337.0,100.0,42.31,1
Sett,Riftmaker,Rabadon's Deathcap,TOP,11582.0,100.0,26.99,1
Sett,Stormsurge,Riftmaker,TOP,11582.0,100.0,27.31,1
Sett,Spellslinger's Shoes,Stormsurge,TOP,11582.0,100.0,27.33,1
Ahri,Riftmaker,Rabadon's Deathcap,MIDDLE,12427.0,0.0,23.75,1
Ahri,Zhonya's Hourglass,Riftmaker,MIDDLE,14565.0,0.0,0,1
Ahri,Crimson Lucidity,Rabadon's Deathcap,MIDDLE,9061.0,100.0,42.79,1
Ahri,Shadowflame,Crimson Lucidity,MIDDLE,12201.0,100.0,0,1
Jax,Spellslinger's Shoes,Riftmaker,TOP,11532.0,0.0,-38.35,1
Neeko,Horizon Focus,None,MIDDLE,4109.0,0.0,-8.89,1
Neeko,Rabadon's Deathcap,Horizon Focus,MIDDLE,7703.0,0.0,32.61,1
Neeko,Cosmic Drive,None,MIDDLE,4236.0,100.0,22.52,1
Cassiopeia,Horizon Focus,None,MIDDLE,3561.0,100.0,15.26,1
Cassiopeia,Rabadon's Deathcap,Horizon Focus,MIDDLE,7817.0,100.0,22.66,1
Cassiopeia,Riftmaker,Rabadon's Deathcap,MIDDLE,10510.0,100.0,0,1
Cassiopeia,Hextech Rocketbelt,None,TOP,5111.0,100.0,30.36,1
Cassiopeia,Rabadon's Deathcap,Hextech Rocketbelt,TOP,7415.0,100.0,1.73,1
Cassiopeia,Crimson Lucidity,Rabadon's Deathcap,TOP,8287.0,100.0,2.31,1
Cassiopeia,Cosmic Drive,None,TOP,3416.0,100.0,39.45,1
Cassiopeia,Rabadon's Deathcap,Cosmic Drive,TOP,8019.0,100.0,-32.02,1
Cassiopeia,Swiftmarch,Rabadon's Deathcap,TOP,9105.0,100.0,18.99,1
Illaoi,Cosmic Drive,None,TOP,4562.0,0.0,35.66,1
Illaoi,Rabadon's Deathcap,Cosmic Drive,TOP,7878.0,0.0,43.81,1
Illaoi,Void Staff,Rabadon's Deathcap,TOP,11980.0,0.0,-29.52,1
Smolder,Horizon Focus,None,MIDDLE,5453.0,100.0,29.24,1
Smolder,Riftmaker,Horizon Focus,MIDDLE,7937.0,100.0,13.65,1
Smolder,Crimson Lucidity,Riftmaker,MIDDLE,9055.0,100.0,0,1
Jayce,Horizon Focus,None,TOP,3238.0,100.0,-16.71,1
Jayce,Rabadon's Deathcap,Horizon Focus,TOP,8226.0,100.0,22.92,1
Jayce,Stormsurge,Rabadon's Deathcap,TOP,11366.0,100.0,46.75,1
Jayce,Zhonya's Hourglass,Stormsurge,TOP,14091.0,100.0,0,1
Zyra,Riftmaker,None,MIDDLE,4935.0,100.0,25.84,1
Zyra,Rabadon's Deathcap,Riftmaker,MIDDLE,8669.0,100.0,18.8,1
Zyra,Spellslinger's Shoes,Rabadon's Deathcap,MIDDLE,9521.0,100.0,31.71,1
Seraphine,Horizon Focus,None,MIDDLE,4382.0,0.0,-16.54,1
Seraphine,Rabadon's Deathcap,Horizon Focus,MIDDLE,8183.0,0.0,5.81,1
Katarina,Crimson Lucidity,Rabadon's Deathcap,MIDDLE,9650.0,100.0,25.62,1
Katarina,Riftmaker,Rabadon's Deathcap,MIDDLE,11375.0,100.0,105.31,1
Katarina,Void Staff,Riftmaker,MIDDLE,13781.0,100.0,0,1
Zac,Cosmic Drive,None,TOP,5482.0,100.0,14.44,1
Zac,Stormsurge,Cosmic Drive,TOP,8120.0,100.0,-21.57,1
Zac,Crimson Lucidity,Stormsurge,TOP,9746.0,100.0,19.14,1
Zac,Shadowflame,Crimson Lucidity,TOP,12684.0,100.0,6.69,1
Zac,Horizon Focus,Shadowflame,TOP,14848.0,100.0,-38.63,1
Zac,Crimson Lucidity,Horizon Focus,TOP,16296.0,100.0,0,1
Zac,Swiftmarch,Crimson Lucidity,TOP,16296.0,100.0,0,1
MasterYi,Horizon Focus,None,TOP,4822.0,100.0,6.58,1
MasterYi,Riftmaker,Horizon Focus,TOP,9114.0,100.0,1.69,1
MasterYi,Rabadon's Deathcap,Riftmaker,TOP,11310.0,100.0,112.71,1
Leblanc,Heartsteel,None,MIDDLE,3438.0,0.0,24.01,1
Leblanc,Cosmic Drive,Heartsteel,MIDDLE,7590.0,0.0,32.77,1
Leblanc,Horizon Focus,None,MIDDLE,3622.0,0.0,45.48,1
Leblanc,Stormsurge,Horizon Focus,MIDDLE,8867.0,0.0,-10.47,1
Leblanc,Zhonya's Hourglass,Stormsurge,MIDDLE,10229.0,0.0,-24.91,1
Xerath,Horizon Focus,None,MIDDLE,4315.0,100.0,-8.55,1
Chogath,Horizon Focus,None,MIDDLE,3630.0,0.0,23.84,1
Chogath,Rabadon's Deathcap,Horizon Focus,MIDDLE,8197.0,0.0,0,1
Chogath,Cosmic Drive,None,TOP,3903.0,100.0,34.68,1
Chogath,Riftmaker,Cosmic Drive,TOP,7196.0,100.0,8.83,1
Chogath,Crimson Lucidity,Riftmaker,TOP,7665.0,100.0,6.52,1
Chogath,Zhonya's Hourglass,Crimson Lucidity,TOP,10931.0,100.0,34.32,1
Chogath,Horizon Focus,None,TOP,4297.0,100.0,15.59,1
Chogath,Rabadon's Deathcap,Horizon Focus,TOP,9304.0,100.0,-9.78,1
Chogath,Zhonya's Hourglass,Rabadon's Deathcap,TOP,11752.0,100.0,60.86,1
Chogath,Void Staff,Zhonya's Hourglass,TOP,14205.0,100.0,-16.75,1
Chogath,Liandry's Torment,Void Staff,TOP,18200.0,100.0,-16.14,1
Yone,Horizon Focus,None,MIDDLE,3455.0,100.0,4.87,1
Yone,Stormsurge,Horizon Focus,MIDDLE,7661.0,100.0,55.05,1
Yone,Rabadon's Deathcap,Stormsurge,MIDDLE,11032.0,100.0,7.76,1
Yone,Zhonya's Hourglass,Rabadon's Deathcap,MIDDLE,14925.0,100.0,0,1
Yone,Zhonya's Hourglass,Zhonya's Hourglass,MIDDLE,14925.0,100.0,0,1
Yone,Riftmaker,Horizon Focus,TOP,7119.0,100.0,96.26,1
Yone,Crimson Lucidity,Riftmaker,TOP,9997.0,100.0,24.42,1
Yone,Rabadon's Deathcap,Crimson Lucidity,TOP,11617.0,100.0,35.58,1
Thresh,Horizon Focus,None,MIDDLE,4151.0,100.0,18.89,1
Thresh,Rabadon's Deathcap,Horizon Focus,MIDDLE,8649.0,100.0,-24.67,1
Thresh,Riftmaker,Rabadon's Deathcap,MIDDLE,10375.0,100.0,2.28,1
Gwen,Horizon Focus,None,TOP,3640.0,0.0,-20.38,1
Gwen,Rabadon's Deathcap,Horizon Focus,TOP,7036.0,0.0,8.21,1
Gwen,Crimson Lucidity,Rabadon's Deathcap,TOP,9136.0,0.0,0,1
DrMundo,Riftmaker,None,TOP,5258.0,100.0,86.13,1
DrMundo,Horizon Focus,Riftmaker,TOP,9253.0,100.0,81.8,1
DrMundo,Zhonya's Hourglass,Horizon Focus,TOP,10765.0,100.0,49.08,1
DrMundo,Rabadon's Deathcap,Zhonya's Hourglass,TOP,14511.0,100.0,0,1
Ziggs,Horizon Focus,None,MIDDLE,3392.0,0.0,-11.46,1
Ziggs,Rabadon's Deathcap,Horizon Focus,MIDDLE,8191.0,0.0,-19.88,1
Zaahen,Horizon Focus,None,TOP,4361.0,100.0,49.52,1
Zaahen,Rabadon's Deathcap,Horizon Focus,TOP,7903.0,100.0,43.94,1
Shen,Cosmic Drive,None,TOP,3888.0,0.0,32.12,1
Fizz,Cosmic Drive,None,MIDDLE,4919.0,0.0,-0.71,1
Fizz,Cryptbloom,Cosmic Drive,MIDDLE,7676.0,0.0,-18.47,1
Vayne,Horizon Focus,None,TOP,4525.0,0.0,-12.77,1
Vayne,Rabadon's Deathcap,Horizon Focus,TOP,8293.0,0.0,71.46,1
Vayne,Zhonya's Hourglass,Rabadon's Deathcap,TOP,11293.0,0.0,-52.03,1
