VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Ambessa,Blade of The Ruined King,None,TOP,5689.0,100.0,-7.12,3
Mordekaiser,Blade of The Ruined King,None,TOP,4350.0,0.0,41.36,3
Viego,Stridebreaker,None,JUNGLE,4255.0,33.3,58.04,3
Viego,Blade of The Ruined King,Stridebreaker,JUNGLE,9303.7,33.3,7.9,3
Volibear,Blade of The Ruined King,None,TOP,5230.0,50.0,9.24,2
Hecarim,Stridebreaker,None,JUNGLE,4804.0,0.0,57.6,2
Hecarim,Blade of The Ruined King,Stridebreaker,JUNGLE,8817.0,0.0,-20.17,2
Ambessa,Titanic Hydra,Blade of The Ruined King,TOP,8646.5,100.0,17.66,2
Ambessa,Armored Advance,Titanic Hydra,TOP,9544.0,100.0,8.54,2
Ekko,Stridebreaker,None,JUNGLE,4401.0,100.0,19.9,2
JarvanIV,Stridebreaker,None,JUNGLE,4839.5,0.0,-2.36,2
JarvanIV,Blade of The Ruined King,Stridebreaker,JUNGLE,8878.5,0.0,71.15,2
JarvanIV,Blade of The Ruined King,None,JUNGLE,6009.0,50.0,-6.9,2
Mordekaiser,Stridebreaker,Blade of The Ruined King,TOP,8353.0,0.0,-1.56,2
Talon,Stridebreaker,None,JUNGLE,5112.5,0.0,52.24,2
Talon,Blade of The Ruined King,Stridebreaker,JUNGLE,8748.5,0.0,-29.46,2
Nocturne,Blade of The Ruined King,None,JUNGLE,5432.0,50.0,-5.85,2
XinZhao,Blade of The Ruined King,None,JUNGLE,4719.5,0.0,79.29,2
XinZhao,Stridebreaker,Blade of The Ruined King,JUNGLE,8276.0,0.0,-35.51,2
Yorick,Blade of The Ruined King,None,TOP,4754.5,100.0,18.69,2
Yorick,Stridebreaker,Blade of The Ruined King,TOP,8579.5,100.0,25.3,2
Volibear,Stridebreaker,Blade of The Ruined King,TOP,8113.0,100.0,-23.6,1
Volibear,Spirit Visage,Stridebreaker,TOP,10203.0,100.0,17.47,1
Volibear,Armored Advance,Spirit Visage,TOP,12694.0,100.0,0,1
Volibear,Maw of Malmortius,Blade of The Ruined King,TOP,6831.0,0.0,0,1
Volibear,Blade of The Ruined King,None,JUNGLE,5485.0,0.0,30.91,1
Hecarim,Thornmail,Blade of The Ruined King,JUNGLE,10946.0,0.0,0,1
Hecarim,Blade of The Ruined King,None,JUNGLE,5202.0,100.0,5.75,1
Hecarim,Kraken Slayer,Blade of The Ruined King,JUNGLE,9253.0,100.0,-27.46,1
Hecarim,Stridebreaker,Kraken Slayer,JUNGLE,11607.0,100.0,49.49,1
Hecarim,Spirit Visage,Stridebreaker,JUNGLE,13864.0,100.0,6.92,1
Hecarim,Gunmetal Greaves,Spirit Visage,JUNGLE,16141.0,100.0,-15.31,1
Udyr,Ravenous Hydra,None,JUNGLE,5843.0,100.0,25.16,1
Udyr,Eclipse,Ravenous Hydra,JUNGLE,8117.0,100.0,0,1
Garen,Blade of The Ruined King,None,TOP,4228.0,0.0,30.41,1
Garen,Stridebreaker,Blade of The Ruined King,TOP,8555.0,0.0,0,1
Kayle,Stridebreaker,None,TOP,7319.0,0.0,7.9,1
Kayle,Blade of The Ruined King,Stridebreaker,TOP,8707.0,0.0,0,1
Ambessa,Sterak's Gage,Armored Advance,TOP,11973.0,100.0,-38.95,1
Ambessa,Terminus,Armored Advance,TOP,11671.0,100.0,18.95,1
Ambessa,Stridebreaker,None,TOP,3990.0,0.0,51.24,1
Ambessa,Blade of The Ruined King,Stridebreaker,TOP,8233.0,0.0,-10.97,1
Ambessa,Death's Dance,Blade of The Ruined King,TOP,9087.0,100.0,52.93,1
Ambessa,Kraken Slayer,None,TOP,6784.0,100.0,26.53,1
Ambessa,Blade of The Ruined King,Kraken Slayer,TOP,6784.0,100.0,26.85,1
Ambessa,Experimental Hexplate,Blade of The Ruined King,TOP,11572.0,100.0,3.98,1
Ambessa,Armored Advance,Experimental Hexplate,TOP,11572.0,100.0,4.12,1
Ambessa,Spirit Visage,Armored Advance,TOP,14420.0,100.0,0,1
Skarner,Blade of The Ruined King,None,JUNGLE,6457.0,100.0,43.44,1
Skarner,Titanic Hydra,Blade of The Ruined King,JUNGLE,11509.0,100.0,-14.76,1
Skarner,Sterak's Gage,Titanic Hydra,JUNGLE,11509.0,100.0,-14.51,1
Aatrox,Blade of The Ruined King,None,JUNGLE,3864.0,100.0,32.44,1
Aatrox,Stridebreaker,Blade of The Ruined King,JUNGLE,8578.0,100.0,-11.46,1
Aatrox,Thornmail,Stridebreaker,JUNGLE,13459.0,100.0,0,1
Aatrox,Stridebreaker,None,JUNGLE,3874.0,100.0,78.03,1
Aatrox,Blade of The Ruined King,Stridebreaker,JUNGLE,8720.0,100.0,-15.58,1
Aatrox,Guardian Angel,Blade of The Ruined King,JUNGLE,11618.0,100.0,-6.78,1
Aatrox,Spirit Visage,Guardian Angel,JUNGLE,14650.0,100.0,10.9,1
Aatrox,Dead Man's Plate,Spirit Visage,JUNGLE,16857.0,100.0,-5.57,1
Aatrox,Stridebreaker,Dead Man's Plate,JUNGLE,17015.0,100.0,-5.26,1
Aatrox,Stridebreaker,Stridebreaker,JUNGLE,18406.0,100.0,-18.34,1
Aatrox,Ravenous Hydra,Stridebreaker,JUNGLE,18406.0,100.0,-18.26,1
Ekko,Heartsteel,Stridebreaker,JUNGLE,8322.0,100.0,0,1
Ekko,Blade of The Ruined King,Stridebreaker,JUNGLE,8922.0,100.0,1.53,1
Ekko,Swiftmarch,Blade of The Ruined King,JUNGLE,10197.0,100.0,0,1
Ekko,Thornmail,Swiftmarch,JUNGLE,11622.0,100.0,0,1
JarvanIV,Thornmail,Blade of The Ruined King,JUNGLE,12086.0,0.0,-5.83,1
JarvanIV,Armored Advance,Thornmail,JUNGLE,12086.0,0.0,-5.78,1
JarvanIV,Randuin's Omen,Armored Advance,JUNGLE,14195.0,0.0,0,1
JarvanIV,Titanic Hydra,Blade of The Ruined King,JUNGLE,9197.0,100.0,9.94,1
JarvanIV,Armored Advance,Titanic Hydra,JUNGLE,9197.0,100.0,10.37,1
JarvanIV,Spirit Visage,Armored Advance,JUNGLE,11709.0,100.0,0,1
JarvanIV,Titanic Hydra,None,JUNGLE,4520.0,0.0,34.05,1
Trundle,Blade of The Ruined King,None,JUNGLE,4494.0,100.0,-21.88,1
Trundle,"Jak'Sho, The Protean",Blade of The Ruined King,JUNGLE,10386.0,100.0,-47.86,1
Trundle,Sterak's Gage,"Jak'Sho, The Protean",JUNGLE,11272.0,100.0,-19.87,1
FiddleSticks,Stridebreaker,None,JUNGLE,5702.0,100.0,44.88,1
FiddleSticks,Spirit Visage,Stridebreaker,JUNGLE,9245.0,100.0,29.72,1
FiddleSticks,Dead Man's Plate,Spirit Visage,JUNGLE,11078.0,100.0,-5.87,1
FiddleSticks,Swiftmarch,Dead Man's Plate,JUNGLE,13136.0,100.0,0,1
Ivern,Blade of The Ruined King,None,JUNGLE,4819.0,0.0,-8.16,1
Ivern,Stridebreaker,Blade of The Ruined King,JUNGLE,8030.0,0.0,42.4,1
Ivern,Swiftmarch,Stridebreaker,JUNGLE,9202.0,0.0,12.89,1
Ivern,Spirit Visage,Swiftmarch,JUNGLE,11447.0,0.0,0,1
Kled,Blade of The Ruined King,None,TOP,5074.0,0.0,-29.18,1
Kled,Stridebreaker,Blade of The Ruined King,TOP,9479.0,0.0,0,1
Darius,Stridebreaker,None,JUNGLE,4217.0,100.0,49.04,1
Darius,Blade of The Ruined King,Stridebreaker,JUNGLE,8708.0,100.0,40.46,1
Darius,Spirit Visage,Blade of The Ruined King,JUNGLE,10793.0,100.0,-19.55,1
Darius,Blade of The Ruined King,None,TOP,5066.0,0.0,28.95,1
Darius,Stridebreaker,Blade of The Ruined King,TOP,8224.0,0.0,-11.29,1
Zac,Stridebreaker,None,JUNGLE,5415.0,100.0,5.81,1
Zac,Blade of The Ruined King,Stridebreaker,JUNGLE,8508.0,100.0,8.18,1
Zac,Spirit Visage,Blade of The Ruined King,JUNGLE,10869.0,100.0,56.69,1
Zac,Thornmail,Spirit Visage,JUNGLE,14386.0,100.0,0,1
Qiyana,Blade of The Ruined King,None,JUNGLE,4384.0,100.0,0,1
Mordekaiser,Chainlaced Crushers,Stridebreaker,TOP,9655.0,0.0,-10.63,1
Mordekaiser,Sterak's Gage,Chainlaced Crushers,TOP,12186.0,0.0,0,1
Mordekaiser,Kraken Slayer,Stridebreaker,TOP,11156.0,0.0,0,1
Mordekaiser,Terminus,Blade of The Ruined King,TOP,7859.0,0.0,0,1
Cassiopeia,Spirit Visage,None,TOP,4932.0,0.0,-10.43,1
Cassiopeia,Blade of The Ruined King,Spirit Visage,TOP,7731.0,0.0,15.39,1
Cassiopeia,Chainlaced Crushers,Blade of The Ruined King,TOP,9847.0,0.0,0,1
Shaco,Stridebreaker,None,JUNGLE,4086.0,0.0,56.76,1
Talon,Spirit Visage,Blade of The Ruined King,JUNGLE,11176.0,0.0,-1.77,1
Talon,Thornmail,Spirit Visage,JUNGLE,14077.0,0.0,-37.88,1
Talon,Thornmail,Blade of The Ruined King,JUNGLE,12255.0,0.0,0,1
Teemo,Blade of The Ruined King,None,TOP,5035.0,100.0,52.92,1
Teemo,Kraken Slayer,Blade of The Ruined King,TOP,8575.0,100.0,-30.02,1
Teemo,Chainlaced Crushers,Kraken Slayer,TOP,10017.0,100.0,4.09,1
Teemo,Sterak's Gage,Chainlaced Crushers,TOP,12281.0,100.0,10.37,1
Teemo,Wit's End,Sterak's Gage,TOP,14900.0,100.0,-9.92,1
Poppy,Stridebreaker,None,JUNGLE,4969.0,100.0,49.64,1
Poppy,Blade of The Ruined King,Stridebreaker,JUNGLE,8100.0,100.0,-12.8,1
Poppy,"Jak'Sho, The Protean",Blade of The Ruined King,JUNGLE,11130.0,100.0,18.04,1
Poppy,Terminus,"Jak'Sho, The Protean",JUNGLE,14209.0,100.0,-47.61,1
Poppy,Chainlaced Crushers,Terminus,JUNGLE,15045.0,100.0,-61.57,1
Poppy,Sundered Sky,Chainlaced Crushers,JUNGLE,17775.0,100.0,0,1
Poppy,Blade of The Ruined King,None,JUNGLE,4720.0,0.0,-13.67,1
Poppy,Stridebreaker,Blade of The Ruined King,JUNGLE,8177.0,0.0,-52.65,1
Poppy,Spellslinger's Shoes,Stridebreaker,JUNGLE,9255.0,0.0,-1.58,1
Poppy,Terminus,Spellslinger's Shoes,JUNGLE,12098.0,0.0,0,1
Sylas,Ravenous Hydra,None,JUNGLE,4158.0,100.0,8.22,1
Sylas,Blade of The Ruined King,Ravenous Hydra,JUNGLE,9695.0,100.0,0,1
Sylas,Stridebreaker,None,JUNGLE,5067.0,100.0,60.79,1
Sylas,Blade of The Ruined King,Stridebreaker,JUNGLE,9149.0,100.0,-24.8,1
Sylas,Thornmail,Blade of The Ruined King,JUNGLE,10715.0,100.0,7.82,1
Sylas,Spirit Visage,Thornmail,JUNGLE,13795.0,100.0,7.35,1
Sylas,Sterak's Gage,Spirit Visage,JUNGLE,17258.0,100.0,-0.0,1
Diana,Blade of The Ruined King,None,JUNGLE,6053.0,0.0,16.79,1
Diana,Stridebreaker,Blade of The Ruined King,JUNGLE,9127.0,0.0,0,1
Diana,Stridebreaker,None,JUNGLE,4534.0,0.0,1.46,1
Diana,Blade of The Ruined King,Stridebreaker,JUNGLE,8342.0,0.0,18.39,1
Diana,Thornmail,Blade of The Ruined King,JUNGLE,10888.0,0.0,70.8,1
Diana,Spirit Visage,Thornmail,JUNGLE,14225.0,0.0,0,1
Diana,Chainlaced Crushers,Spirit Visage,JUNGLE,14225.0,0.0,0,1
Nocturne,Stridebreaker,Blade of The Ruined King,JUNGLE,8165.0,100.0,16.11,1
Nocturne,Black Cleaver,Stridebreaker,JUNGLE,11238.0,100.0,0,1
Nocturne,Titanic Hydra,Blade of The Ruined King,JUNGLE,8043.0,0.0,0,1
Nocturne,Armored Advance,Titanic Hydra,JUNGLE,8777.0,0.0,0,1
Nocturne,Stridebreaker,None,JUNGLE,4883.0,0.0,-6.51,1
Jax,Blade of The Ruined King,None,JUNGLE,6077.0,0.0,49.0,1
Jax,Stridebreaker,Blade of The Ruined King,JUNGLE,8411.0,0.0,-26.32,1
DrMundo,Blade of The Ruined King,None,TOP,5382.0,100.0,35.98,1
DrMundo,Stridebreaker,Blade of The Ruined King,TOP,8162.0,100.0,-22.35,1
DrMundo,Armored Advance,Stridebreaker,TOP,9765.0,100.0,46.53,1
DrMundo,Maw of Malmortius,Armored Advance,TOP,11260.0,100.0,0,1
DrMundo,Maw of Malmortius,Maw of Malmortius,TOP,12082.0,100.0,0,1
Singed,Stridebreaker,None,TOP,4299.0,0.0,30.43,1
Singed,Hullbreaker,Stridebreaker,TOP,7864.0,0.0,0,1
XinZhao,Thornmail,Stridebreaker,JUNGLE,10763.0,0.0,0,1
Kayn,Blade of The Ruined King,None,JUNGLE,4411.0,0.0,-41.16,1
Kayn,Kraken Slayer,Blade of The Ruined King,JUNGLE,8318.0,0.0,-34.18,1
Kayn,Stridebreaker,None,JUNGLE,5168.0,100.0,10.1,1
Kayn,Blade of The Ruined King,Stridebreaker,JUNGLE,8603.0,100.0,3.34,1
Kayn,Thornmail,Blade of The Ruined King,JUNGLE,10990.0,100.0,26.98,1
Kayn,Spirit Visage,Thornmail,JUNGLE,14749.0,100.0,-4.07,1
Kayn,Sterak's Gage,Spirit Visage,JUNGLE,16917.0,100.0,-4.09,1
Kayn,Titanic Hydra,None,JUNGLE,4224.0,0.0,28.62,1
Kayn,Wit's End,Titanic Hydra,JUNGLE,8443.0,0.0,16.71,1
Kayn,Chainlaced Crushers,Wit's End,JUNGLE,9264.0,0.0,18.07,1
Kayn,Death's Dance,Chainlaced Crushers,JUNGLE,11938.0,0.0,-8.54,1
Kayn,Blade of The Ruined King,Death's Dance,JUNGLE,15494.0,0.0,0,1
MonkeyKing,Blade of The Ruined King,None,JUNGLE,4742.0,0.0,44.44,1
MonkeyKing,Stridebreaker,Blade of The Ruined King,JUNGLE,7140.0,0.0,11.99,1
MonkeyKing,Armored Advance,Stridebreaker,JUNGLE,8798.0,0.0,12.23,1
MonkeyKing,Randuin's Omen,Armored Advance,JUNGLE,11425.0,0.0,0.04,1
MonkeyKing,Maw of Malmortius,Randuin's Omen,JUNGLE,15350.0,0.0,-12.9,1
Rumble,Blade of The Ruined King,None,TOP,3659.0,100.0,10.84,1
Rumble,Spirit Visage,Blade of The Ruined King,TOP,7935.0,100.0,87.0,1
Rumble,Chainlaced Crushers,Spirit Visage,TOP,8406.0,100.0,63.01,1
Rumble,Stridebreaker,Chainlaced Crushers,TOP,11774.0,100.0,-38.84,1
Rumble,"Jak'Sho, The Protean",Stridebreaker,TOP,14634.0,100.0,9.25,1
Yorick,Sterak's Gage,Stridebreaker,TOP,11645.0,100.0,0,1
Khazix,Stridebreaker,None,JUNGLE,4290.0,100.0,15.1,1
Khazix,Blade of The Ruined King,Stridebreaker,JUNGLE,9395.0,100.0,30.32,1
Khazix,Sterak's Gage,Blade of The Ruined King,JUNGLE,12123.0,100.0,71.17,1
Khazix,Spirit Visage,Sterak's Gage,JUNGLE,14588.0,100.0,48.1,1
Khazix,Blade of The Ruined King,None,JUNGLE,5043.0,0.0,10.05,1
Khazix,Stridebreaker,Blade of The Ruined King,JUNGLE,8528.0,0.0,-31.56,1
Khazix,Armored Advance,Stridebreaker,JUNGLE,9795.0,0.0,-6.34,1
Khazix,Kraken Slayer,Armored Advance,JUNGLE,11659.0,0.0,0,1
Khazix,Armored Advance,Kraken Slayer,JUNGLE,11977.0,0.0,0,1
Khazix,Blade of The Ruined King,Armored Advance,JUNGLE,11977.0,0.0,0,1
Khazix,Kraken Slayer,Blade of The Ruined King,JUNGLE,11977.0,0.0,0,1
Khazix,Stridebreaker,Kraken Slayer,JUNGLE,12163.0,0.0,0,1
Viego,Armored Advance,Blade of The Ruined King,JUNGLE,9984.0,0.0,0,1
Viego,Thornmail,Blade of The Ruined King,JUNGLE,10606.0,100.0,9.9,1
MasterYi,Titanic Hydra,None,JUNGLE,4635.0,0.0,-34.18,1
MasterYi,Spirit Visage,Titanic Hydra,JUNGLE,8163.0,0.0,1.41,1
MasterYi,Chainlaced Crushers,Spirit Visage,JUNGLE,8788.0,0.0,49.0,1
MasterYi,Thornmail,Chainlaced Crushers,JUNGLE,11757.0,0.0,-34.97,1
MasterYi,Blade of The Ruined King,None,JUNGLE,5164.0,0.0,2.02,1
MasterYi,Death's Dance,Blade of The Ruined King,JUNGLE,8144.0,0.0,-43.96,1
Briar,Blade of The Ruined King,None,JUNGLE,4316.0,100.0,-4.8,1
Briar,Thornmail,Blade of The Ruined King,JUNGLE,8294.0,100.0,-24.88,1
Briar,Armored Advance,Thornmail,JUNGLE,9115.0,100.0,-6.7,1
Briar,Spirit Visage,Armored Advance,JUNGLE,11309.0,100.0,0,1
Nunu,Stridebreaker,None,JUNGLE,4225.0,100.0,4.62,1
Nunu,Blade of The Ruined King,Stridebreaker,JUNGLE,8448.0,100.0,-20.32,1
Sett,Stridebreaker,None,TOP,4599.0,0.0,53.6,1
Sett,Blade of The Ruined King,Stridebreaker,TOP,9649.0,0.0,26.85,1
Sett,Spirit Visage,Blade of The Ruined King,TOP,11705.0,0.0,-40.03,1
Tryndamere,Blade of The Ruined King,None,TOP,4858.0,0.0,2.26,1
Tryndamere,Stridebreaker,Blade of The Ruined King,TOP,8661.0,0.0,0,1
Nidalee,Stridebreaker,None,JUNGLE,4485.0,100.0,4.27,1
Nidalee,Blade of The Ruined King,Stridebreaker,JUNGLE,8532.0,100.0,-14.61,1
Nidalee,Chainlaced Crushers,Blade of The Ruined King,JUNGLE,10280.0,100.0,-32.72,1
Nidalee,Spirit Visage,Chainlaced Crushers,JUNGLE,12610.0,100.0,5.2,1
Nidalee,Thornmail,Spirit Visage,JUNGLE,14429.0,100.0,0,1
Fiora,Blade of The Ruined King,None,TOP,4506.0,100.0,-2.79,1
Fiora,Stridebreaker,Blade of The Ruined King,TOP,8233.0,100.0,62.19,1
Nasus,Kraken Slayer,None,JUNGLE,3726.0,0.0,30.95,1
Nasus,Titanic Hydra,Kraken Slayer,JUNGLE,7718.0,0.0,-25.71,1
Nasus,Blade of The Ruined King,Titanic Hydra,JUNGLE,11937.0,0.0,-20.75,1
Nasus,Armored Advance,Blade of The Ruined King,JUNGLE,12674.0,0.0,-8.78,1
Nasus,Thornmail,Armored Advance,JUNGLE,13887.0,0.0,0,1
Evelynn,Blade of The Ruined King,None,JUNGLE,5259.0,0.0,-14.51,1
Evelynn,Stridebreaker,Blade of The Ruined King,JUNGLE,7720.0,0.0,71.56,1
Evelynn,Spirit Visage,Stridebreaker,JUNGLE,12070.0,0.0,-23.45,1
Evelynn,"Jak'Sho, The Protean",Spirit Visage,JUNGLE,14434.0,0.0,0,1
Irelia,Blade of The Ruined King,None,TOP,4445.0,0.0,49.51,1
Irelia,Stridebreaker,Blade of The Ruined King,TOP,10800.0,0.0,0,1
Malphite,Stridebreaker,None,JUNGLE,4706.0,100.0,51.19,1
Malphite,Blade of The Ruined King,Stridebreaker,JUNGLE,8031.0,100.0,0,1
