VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Viego,Sundered Sky,None,JUNGLE,4463.7,66.7,11.46,3
Viego,Black Cleaver,Sundered Sky,JUNGLE,8536.5,100.0,-9.64,2
Viego,Sterak's Gage,Black Cleaver,JUNGLE,10776.0,100.0,0,2
Zac,Sundered Sky,None,JUNGLE,4196.0,100.0,10.01,2
LeeSin,Sundered Sky,None,JUNGLE,4157.0,0.0,2.44,2
Warwick,Sundered Sky,None,JUNGLE,3925.0,100.0,-10.41,2
Jax,Sundered Sky,None,JUNGLE,4582.5,50.0,9.46,2
Skarner,Titanic Hydra,None,JUNGLE,3859.0,0.0,-0.95,1
Skarner,Black Cleaver,Titanic Hydra,JUNGLE,8043.0,0.0,0,1
Skarner,Sundered Sky,None,JUNGLE,3460.0,0.0,75.57,1
Skarner,Black Cleaver,Sundered Sky,JUNGLE,8573.0,0.0,-35.2,1
Skarner,Death's Dance,Black Cleaver,JUNGLE,11091.0,0.0,-10.33,1
Skarner,Sterak's Gage,Death's Dance,JUNGLE,14423.0,0.0,8.56,1
Skarner,Guardian Angel,Sterak's Gage,JUNGLE,16796.0,0.0,0,1
Vi,Eclipse,None,JUNGLE,3671.0,100.0,44.03,1
Vi,Black Cleaver,Eclipse,JUNGLE,8534.0,100.0,7.34,1
Vi,Armored Advance,Black Cleaver,JUNGLE,9614.0,100.0,-16.71,1
Vi,Sundered Sky,Armored Advance,JUNGLE,12372.0,100.0,0,1
Kayle,Nashor's Tooth,None,TOP,3862.0,0.0,-23.96,1
MonkeyKing,Titanic Hydra,None,JUNGLE,5525.0,100.0,20.05,1
MonkeyKing,Black Cleaver,Titanic Hydra,JUNGLE,7911.0,100.0,-19.43,1
MonkeyKing,Armored Advance,Black Cleaver,JUNGLE,9949.0,100.0,0,1
Viego,Titanic Hydra,None,JUNGLE,3796.0,0.0,1.24,1
Viego,Sundered Sky,Titanic Hydra,JUNGLE,8481.0,0.0,36.41,1
