VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Malzahar,Blade of The Ruined King,None,MIDDLE,5326.6,40.0,28.09,5
Zed,Blade of The Ruined King,None,MIDDLE,5171.2,75.0,19.56,4
Ahri,Blade of The Ruined King,None,MIDDLE,5624.0,50.0,7.51,4
Ahri,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,7707.0,50.0,93.05,4
Malzahar,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8487.0,50.0,-2.09,4
Ekko,Blade of The Ruined King,None,MIDDLE,4941.2,75.0,19.55,4
Yone,Blade of The Ruined King,None,MIDDLE,5230.0,33.3,33.79,3
Yone,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8358.3,33.3,18.76,3
Vex,Blade of The Ruined King,None,MIDDLE,4897.0,66.7,31.25,3
Akali,Blade of The Ruined King,None,MIDDLE,5307.3,66.7,38.84,3
Aurora,Blade of The Ruined King,None,MIDDLE,4850.7,66.7,20.48,3
Sett,Blade of The Ruined King,None,TOP,5038.3,100.0,35.27,3
Sett,Immortal Shieldbow,Blade of The Ruined King,TOP,7838.3,100.0,60.46,3
Fizz,Blade of The Ruined King,None,MIDDLE,5092.0,33.3,81.17,3
Garen,Blade of The Ruined King,None,MIDDLE,5641.7,33.3,35.71,3
Darius,Blade of The Ruined King,None,TOP,4411.3,66.7,-17.45,3
Katarina,Blade of The Ruined King,None,MIDDLE,4915.7,33.3,37.49,3
Diana,Blade of The Ruined King,None,MIDDLE,5203.0,66.7,37.23,3
Diana,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8068.0,66.7,-17.08,3
Mel,Blade of The Ruined King,None,MIDDLE,5476.3,66.7,46.98,3
Mel,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8307.7,66.7,20.17,3
Yone,Kraken Slayer,None,MIDDLE,3853.5,100.0,24.35,2
Vex,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,9054.0,50.0,-3.72,2
Kaisa,Yun Tal Wildarrows,None,BOTTOM,4614.0,50.0,27.24,2
Akali,Infinity Edge,Blade of The Ruined King,MIDDLE,9734.5,100.0,-18.9,2
Vladimir,Blade of The Ruined King,None,TOP,5651.0,100.0,46.26,2
Vladimir,Immortal Shieldbow,Gunmetal Greaves,TOP,12700.0,100.0,0,2
Kennen,Blade of The Ruined King,None,TOP,5178.0,50.0,56.45,2
Kennen,Immortal Shieldbow,Blade of The Ruined King,TOP,8029.0,50.0,39.89,2
Galio,Blade of The Ruined King,None,MIDDLE,5167.5,0.0,-26.68,2
Lux,Blade of The Ruined King,None,MIDDLE,4811.5,0.0,1.33,2
Sett,Gunmetal Greaves,Immortal Shieldbow,TOP,8679.5,100.0,44.08,2
Ambessa,Blade of The Ruined King,None,TOP,4952.5,50.0,61.08,2
Ambessa,Immortal Shieldbow,Blade of The Ruined King,TOP,8700.0,50.0,-0.66,2
Fizz,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,7982.5,0.0,6.03,2
