VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Yasuo,Blade of The Ruined King,None,MIDDLE,4712.8,50.0,17.53,4
Katarina,Blade of The Ruined King,None,MIDDLE,4719.0,25.0,21.14,4
Leblanc,Blade of The Ruined King,None,MIDDLE,5506.0,25.0,21.13,4
Leblanc,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8216.8,25.0,-10.34,4
Mordekaiser,Blade of The Ruined King,None,TOP,5295.5,75.0,62.77,4
DrMundo,Blade of The Ruined King,None,TOP,4138.0,25.0,14.65,4
DrMundo,Immortal Shieldbow,Blade of The Ruined King,TOP,8388.0,25.0,33.18,4
Aatrox,Blade of The Ruined King,None,TOP,4807.7,66.7,6.54,3
Annie,Blade of The Ruined King,None,MIDDLE,5190.3,66.7,24.55,3
Katarina,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8137.3,33.3,46.07,3
Viktor,Blade of The Ruined King,None,MIDDLE,5190.0,66.7,13.88,3
Yorick,Blade of The Ruined King,None,TOP,4594.3,100.0,17.01,3
Yorick,Immortal Shieldbow,Blade of The Ruined King,TOP,8529.3,100.0,22.9,3
Mordekaiser,Immortal Shieldbow,Blade of The Ruined King,TOP,8395.3,66.7,30.55,3
Syndra,Blade of The Ruined King,None,MIDDLE,4486.7,66.7,55.16,3
Syndra,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8211.3,66.7,31.29,3
Jax,Blade of The Ruined King,None,TOP,5575.3,100.0,22.71,3
Jax,Immortal Shieldbow,Blade of The Ruined King,TOP,8498.0,100.0,27.45,3
Garen,Blade of The Ruined King,None,TOP,4857.3,0.0,5.7,3
Malphite,Blade of The Ruined King,None,TOP,5038.3,33.3,-14.92,3
Zed,Blade of The Ruined King,None,MIDDLE,4681.7,33.3,34.5,3
Zaahen,Blade of The Ruined King,None,TOP,5155.0,33.3,43.83,3
Yasuo,Infinity Edge,Blade of The Ruined King,MIDDLE,9123.0,100.0,-2.39,2
Yasuo,Immortal Shieldbow,Infinity Edge,MIDDLE,11152.0,100.0,112.29,2
Aatrox,Mortal Reminder,Blade of The Ruined King,TOP,8308.5,100.0,-19.26,2
Aatrox,Gunmetal Greaves,Mortal Reminder,TOP,9075.5,100.0,4.63,2
Annie,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8651.0,50.0,35.98,2
Annie,Wit's End,Immortal Shieldbow,MIDDLE,10571.0,50.0,0,2
Malzahar,Blade of The Ruined King,None,MIDDLE,4971.0,50.0,70.14,2
Malzahar,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,7981.5,50.0,-5.39,2
Viktor,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8474.0,100.0,7.2,2
Aurora,Blade of The Ruined King,None,MIDDLE,5251.0,50.0,16.12,2
Aurora,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8505.0,50.0,1.74,2
Hwei,Blade of The Ruined King,None,MIDDLE,6125.5,0.0,28.64,2
Hwei,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8769.0,0.0,29.24,2
Hwei,Infinity Edge,Immortal Shieldbow,MIDDLE,11378.5,0.0,-18.27,2
Yorick,Gunmetal Greaves,Immortal Shieldbow,TOP,9430.0,100.0,13.13,2
Yorick,Infinity Edge,Gunmetal Greaves,TOP,12398.0,100.0,0,2
Mordekaiser,Infinity Edge,Immortal Shieldbow,TOP,11701.0,100.0,39.7,2
DrMundo,Infinity Edge,Immortal Shieldbow,TOP,11623.5,0.0,77.56,2
Vex,Blade of The Ruined King,None,MIDDLE,5446.0,50.0,19.21,2
Vex,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8289.0,50.0,69.26,2
Syndra,Infinity Edge,Immortal Shieldbow,MIDDLE,12012.5,50.0,0,2
Syndra,Gunmetal Greaves,Infinity Edge,MIDDLE,12012.5,50.0,0,2
Mel,Blade of The Ruined King,None,MIDDLE,4762.5,100.0,45.12,2
Mel,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8750.5,100.0,35.27,2
Mel,Infinity Edge,Immortal Shieldbow,MIDDLE,12914.0,100.0,4.44,2
Irelia,Blade of The Ruined King,None,MIDDLE,5467.5,0.0,17.18,2
Irelia,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8595.5,0.0,52.16,2
Garen,Immortal Shieldbow,Blade of The Ruined King,TOP,8193.5,0.0,-28.86,2
Garen,Infinity Edge,Immortal Shieldbow,TOP,11174.5,50.0,-10.92,2
Akshan,Blade of The Ruined King,None,MIDDLE,4956.0,50.0,30.29,2
Akshan,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,11739.0,0.0,44.2,2
Orianna,Yun Tal Wildarrows,None,MIDDLE,5066.5,50.0,5.96,2
Darius,Blade of The Ruined King,None,TOP,5787.0,0.0,7.57,2
Darius,Immortal Shieldbow,Blade of The Ruined King,TOP,8307.0,0.0,-12.04,2
Akali,Blade of The Ruined King,None,MIDDLE,4744.0,0.0,22.17,2
Akali,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8417.5,0.0,57.67,2
Teemo,Blade of The Ruined King,None,TOP,4485.0,50.0,-0.8,2
Ahri,Blade of The Ruined King,None,MIDDLE,5474.0,50.0,-15.88,2
Ahri,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8569.5,50.0,29.21,2
Ahri,Infinity Edge,Immortal Shieldbow,MIDDLE,11384.0,50.0,-41.68,2
Yasuo,Kraken Slayer,None,MIDDLE,5088.0,0.0,0,1
Yasuo,Blade of The Ruined King,None,TOP,5221.0,0.0,-9.86,1
Yasuo,Infinity Edge,Blade of The Ruined King,TOP,8622.0,0.0,0,1
Yasuo,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,8057.0,0.0,0,1
Yasuo,Death's Dance,Immortal Shieldbow,MIDDLE,14379.0,100.0,0,1
Yasuo,Yun Tal Wildarrows,None,MIDDLE,5056.0,100.0,0,1
Corki,Blade of The Ruined King,None,MIDDLE,4754.0,100.0,33.46,1
Corki,Infinity Edge,Blade of The Ruined King,MIDDLE,9212.0,100.0,0,1
Aatrox,Infinity Edge,Gunmetal Greaves,TOP,13303.0,100.0,0,1
Aatrox,Kraken Slayer,Infinity Edge,TOP,15336.0,100.0,0,1
Aatrox,Immortal Shieldbow,Blade of The Ruined King,TOP,8220.0,0.0,0,1
Twitch,Wit's End,None,MIDDLE,4539.0,0.0,-2.95,1
Twitch,Blade of The Ruined King,Wit's End,MIDDLE,7550.0,0.0,50.91,1
Annie,Gunmetal Greaves,Wit's End,MIDDLE,11597.0,0.0,0,1
Annie,Infinity Edge,Blade of The Ruined King,MIDDLE,8276.0,100.0,0,1
Quinn,Blade of The Ruined King,None,MIDDLE,4967.0,100.0,-1.4,1
Quinn,Immortal Shieldbow,Blade of The Ruined King,MIDDLE,7803.0,100.0,105.57,1
Quinn,Gunmetal Greaves,Immortal Shieldbow,MIDDLE,9482.0,100.0,0,1
Fiora,Blade of The Ruined King,None,TOP,5051.0,0.0,40.38,1
Fiora,Mortal Reminder,Blade of The Ruined King,TOP,8007.0,0.0,43.39,1
Fiora,Immortal Shieldbow,Mortal Reminder,TOP,10907.0,0.0,-24.98,1
Katarina,Infinity Edge,Immortal Shieldbow,MIDDLE,12040.0,100.0,-60.89,1
Katarina,Yun Tal Wildarrows,Blade of The Ruined King,MIDDLE,8896.0,0.0,-22.39,1
Katarina,Gunmetal Greaves,Yun Tal Wildarrows,MIDDLE,9635.0,0.0,-26.27,1
Katarina,Infinity Edge,Gunmetal Greaves,MIDDLE,11650.0,0.0,-33.38,1
Smolder,Blade of The Ruined King,None,TOP,4738.0,100.0,-1.72,1
Smolder,Immortal Shieldbow,Blade of The Ruined King,TOP,7957.0,100.0,-14.13,1
Leblanc,Infinity Edge,Immortal Shieldbow,MIDDLE,12239.0,100.0,0,1
Leblanc,Wit's End,Infinity Edge,MIDDLE,13715.0,100.0,0,1
Viktor,Infinity Edge,Immortal Shieldbow,MIDDLE,11367.0,100.0,0,1
Gragas,Yun Tal Wildarrows,None,MIDDLE,4383.0,100.0,26.18,1
Gragas,Immortal Shieldbow,Yun Tal Wildarrows,MIDDLE,7935.0,100.0,-20.71,1
Gragas,Infinity Edge,Immortal Shieldbow,MIDDLE,10714.0,100.0,62.54,1
Gragas,Death's Dance,Infinity Edge,MIDDLE,15121.0,100.0,28.02,1
Gragas,Wit's End,Death's Dance,MIDDLE,17231.0,100.0,0,1
Jhin,Yun Tal Wildarrows,None,BOTTOM,5239.0,100.0,22.17,1
Jhin,Infinity Edge,Yun Tal Wildarrows,BOTTOM,8372.0,100.0,53.53,1
Aurora,Infinity Edge,Immortal Shieldbow,MIDDLE,11272.0,100.0,0.37,1
Aurora,Wit's End,Infinity Edge,MIDDLE,14461.0,100.0,0,1
Aurora,Blade of The Ruined King,None,TOP,5309.0,100.0,42.51,1
Aurora,Immortal Shieldbow,Blade of The Ruined King,TOP,8960.0,100.0,0,1
Aurora,Gunmetal Greaves,Immortal Shieldbow,TOP,9540.0,100.0,0,1
Ekko,Yun Tal Wildarrows,None,MIDDLE,3767.0,0.0,20.65,1
Ekko,Infinity Edge,Yun Tal Wildarrows,MIDDLE,8921.0,0.0,0,1
Hwei,Guardian Angel,Infinity Edge,MIDDLE,15162.0,0.0,-32.08,1
Hwei,Mortal Reminder,Guardian Angel,MIDDLE,18174.0,0.0,0,1
Hwei,Gunmetal Greaves,Infinity Edge,MIDDLE,14165.0,0.0,0,1
Yorick,Yun Tal Wildarrows,Immortal Shieldbow,TOP,11099.0,100.0,72.57,1
Yorick,Infinity Edge,Yun Tal Wildarrows,TOP,14348.0,100.0,18.34,1
Yorick,Kraken Slayer,Infinity Edge,TOP,19010.0,100.0,0,1
Yorick,Phantom Dancer,None,TOP,3970.0,100.0,26.43,1
Yorick,Infinity Edge,Phantom Dancer,TOP,8684.0,100.0,39.7,1
Yorick,Armored Advance,Infinity Edge,TOP,8684.0,100.0,40.41,1
Yorick,Death's Dance,Armored Advance,TOP,11752.0,100.0,-6.62,1
Yorick,Bloodthirster,Death's Dance,TOP,14972.0,100.0,0,1
Mordekaiser,Wit's End,Infinity Edge,TOP,14122.0,100.0,0,1
