VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Nasus,Trinity Force,None,TOP,5123.5,100.0,9.01,2
Yone,Trinity Force,None,TOP,4929.5,0.0,45.46,2
Yone,Spear of Shojin,Trinity Force,TOP,9797.0,0.0,-0.46,2
Fiora,Trinity Force,None,TOP,4352.0,50.0,73.14,2
DrMundo,Trinity Force,None,TOP,4348.5,50.0,-16.31,2
Quinn,Trinity Force,None,TOP,4582.0,50.0,18.86,2
Sett,Trinity Force,None,TOP,5001.5,50.0,24.98,2
Chogath,Trinity Force,None,TOP,5545.0,100.0,112.28,2
Kayle,Trinity Force,None,TOP,4513.5,50.0,126.67,2
Riven,Trinity Force,None,TOP,4960.5,0.0,-10.07,2
Kayn,Stridebreaker,None,JUNGLE,4775.0,0.0,17.07,1
Garen,Profane Hydra,None,TOP,5693.0,100.0,41.46,1
Garen,Opportunity,Profane Hydra,TOP,8228.0,100.0,-39.97,1
Garen,Serylda's Grudge,Opportunity,TOP,11079.0,100.0,48.8,1
Garen,Armored Advance,Serylda's Grudge,TOP,12183.0,100.0,0,1
Garen,Trinity Force,None,TOP,5025.0,100.0,32.06,1
Darius,Titanic Hydra,None,TOP,3379.0,0.0,69.81,1
Darius,Serylda's Grudge,Titanic Hydra,TOP,8440.0,0.0,0,1
Darius,Trinity Force,None,TOP,5463.0,0.0,-9.81,1
Darius,Black Cleaver,Trinity Force,TOP,7929.0,0.0,-36.63,1
Darius,Spear of Shojin,Black Cleaver,TOP,10894.0,0.0,-14.11,1
Darius,Black Cleaver,None,TOP,3712.0,0.0,25.46,1
Darius,Thornmail,Black Cleaver,TOP,7305.0,0.0,-40.05,1
Darius,Sterak's Gage,Thornmail,TOP,10736.0,0.0,0,1
Mel,Maw of Malmortius,None,BOTTOM,4730.0,0.0,4.05,1
Mel,Iceborn Gauntlet,Maw of Malmortius,BOTTOM,7212.0,0.0,-10.13,1
Mel,Swiftmarch,Iceborn Gauntlet,BOTTOM,8002.0,0.0,75.07,1
Mel,Hollow Radiance,Swiftmarch,BOTTOM,10963.0,0.0,0,1
Teemo,Eclipse,None,TOP,4748.0,100.0,9.67,1
Teemo,Spear of Shojin,Eclipse,TOP,7827.0,100.0,34.19,1
Teemo,Armored Advance,Spear of Shojin,TOP,8698.0,100.0,-4.47,1
Teemo,Hullbreaker,Armored Advance,TOP,8698.0,100.0,-3.59,1
Teemo,Armored Advance,Hullbreaker,TOP,10455.0,100.0,-28.1,1
Teemo,Spear of Shojin,Armored Advance,TOP,12070.0,100.0,-7.05,1
Teemo,Black Cleaver,Spear of Shojin,TOP,15027.0,100.0,-22.47,1
Teemo,Thornmail,Black Cleaver,TOP,16869.0,100.0,13.58,1
Nasus,Liandry's Torment,None,TOP,5250.0,100.0,51.79,1
Nasus,Rylai's Crystal Scepter,Liandry's Torment,TOP,7743.0,100.0,33.19,1
Nasus,Spear of Shojin,Trinity Force,TOP,8773.0,100.0,0,1
Nasus,Thornmail,Spear of Shojin,TOP,12377.0,100.0,0,1
Yone,Thornmail,Trinity Force,TOP,7674.0,0.0,63.89,1
Yone,Spear of Shojin,Thornmail,TOP,10866.0,0.0,49.96,1
Yone,Hullbreaker,Spear of Shojin,TOP,13793.0,0.0,-26.0,1
Yone,Chainlaced Crushers,Spear of Shojin,TOP,8575.0,0.0,-34.22,1
Yone,Black Cleaver,Chainlaced Crushers,TOP,11620.0,0.0,37.64,1
Yone,Thornmail,Black Cleaver,TOP,14361.0,0.0,-28.89,1
Yone,Eclipse,None,TOP,4074.0,0.0,15.92,1
Yone,Trinity Force,Eclipse,TOP,8128.0,0.0,43.53,1
Yone,Serylda's Grudge,Spear of Shojin,TOP,15188.0,0.0,0,1
Yone,Hullbreaker,Serylda's Grudge,TOP,17061.0,0.0,0,1
Yone,Thornmail,None,TOP,5554.0,0.0,9.11,1
Yone,Kaenic Rookern,Thornmail,TOP,7053.0,0.0,-30.14,1
Yone,"Jak'Sho, The Protean",Kaenic Rookern,TOP,10190.0,0.0,0,1
Fiora,Spear of Shojin,Trinity Force,TOP,9853.0,0.0,14.12,1
Fiora,Titanic Hydra,Spear of Shojin,TOP,12091.0,0.0,-13.28,1
Fiora,Kaenic Rookern,Titanic Hydra,TOP,14449.0,0.0,68.54,1
Fiora,Sterak's Gage,Kaenic Rookern,TOP,17926.0,0.0,-8.41,1
Fiora,Thornmail,Sterak's Gage,TOP,20120.0,0.0,-0.89,1
Fiora,Hullbreaker,Trinity Force,TOP,7191.0,100.0,71.8,1
