VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Garen,Trinity Force,None,TOP,4719.5,50.0,45.47,6
Darius,Trinity Force,None,TOP,4837.4,80.0,45.27,5
Jax,Trinity Force,None,TOP,4642.2,20.0,42.34,5
Kayle,Trinity Force,None,TOP,4776.0,25.0,1.32,4
Darius,Sundered Sky,Trinity Force,TOP,8514.0,100.0,7.56,3
Kayle,Sundered Sky,Trinity Force,TOP,9032.7,0.0,-22.43,3
Garen,Sundered Sky,Trinity Force,TOP,7814.0,33.3,4.79,3
Garen,Armored Advance,Sundered Sky,TOP,9258.7,33.3,-18.53,3
Fiora,Stridebreaker,None,TOP,4241.7,100.0,49.89,3
Fiora,Sundered Sky,Stridebreaker,TOP,8798.0,100.0,28.77,3
Aatrox,Trinity Force,None,TOP,4832.7,0.0,53.88,3
Sion,Trinity Force,None,TOP,4313.3,100.0,34.95,3
Nasus,Trinity Force,None,TOP,5078.7,33.3,2.81,3
Mordekaiser,Trinity Force,None,TOP,4379.7,33.3,19.15,3
Sett,Trinity Force,None,TOP,6639.7,66.7,22.51,3
Darius,Armored Advance,Sterak's Gage,TOP,10045.5,100.0,63.72,2
Jax,Sundered Sky,Trinity Force,TOP,8589.0,50.0,25.07,2
Jax,Trinity Force,None,JUNGLE,4735.5,50.0,-1.47,2
Kayn,Trinity Force,None,JUNGLE,5574.5,50.0,26.33,2
Camille,Trinity Force,None,TOP,4378.5,50.0,52.61,2
Gwen,Trinity Force,None,TOP,5300.5,0.0,35.68,2
Gwen,Sundered Sky,Trinity Force,TOP,8127.5,0.0,7.44,2
Shen,Trinity Force,None,TOP,5047.0,50.0,-7.9,2
Fiora,Armored Advance,Sundered Sky,TOP,9665.0,100.0,16.63,2
Fiora,Trinity Force,None,TOP,3818.5,50.0,73.04,2
Fiora,Sundered Sky,Trinity Force,TOP,8733.0,50.0,-17.27,2
MasterYi,Trinity Force,None,JUNGLE,4433.5,0.0,-0.15,2
Malphite,Blade of The Ruined King,None,TOP,3991.0,0.0,2.58,2
Malphite,Trinity Force,Blade of The Ruined King,TOP,7953.5,0.0,74.28,2
Malphite,Stridebreaker,None,TOP,4404.0,100.0,39.88,2
Malphite,Chainlaced Crushers,Spear of Shojin,TOP,10533.0,50.0,0,2
Yone,Trinity Force,None,TOP,4750.0,50.0,38.06,2
Viego,Trinity Force,None,JUNGLE,4716.5,0.0,21.21,2
Viego,Sundered Sky,Trinity Force,JUNGLE,8508.5,0.0,-18.22,2
Aurora,Trinity Force,None,TOP,4719.0,0.0,31.52,2
Urgot,Sterak's Gage,Sundered Sky,TOP,11601.5,0.0,-33.28,2
Diana,Trinity Force,None,JUNGLE,4084.0,0.0,-11.33,1
Diana,Sundered Sky,Trinity Force,JUNGLE,8589.0,0.0,-14.1,1
Diana,Sterak's Gage,Sundered Sky,JUNGLE,12063.0,0.0,0,1
Nunu,Hubris,None,JUNGLE,3388.0,100.0,30.84,1
Nunu,Trinity Force,None,JUNGLE,4310.0,0.0,0,1
Nunu,Trinity Force,Trinity Force,JUNGLE,4432.0,0.0,0,1
Darius,Armored Advance,Sundered Sky,TOP,10139.0,100.0,-15.06,1
Darius,Death's Dance,Armored Advance,TOP,12453.0,100.0,0,1
Darius,Blade of The Ruined King,None,TOP,5032.0,100.0,3.19,1
Darius,Trinity Force,Blade of The Ruined King,TOP,8554.0,100.0,81.5,1
Darius,Titanic Hydra,Trinity Force,TOP,12379.0,100.0,0,1
Darius,Sterak's Gage,Sundered Sky,TOP,11712.0,100.0,46.58,1
Darius,Sterak's Gage,Sterak's Gage,TOP,11712.0,100.0,47.47,1
Darius,Eclipse,None,TOP,5372.0,100.0,63.24,1
Darius,Sterak's Gage,Eclipse,TOP,7969.0,100.0,63.46,1
Darius,Sundered Sky,Armored Advance,TOP,12380.0,100.0,0,1
Darius,Blade of The Ruined King,Trinity Force,TOP,7289.0,100.0,81.86,1
Darius,Sterak's Gage,Blade of The Ruined King,TOP,12122.0,100.0,0,1
Jax,Stridebreaker,None,TOP,4306.0,0.0,69.57,1
Jax,Sundered Sky,Stridebreaker,TOP,8650.0,0.0,3.22,1
Jax,Thornmail,Trinity Force,JUNGLE,8535.0,0.0,11.25,1
Jax,Ravenous Hydra,Sundered Sky,TOP,11205.0,100.0,29.1,1
Jax,Black Cleaver,None,TOP,4151.0,0.0,63.95,1
Jax,Overlord's Bloodmail,Black Cleaver,TOP,8928.0,0.0,0,1
Jax,Titanic Hydra,Trinity Force,TOP,8381.0,0.0,-4.69,1
Jax,Stridebreaker,None,JUNGLE,4387.0,100.0,94.35,1
Jax,Wit's End,Stridebreaker,JUNGLE,8684.0,100.0,9.99,1
Jax,Sterak's Gage,Wit's End,JUNGLE,11230.0,100.0,5.23,1
Jax,Stridebreaker,Trinity Force,TOP,8873.0,0.0,73.05,1
Kayn,Blade of The Ruined King,None,JUNGLE,4423.0,0.0,2.65,1
Kayn,Ravenous Hydra,Blade of The Ruined King,JUNGLE,7951.0,0.0,15.36,1
Kayn,Titanic Hydra,Trinity Force,JUNGLE,9702.0,100.0,45.36,1
Kayn,Overlord's Bloodmail,Titanic Hydra,JUNGLE,12559.0,100.0,0,1
Kayn,Armored Advance,Overlord's Bloodmail,JUNGLE,12559.0,100.0,0,1
Kayn,Sundered Sky,Trinity Force,JUNGLE,8529.0,0.0,-5.44,1
Kayn,Trinity Force,None,TOP,4175.0,100.0,-10.79,1
Kayn,Sundered Sky,Trinity Force,TOP,9454.0,100.0,21.32,1
Kayn,Armored Advance,Sundered Sky,TOP,9454.0,100.0,22.24,1
Kayle,Profane Hydra,None,TOP,4571.0,0.0,23.53,1
Kayle,Sundered Sky,Profane Hydra,TOP,8124.0,0.0,0,1
Kayle,Stridebreaker,Trinity Force,TOP,8455.0,100.0,14.76,1
Kayle,Sundered Sky,Stridebreaker,TOP,11458.0,100.0,0,1
Kayle,Stridebreaker,None,MIDDLE,4763.0,100.0,24.51,1
Kayle,Sundered Sky,Stridebreaker,MIDDLE,8123.0,100.0,49.28,1
