VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Yasuo,Eclipse,None,MIDDLE,3887.2,40.0,28.07,5
Ahri,Eclipse,None,MIDDLE,4181.5,50.0,23.07,4
Viego,Eclipse,None,JUNGLE,4304.5,25.0,22.85,4
Katarina,Eclipse,None,MIDDLE,3712.8,0.0,21.91,4
Ahri,Voltaic Cyclosword,Eclipse,MIDDLE,7836.7,33.3,-27.12,3
Katarina,Voltaic Cyclosword,Eclipse,MIDDLE,7020.3,0.0,52.71,3
Katarina,Serylda's Grudge,Voltaic Cyclosword,MIDDLE,10603.7,0.0,-5.52,3
Malphite,Eclipse,None,MIDDLE,4200.7,33.3,-3.26,3
Yone,Eclipse,None,MIDDLE,3694.7,66.7,29.45,3
Vladimir,Voltaic Cyclosword,None,MIDDLE,4002.5,50.0,13.4,2
Vladimir,Eclipse,Voltaic Cyclosword,MIDDLE,7583.5,50.0,-6.2,2
Viktor,Eclipse,None,MIDDLE,3274.0,50.0,35.09,2
Viego,Voltaic Cyclosword,Eclipse,JUNGLE,7550.0,0.0,19.83,2
Lux,Eclipse,None,MIDDLE,4274.5,100.0,39.96,2
Katarina,Maw of Malmortius,Serylda's Grudge,MIDDLE,13185.0,0.0,-22.59,2
Fizz,Eclipse,None,MIDDLE,4366.0,50.0,22.97,2
Syndra,Eclipse,None,MIDDLE,3247.0,100.0,20.74,2
Yasuo,Voltaic Cyclosword,Eclipse,MIDDLE,7364.5,50.0,28.48,2
Yasuo,Serylda's Grudge,Voltaic Cyclosword,MIDDLE,11056.0,50.0,12.27,2
Hwei,Eclipse,None,MIDDLE,3475.0,50.0,-15.04,2
Qiyana,Voltaic Cyclosword,None,MIDDLE,4525.0,100.0,29.11,2
Xerath,Eclipse,None,MIDDLE,4914.0,0.0,-26.58,2
Xerath,Voltaic Cyclosword,Eclipse,MIDDLE,7610.0,0.0,58.04,2
Galio,Eclipse,None,MIDDLE,4799.0,0.0,-7.41,2
Diana,Hubris,None,JUNGLE,4097.5,50.0,-3.88,2
Diana,Voltaic Cyclosword,Hubris,JUNGLE,7003.5,50.0,8.63,2
Khazix,Eclipse,None,JUNGLE,3682.0,100.0,29.99,2
Khazix,Voltaic Cyclosword,Eclipse,JUNGLE,7513.5,100.0,29.68,2
Veigar,Eclipse,None,MIDDLE,3730.5,50.0,35.61,2
Mel,Voltaic Cyclosword,None,MIDDLE,3611.5,100.0,57.18,2
Yone,Voltaic Cyclosword,Eclipse,MIDDLE,7255.0,50.0,16.66,2
Seraphine,Voltaic Cyclosword,None,MIDDLE,5088.5,0.0,-11.22,2
Ryze,Hubris,None,MIDDLE,4377.5,0.0,21.52,2
AurelionSol,Eclipse,None,MIDDLE,4180.5,0.0,22.75,2
AurelionSol,Voltaic Cyclosword,Eclipse,MIDDLE,8324.5,0.0,3.81,2
AurelionSol,Crimson Lucidity,Voltaic Cyclosword,MIDDLE,8887.0,0.0,7.5,2
AurelionSol,Serylda's Grudge,Crimson Lucidity,MIDDLE,11715.0,0.0,-23.83,2
Vladimir,Hubris,None,MIDDLE,3295.0,0.0,25.09,1
Vladimir,Spear of Shojin,Hubris,MIDDLE,6746.0,0.0,-13.76,1
Vladimir,Spear of Shojin,Eclipse,MIDDLE,10828.0,0.0,-26.95,1
Vladimir,Serylda's Grudge,Spear of Shojin,MIDDLE,13707.0,0.0,-18.07,1
Viktor,Voltaic Cyclosword,Eclipse,MIDDLE,7635.0,100.0,62.05,1
Viktor,Profane Hydra,None,MIDDLE,4151.0,0.0,20.49,1
Viktor,Voltaic Cyclosword,Profane Hydra,MIDDLE,7418.0,0.0,-25.33,1
Viktor,Serylda's Grudge,Voltaic Cyclosword,MIDDLE,10525.0,0.0,0,1
Viktor,Hubris,None,MIDDLE,3741.0,0.0,-9.05,1
Graves,The Collector,None,JUNGLE,4756.0,100.0,56.12,1
Graves,Infinity Edge,The Collector,JUNGLE,9622.0,100.0,-7.37,1
Graves,Armored Advance,Infinity Edge,JUNGLE,9622.0,100.0,-6.99,1
Graves,Lord Dominik's Regards,Armored Advance,JUNGLE,12617.0,100.0,0,1
Ahri,Voltaic Cyclosword,None,MIDDLE,4321.0,0.0,25.85,1
Ahri,Youmuu's Ghostblade,Voltaic Cyclosword,MIDDLE,7265.0,0.0,24.72,1
Ahri,Serylda's Grudge,Youmuu's Ghostblade,MIDDLE,11435.0,0.0,31.53,1
Ahri,Maw of Malmortius,Serylda's Grudge,MIDDLE,13380.0,0.0,0,1
Ahri,Crimson Lucidity,Voltaic Cyclosword,MIDDLE,10400.0,0.0,0,1
Ahri,Serylda's Grudge,Eclipse,MIDDLE,7439.0,100.0,-32.34,1
Ahri,Chainlaced Crushers,Serylda's Grudge,MIDDLE,8730.0,100.0,30.14,1
Ahri,Spear of Shojin,Chainlaced Crushers,MIDDLE,11317.0,100.0,14.12,1
Ahri,Edge of Night,Spear of Shojin,MIDDLE,14094.0,100.0,72.13,1
Zac,Voltaic Cyclosword,None,JUNGLE,4879.0,100.0,17.21,1
Zac,Serpent's Fang,Voltaic Cyclosword,JUNGLE,8902.0,100.0,6.9,1
