VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Thresh,Shurelya's Battlesong,None,UTILITY,4070.3,100.0,39.12,3
Milio,Archangel's Staff,None,UTILITY,4976.0,50.0,61.68,2
Milio,Imperial Mandate,Shurelya's Battlesong,UTILITY,8301.0,50.0,1.65,2
Karma,Archangel's Staff,None,UTILITY,4336.5,50.0,15.55,2
Karma,Archangel's Staff,Archangel's Staff,UTILITY,5160.0,50.0,10.32,2
Yuumi,Archangel's Staff,Archangel's Staff,UTILITY,6484.0,100.0,56.62,2
Akshan,Imperial Mandate,None,MIDDLE,4267.0,0.0,-16.9,1
Akshan,Archangel's Staff,Imperial Mandate,MIDDLE,6414.0,0.0,-9.06,1
Akshan,Archangel's Staff,Archangel's Staff,MIDDLE,6918.0,0.0,-11.67,1
Nautilus,Archangel's Staff,None,UTILITY,5653.0,0.0,-28.84,1
Nautilus,Archangel's Staff,Archangel's Staff,UTILITY,5653.0,0.0,-28.83,1
Nautilus,Shurelya's Battlesong,Archangel's Staff,UTILITY,6952.0,0.0,-21.02,1
TahmKench,Shurelya's Battlesong,None,UTILITY,4063.0,0.0,101.82,1
TahmKench,Imperial Mandate,Shurelya's Battlesong,UTILITY,6053.0,0.0,-2.07,1
TahmKench,Cosmic Drive,Imperial Mandate,UTILITY,8815.0,0.0,-39.73,1
Vex,Rod of Ages,None,MIDDLE,4949.0,100.0,9.52,1
Vex,Archangel's Staff,Rod of Ages,MIDDLE,7076.0,100.0,-14.31,1
Milio,Archangel's Staff,Archangel's Staff,UTILITY,6471.0,0.0,0,1
Milio,Shurelya's Battlesong,None,UTILITY,5761.0,0.0,-13.45,1
Milio,Crimson Lucidity,Archangel's Staff,UTILITY,5447.0,100.0,4.22,1
Milio,Archangel's Staff,Crimson Lucidity,UTILITY,6315.0,100.0,-24.26,1
Milio,Shurelya's Battlesong,Archangel's Staff,UTILITY,7463.0,100.0,-33.86,1
Galio,Archangel's Staff,None,MIDDLE,6590.0,0.0,-35.81,1
Galio,Archangel's Staff,Archangel's Staff,MIDDLE,6590.0,0.0,-35.8,1
Galio,Cosmic Drive,Archangel's Staff,MIDDLE,7295.0,0.0,3.27,1
Lulu,Shurelya's Battlesong,None,UTILITY,3766.0,0.0,33.47,1
Lulu,Imperial Mandate,Shurelya's Battlesong,UTILITY,5960.0,0.0,-22.81,1
Blitzcrank,Liandry's Torment,None,UTILITY,5080.0,100.0,-35.65,1
Blitzcrank,Swiftmarch,Liandry's Torment,UTILITY,7378.0,100.0,12.9,1
Blitzcrank,Locket of the Iron Solari,Swiftmarch,UTILITY,8060.0,100.0,20.03,1
Lux,Archangel's Staff,None,MIDDLE,3813.0,100.0,52.15,1
