VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Syndra,Luden's Companion,None,MIDDLE,4586.0,33.3,4.53,3
Ekko,Luden's Companion,None,MIDDLE,3945.7,33.3,6.71,3
Malzahar,Luden's Companion,None,MIDDLE,4649.0,33.3,45.43,3
Mel,Luden's Companion,None,MIDDLE,4340.5,0.0,9.77,2
Diana,Luden's Companion,None,MIDDLE,4545.0,50.0,22.76,2
Diana,Shadowflame,Luden's Companion,MIDDLE,7636.0,50.0,5.04,2
Syndra,Lich Bane,Luden's Companion,MIDDLE,7209.0,50.0,39.91,2
Morgana,Luden's Companion,None,MIDDLE,4492.0,0.0,-17.51,2
Yasuo,Luden's Companion,None,MIDDLE,3440.5,50.0,44.97,2
Lissandra,Luden's Companion,None,MIDDLE,3548.5,100.0,-12.97,2
Veigar,Luden's Companion,None,MIDDLE,3853.5,50.0,12.99,2
Kassadin,Luden's Companion,None,MIDDLE,3838.5,50.0,11.82,2
Annie,Luden's Companion,None,MIDDLE,4037.5,0.0,32.29,2
Katarina,Luden's Companion,None,MIDDLE,3404.0,0.0,-2.52,1
Katarina,Shadowflame,Luden's Companion,MIDDLE,7899.0,0.0,33.99,1
Katarina,Zhonya's Hourglass,Shadowflame,MIDDLE,11038.0,0.0,0,1
Soraka,Luden's Companion,None,UTILITY,4828.0,100.0,3.15,1
Soraka,Horizon Focus,Luden's Companion,UTILITY,8296.0,100.0,-12.6,1
Mel,Stormsurge,None,UTILITY,4779.0,0.0,78.31,1
Mel,Shadowflame,Stormsurge,UTILITY,8258.0,0.0,0,1
Mel,Blackfire Torch,None,MIDDLE,4389.0,100.0,-23.41,1
Mel,Horizon Focus,Blackfire Torch,MIDDLE,7901.0,100.0,16.79,1
Mel,Rabadon's Deathcap,Horizon Focus,MIDDLE,10573.0,100.0,-5.75,1
Mel,Crimson Lucidity,Rabadon's Deathcap,MIDDLE,10915.0,100.0,0,1
Mel,Lich Bane,Luden's Companion,MIDDLE,7206.0,0.0,61.64,1
Mel,Horizon Focus,Lich Bane,MIDDLE,10096.0,0.0,48.96,1
Mel,Stormsurge,Luden's Companion,MIDDLE,8419.0,0.0,64.55,1
Mel,Spellslinger's Shoes,Stormsurge,MIDDLE,8556.0,0.0,82.28,1
Mel,Shadowflame,Spellslinger's Shoes,MIDDLE,12691.0,0.0,0,1
Vladimir,Luden's Companion,None,MIDDLE,3929.0,100.0,-18.23,1
Vladimir,Lich Bane,Luden's Companion,MIDDLE,8525.0,100.0,-47.04,1
Vladimir,Spellslinger's Shoes,Lich Bane,MIDDLE,8869.0,100.0,-26.07,1
Vladimir,Rabadon's Deathcap,Spellslinger's Shoes,MIDDLE,13366.0,100.0,0,1
Diana,Zhonya's Hourglass,Shadowflame,MIDDLE,10912.0,0.0,-27.37,1
Diana,Rabadon's Deathcap,Shadowflame,MIDDLE,11447.0,100.0,0,1
Syndra,Shadowflame,Luden's Companion,MIDDLE,8032.0,0.0,-19.71,1
Syndra,Spellslinger's Shoes,Shadowflame,MIDDLE,8819.0,0.0,0,1
Syndra,Spellslinger's Shoes,Lich Bane,MIDDLE,8229.0,100.0,3.39,1
Syndra,Shadowflame,Spellslinger's Shoes,MIDDLE,11569.0,100.0,13.25,1
Syndra,Stormsurge,Shadowflame,MIDDLE,13865.0,100.0,-34.44,1
Neeko,Luden's Companion,None,UTILITY,4939.0,0.0,9.21,1
Akali,Luden's Companion,None,MIDDLE,5149.0,100.0,25.82,1
Akali,Lich Bane,Luden's Companion,MIDDLE,8266.0,100.0,13.02,1
Akali,Spellslinger's Shoes,Lich Bane,MIDDLE,8763.0,100.0,47.9,1
Akali,Rabadon's Deathcap,Spellslinger's Shoes,MIDDLE,11650.0,100.0,2.96,1
Morgana,Zhonya's Hourglass,Luden's Companion,MIDDLE,8104.0,0.0,60.84,1
Morgana,Crimson Lucidity,Zhonya's Hourglass,MIDDLE,10428.0,0.0,-36.95,1
Morgana,Shadowflame,Crimson Lucidity,MIDDLE,11355.0,0.0,-45.2,1
Morgana,Shadowflame,Luden's Companion,MIDDLE,8965.0,0.0,0,1
Yasuo,Shadowflame,Luden's Companion,MIDDLE,7412.0,0.0,-11.86,1
Yasuo,Lich Bane,Luden's Companion,MIDDLE,7635.0,100.0,19.07,1
Ekko,Shadowflame,Luden's Companion,MIDDLE,7577.0,0.0,0,1
Ekko,Spellslinger's Shoes,Shadowflame,MIDDLE,8677.0,0.0,0,1
Ekko,Lich Bane,Luden's Companion,MIDDLE,7669.0,100.0,13.58,1
Ekko,Shadowflame,Lich Bane,MIDDLE,10863.0,100.0,-34.17,1
Malzahar,Lich Bane,Luden's Companion,MIDDLE,7224.0,0.0,0,1
Malzahar,Stormsurge,Luden's Companion,MIDDLE,7475.0,0.0,0,1
Malzahar,Shadowflame,Luden's Companion,MIDDLE,8855.0,100.0,-21.45,1
Malzahar,Zhonya's Hourglass,Shadowflame,MIDDLE,10852.0,100.0,28.69,1
Brand,Luden's Companion,None,UTILITY,4793.0,0.0,-43.47,1
Brand,Stormsurge,Luden's Companion,UTILITY,7777.0,0.0,3.7,1
Lissandra,Shadowflame,Luden's Companion,MIDDLE,7949.0,100.0,0.37,1
Lissandra,Rabadon's Deathcap,Shadowflame,MIDDLE,12726.0,100.0,0,1
Lissandra,Lich Bane,Luden's Companion,MIDDLE,7544.0,100.0,61.05,1
Lissandra,Spellslinger's Shoes,Lich Bane,MIDDLE,9169.0,100.0,-9.04,1
Seraphine,Luden's Companion,None,MIDDLE,5244.0,0.0,90.81,1
Seraphine,Lich Bane,Luden's Companion,MIDDLE,7230.0,0.0,59.18,1
Seraphine,Shadowflame,Lich Bane,MIDDLE,10389.0,0.0,-8.95,1
Seraphine,Horizon Focus,Shadowflame,MIDDLE,13492.0,0.0,40.04,1
Seraphine,Rabadon's Deathcap,Horizon Focus,MIDDLE,16382.0,0.0,-36.53,1
Seraphine,Horizon Focus,Rabadon's Deathcap,MIDDLE,18426.0,0.0,0,1
Seraphine,Zhonya's Hourglass,Horizon Focus,MIDDLE,18426.0,0.0,0,1
Yone,Luden's Companion,None,MIDDLE,4942.0,0.0,37.7,1
AurelionSol,Luden's Companion,None,MIDDLE,3569.0,0.0,31.3,1
AurelionSol,Horizon Focus,Luden's Companion,MIDDLE,7786.0,0.0,0,1
Veigar,Blackfire Torch,Luden's Companion,MIDDLE,7637.0,100.0,39.53,1
Veigar,Horizon Focus,Blackfire Torch,MIDDLE,10535.0,100.0,-66.64,1
Veigar,Lich Bane,Horizon Focus,MIDDLE,12701.0,100.0,0,1
Veigar,Horizon Focus,Luden's Companion,MIDDLE,7092.0,0.0,31.79,1
Veigar,Spellslinger's Shoes,Horizon Focus,MIDDLE,8053.0,0.0,32.55,1
Veigar,Rabadon's Deathcap,Spellslinger's Shoes,MIDDLE,11812.0,0.0,-55.38,1
Rakan,Luden's Companion,None,UTILITY,4007.0,0.0,50.35,1
Rakan,Spellslinger's Shoes,Luden's Companion,UTILITY,6240.0,0.0,-14.34,1
Rakan,Stormsurge,Spellslinger's Shoes,UTILITY,8560.0,0.0,0,1
Kassadin,Lich Bane,Luden's Companion,MIDDLE,7499.0,100.0,-22.96,1
Kassadin,Spellslinger's Shoes,Lich Bane,MIDDLE,8489.0,100.0,-28.25,1
Kassadin,Horizon Focus,Luden's Companion,MIDDLE,7472.0,0.0,27.31,1
Kassadin,Spellslinger's Shoes,Horizon Focus,MIDDLE,8026.0,0.0,12.27,1
Kassadin,Lich Bane,Spellslinger's Shoes,MIDDLE,10680.0,0.0,19.21,1
Kassadin,Rabadon's Deathcap,Lich Bane,MIDDLE,15002.0,0.0,0,1
Lux,Blackfire Torch,None,MIDDLE,3815.0,100.0,-18.27,1
Lux,Lich Bane,Blackfire Torch,MIDDLE,8106.0,100.0,0,1
Yuumi,Luden's Companion,None,UTILITY,4212.0,0.0,9.47,1
Yuumi,Shadowflame,Luden's Companion,UTILITY,8570.0,0.0,-3.48,1
Qiyana,Luden's Companion,None,MIDDLE,3739.0,0.0,10.48,1
